k2_taxon	n_detected	percent_detected_at_site	median_detect_transcriptional_activity	mean_detect_transcriptional_activity	transcript_cat	region
Corynebacterium_kefirresidentii	13	56.52173913043478	2.242549983780035	2.464529134015465	Variable_high	Ch
Corynebacterium_segmentosum	3	13.043478260869565	1.2330241171605634	2.271431864701913	Variable_high	Ch
Corynebacterium_tuberculostearicum	2	8.695652173913043	3.032886150952072	3.032886150952072	Variable_high	Ch
Cutibacterium_acnes	23	100	0.51210690516122	0.5263886656720704	Core_low	Ch
Cutibacterium_avidum	2	8.695652173913043	5.124896713409281	5.124896713409281	Variable_high	Ch
Cutibacterium_granulosum	14	60.86956521739131	2.342805183318279	4.092862660819921	Variable_high	Ch
Cutibacterium_modestum	7	30.434782608695656	0.5505563690369321	1.1837037622009297	Variable_low	Ch
Dermacoccus_nishinomiyaensis	2	8.695652173913043	1.0996725454064649	1.0996725454064649	Variable_high	Ch
Klebsiella_aerogenes	2	8.695652173913043	6726.245797072136	6726.245797072136	Variable_high	Ch
Malassezia_arunalokei	16	69.56521739130434	9.596426582354523	9.033771508292922	Variable_high	Ch
Malassezia_dermatis	3	13.043478260869565	938.2245292527077	1016.2462474858253	Variable_high	Ch
Malassezia_furfur	3	13.043478260869565	9.662504526566126	7.539474668714393	Variable_high	Ch
Malassezia_globosa	22	95.65217391304348	44.60187120653987	88.8118325146594	Core_high	Ch
Malassezia_restricta	23	100	9.74014795250379	11.728241162916538	Core_high	Ch
Malassezia_sympodialis	6	26.08695652173913	18.71547345933974	145.03367602136206	Variable_high	Ch
Moraxella_osloensis	4	17.391304347826086	1.3064379098036452	1.5477578868876385	Variable_high	Ch
Staphylococcus_capitis	17	73.91304347826086	18.470964487667803	108.58210721909138	Variable_high	Ch
Staphylococcus_epidermidis	23	100	17.638365997837283	36.135394491127315	Core_high	Ch
Staphylococcus_hominis	3	13.043478260869565	16.28315944482309	59.58227192117876	Variable_high	Ch
