feature	baseMean	log2FoldChange	lfcSE	pvalue	padj	bacteria_eggnog_cat	bacteria_eggnog_desc
2Z7RS	567.3311424638758	5.329204718169266	0.9564441998171194	4.1238732338562813e-10	8.72037014170508e-9	S	Protein of unknown function (DUF2891)
2Z7SI	259.6388135428573	0.36636484862864643	0.8219046924530965	0.6084184108803978	0.6704001459466679	S	Protein of unknown function (DUF3388)
2Z7U4	347.7565658091632	-0.04519555940067418	0.7435029388225437	0.9456675294647188	0.9568528443293551	S	succinate dehydrogenase
2Z83I	2077.976550213124	5.834043426357032	1.1469155927284072	4.1082498840413746e-9	6.185381025412694e-8	S	phosphoenolpyruvate carboxykinase (diphosphate) activity
2Z89R	1098.2808568311277	1.794456924591015	0.6704327366007162	0.0033347518179212172	0.007637744539329084	S	NA
2Z8XT	183.66301135205399	2.314299746423663	0.8152170494341989	0.0011583897077826328	0.0031733470597480567	S	YwhD family
2Z90C	505.1417341938103	1.5673833728817157	0.7089466616563951	0.014249163634672293	0.026683508418361448	S	Protein of unknown function (DUF3710)
2Z9GU	2156.585830461172	0.7045145596719475	0.7462348093690712	0.28915828089727097	0.35498753075581474	S	Carotene biosynthesis associated membrane protein
2Z9JM	127.13423891415077	1.9741961848080023	0.7208904554331687	0.002314712748669305	0.005679647187738764	S	NAD-specific glutamate dehydrogenase
2Z9XI	289.7604096773362	1.2940733862283729	0.8058015213115012	0.0665326374559634	0.10138819732155717	S	Nuclease-related domain
2ZAIR	1169.9923319763197	5.1658124809017325	1.0245998010409143	7.601628092246874e-9	1.0838078840612589e-7	S	NA
2ZAV8	526.5070040628021	3.5143650967900215	1.05335246682532	4.9925254725565375e-5	2.1712541828914202e-4	S	EcsC protein family
2ZAVY	100.59180705126757	1.6261331001216799	1.004125852607171	0.047429630582906196	0.07532705886669153	S	NA
2ZBU7	774.0710802678174	3.2870403756134667	0.7801280458231511	1.981257244119059e-6	1.3509877295043727e-5	S	Protein of unknown function (DUF3027)
2ZBVG	100.83697684819334	1.4800283893477046	0.8164759973264675	0.03777701115129927	0.0620448171401114	S	Protein of unknown function (DUF2992)
2ZBVN	127.49155436688604	1.6041725906694675	0.6507612356278997	0.007173019579595152	0.014721508013956464	S	Belongs to the UPF0403 family
2ZC43	1786.4166978808064	4.30489091843182	0.9874940021768522	3.577336270435816e-7	2.9658796744318085e-6	S	NA
2ZCFK	695.2254658050981	1.6102079634275894	0.7135917026047129	0.012255039140053886	0.02343149293056469	S	Protein of unknown function (DUF3071)
2ZFSE	222.8709870812755	3.7202230854076777	0.744258468810529	2.7298998513339736e-8	3.3579552419676723e-7	S	Family of unknown function
2ZFWE	175.4782382033935	2.0075076043032762	0.6729862381127371	0.0010576814045414524	0.0029316000049293277	S	NA
2ZG0D	421.00830732871367	0.3511027776912024	0.8853361217792615	0.6411885800640491	0.7028372507124168	S	NA
2ZGBU	170.31613565846249	0.5532929183799951	0.8346823843004338	0.4441283728657406	0.5159565418106936	S	NA
2ZH0T	79.58396045463044	1.7013225592388348	0.8322615054843486	0.018595482741724872	0.03375721772059289	S	Family of unknown function (DUF5327)
2ZH8X	88.04686949957522	1.1335586918098144	0.7175025048193792	0.07877562770941493	0.11582479011649913	S	NA
2ZJ01	843.9819197392876	7.138233470507982	0.7680099355881901	1.2877189604290966e-22	4.179370083943843e-20	S	NA
2ZPNR	728.1602330584936	3.3430401066549984	0.9923411081285924	5.451291244025034e-5	2.309903471172626e-4	S	NA
2ZR52	97.12627281119688	-0.10755999012600455	0.8745048583929523	0.8855270199281315	0.9096953337907989	S	Putative zincin peptidase
2ZTF8	49.74662584624282	2.3121946054625138	0.8285808500231407	0.001342295735607727	0.003558028978047524	S	NA
2ZTVJ	322.07501318620643	2.8428073791998236	1.0500918901321077	8.717750520698766e-4	0.0024657939202168684	S	Protein of unknown function (DUF3618)
2ZVAX	384.2242784734885	1.760188007530808	0.9184355733292486	0.023103501505649278	0.04052263731000181	S	NA
2ZVJF	443.5778498907006	3.1648499125425738	1.0586524617800948	2.455724640263834e-4	8.151100128706413e-4	S	NA
2ZWGX	319.9357490782679	1.848730221950154	0.8912403225669508	0.014893507450489942	0.027779564937385603	S	Protein of unknown function (DUF3145)
301E5	158.54432594058213	2.595315350150033	0.7150369869275729	5.433494293482782e-5	2.3083151829197734e-4	S	biosynthesis protein
302A8	132.78911420756836	1.5278878618509102	0.8381159122431853	0.03540185377171758	0.05870157603380836	S	NA
302WR	204.78423787643638	3.495026311658863	0.7275985118791131	9.518282413712976e-8	9.89691022243526e-7	S	NA
3037F	39.73271069596511	0.26887521764407923	0.7517298327118437	0.6876502205549382	0.7424886489296578	S	NA
3044Z	91.26990076947132	0.15508349500321703	0.6871935618643593	0.8033272406884291	0.839923259430902	S	antibacterial protein
3045R	53.038426206867555	0.9634848079265704	0.7000844780219518	0.12737481602891498	0.17613475662484793	S	NA
3050P	293.6242905543796	1.5310176650373297	0.7434440667487272	0.02108780131331415	0.03758261559816026	S	NA
3051Q	710.8492055768986	1.47723603513566	0.7989515449965393	0.035125252238179465	0.0583972833147118	S	NA
3052M	204.41975910912336	0.9424135475737224	0.7724015014726261	0.16745427539047208	0.222877614062849	S	NA
3052N	143.26079915971138	1.8870577770615253	0.9273239331352824	0.015589208398610317	0.028820127903914163	S	NA
3052T	164.98400952739124	2.613722069743357	0.7845545383714282	1.584598173244344e-4	5.626818418954444e-4	S	NA
3053D	172.01084240038716	1.242708459536484	0.7388594680876619	0.05977024243452401	0.0923543483265798	S	ABC-2 family transporter protein
3054N	144.55095229978815	2.049132984157142	0.8591760969437481	0.005632195390145385	0.012004294138452566	S	NA
3054P	190.483695637776	2.661799699740392	0.6972445810960932	2.3873453735833292e-5	1.15798556522779e-4	S	Protein of unknown function (DUF2750)
30556	307.79943676114664	2.6121816396188007	1.036229864045395	0.0019700839677199455	0.004910858314237003	S	Protein of unknown function, DUF536
