feature	baseMean	log2FoldChange	lfcSE	pvalue	padj	fungi_eggnog_cat	fungi_eggnog_desc
3NTVI	9.7570575451634909	-0.438272776137968	0.41148021647923966	0.019213814278305045	0.43039476130798315	I	cytomegalovirus gh-receptor family protein
3NTVK	57.76658157815076	-0.02122192577663789	0.392370714346944	0.9053265126414793	0.985075231715807	I	Cral trio domain protein
3NTVM	11.745294525120979	-0.0077450137513831565	0.3871651670716009	0.9664079928177616	0.9899113957459633	A	Second step of mRNA capping. Transfer of the GMP moiety of GTP to the 5'-end of RNA via an enzyme-GMP covalent reaction intermediate
3NTVQ	11.846566505839952	-0.01098091902610759	0.375595966149927	0.9549079093823928	0.9897989204951158	S	mRNA processing protein
3NTVY	13.295931141322901	-0.36821833348754573	0.40368312923237537	0.04823031337324995	0.5460735368381762	G	Fructose-2,6-bisphosphatase
3NTW3	67.45619446399101	0.4260839751757539	0.3940601105528806	0.032426980459297816	0.5013029305261849	T	transporter
3NTW5	32.95742844426563	0.1564184723263191	0.39663941356057275	0.3776552502664351	0.8606112671012558	B	histone deacetylase
3NTWE	129.76695528082863	-0.11701681160013928	0.39497670323196027	0.5097534764390868	0.888309848450013	C	Belongs to the mitochondrial carrier (TC 2.A.29) family
3NTWH	12.432582066680325	0.0169328727707415	0.39790748335876547	0.9214920302003884	0.985075231715807	J	Belongs to the universal ribosomal protein uS5 family
3NTWM	42.90150651618648	-0.2273291167269936	0.3838745368537803	0.23883219594821514	0.7701253839261829	E	The AROM polypeptide catalyzes 5 consecutive enzymatic reactions in prechorismate polyaromatic amino acid biosynthesis
3NTWU	12.003636839066122	-0.08645677028559594	0.3702639790140499	0.6635612542286329	0.9292138525582196	T	serine threonine-protein phosphatase
3NTWW	6.839414979377446	-0.3871219941454391	0.3988206156723748	0.04411927080753694	0.5341430164757143	S	Mitochondrial protein
3NTX1	33.63923999888859	-0.20844916776421735	0.4015444692156921	0.2328746819976602	0.7701253839261829	K	phd transcription factor
3NTXE	10.349250227701269	-0.2358782535079582	0.4210144927071178	0.11556437674986185	0.6562790512781816	A	Belongs to the class I-like SAM-binding methyltransferase superfamily. mRNA cap 0 methyltransferase family
3NTXF	70.18644958152727	0.22258570474382994	0.37585703485009125	0.26253487009769644	0.7947064058321762	J	Belongs to the eukaryotic ribosomal protein eS4 family
3NTXG	6.845399878630092	-0.10198649708216057	0.3868137064325881	0.5826383138237523	0.9095627110411543	K	-phosphatase
3NTXH	12.369397711390981	-0.15870478668288612	0.3928292639410001	0.3820053614978338	0.8641874326464892	J	Belongs to the class-I aminoacyl-tRNA synthetase family
3NTXI	8.191831611630416	-0.06537754265073838	0.38005853405361034	0.7321186986781018	0.9473576755165894	O	Deoxyhypusine synthase
3NTXM	10.016635848840838	-0.09103079881617118	0.38771559544823103	0.6216106282532704	0.9208260432013384	S	WD-repeat protein pop3
3NTXU	11.182193010978814	0.13398374466239243	0.37269852510859397	0.4985954827579745	0.8859843657585095	A	Required for 40S ribosome biogenesis. Involved in nucleolar processing of pre-18S ribosomal RNA and ribosome assembly
3NTY3	25.03645772428686	0.012944942640649788	0.38870109053138696	0.94340683193993	0.9876650112454401	H	Catalyzes the methyl transfer from S-adenosyl-methionine to the C-24 of zymosterol to form fecosterol
3NTY4	22.000635427121072	-0.21461336507021875	0.3938294120060151	0.242038710094989	0.7739032602267982	J	YdiU domain protein
3NTY7	21.01316981536204	-0.00831302347349784	0.388776675165404	0.9636205553232556	0.9899113957459633	J	phenylalanyl-tRNA synthetase alpha chain
3NTY8	9.876763888964659	0.027222956322060274	0.375129985768889	0.8887574774208213	0.9833610703465562	O	pre-rRNA-processing protein PNO1
3NTYA	13.374987618005898	-0.040476888842029	0.3869972226709319	0.8261456327535693	0.9737274140299631	T	cmgc dyrk yak protein kinase
3NTYD	24.29158992836536	0.006042022277927292	0.3832233788338638	0.974321039415212	0.9930421076649903	C	Belongs to the mitochondrial carrier (TC 2.A.29) family
3NTYK	95.28885759107094	-0.10424613601711168	0.39747706869706917	0.5494030784776943	0.8953166598156226	M	Chitin Synthase
3NTYM	18.57196706840709	0.2768789135292091	0.39028268243707037	0.1462791923319406	0.6923729963734797	I	carbamoylphosphate synthase
3NTYN	11.049055258874168	-0.00427005219264882	0.37422105297283326	0.9825516019478989	0.9961226469505975	C	Belongs to the mitochondrial carrier (TC 2.A.29) family
3NTYW	29.86395454095239	0.12055943340607375	0.364118445069203	0.5528418829655408	0.8953166598156226	P	transporter
