feature	baseMean	log2FoldChange	lfcSE	pvalue	padj	fungi_eggnog_cat	fungi_eggnog_desc
3NTW3	35.636809654893895	-0.00470052575233197	0.0462792138937807	0.06874383660799709	0.8469288067103599	T	transporter
3NTWM	31.916152790786356	0.0014844864641682404	0.0462929985344305	0.5229683657258244	0.9723011716954261	E	The AROM polypeptide catalyzes 5 consecutive enzymatic reactions in prechorismate polyaromatic amino acid biosynthesis
3NTYK	62.41423555815463	3.5113663826295756e-4	0.046301069148205865	0.8707438135298834	0.9760145008977957	M	Chitin Synthase
3NTYW	20.678290066588552	-0.0027253472414560166	0.046278266597858435	0.2944263447743491	0.8469288067103599	P	transporter
3NTZ4	16.8245819426774	-0.0035480077253678553	0.04628857902070987	0.14095538552280543	0.8469288067103599	J	Glycyl-trna synthetase
3NTZE	106.27436946273568	-5.753921114432561e-4	0.046278813644314215	0.8241688429580148	0.9760145008977957	Q	Belongs to the ABC transporter superfamily. ABCG family. PDR (TC 3.A.1.205) subfamily
3NTZU	12.258912613066615	2.4428797650451986e-4	0.04629134907517379	0.917431758194034	0.9760145008977957	A	Branchpoint-bridging protein
3NU0P	40.2806826181372	-0.002664954123228726	0.04629682693407887	0.23557405382105773	0.8469288067103599	O	Belongs to the TRAFAC class dynamin-like GTPase superfamily. Dynamin Fzo YdjA family
3NU0R	29.112347097281056	-9.180461881181974e-4	0.04629714666693475	0.6819502342863428	0.9724778338824429	J	RNA-binding component of the eukaryotic translation initiation factor 3 (eIF-3) complex, which is involved in protein synthesis of a specialized repertoire of mRNAs and, together with other initiation factors, stimulates binding of mRNA and methionyl-tRNAi to the 40S ribosome. The eIF-3 complex specifically targets and initiates translation of a subset of mRNAs involved in cell proliferation
3NU0Z	30.283042605421986	-3.4162550711233484e-4	0.04630307782688965	0.8716589422391566	0.9760145008977957	A	factor mot1
3NU1G	18.946296179597233	-1.846024786941608e-4	0.046308978979306574	0.9257838133236136	0.9760145008977957	I	Lysophospholipase
3NU2F	18.14594262267849	0.003365134107018634	0.04629338318934064	0.14628057103198797	0.8469288067103599	TZ	Cytokinesis protein sepa
3NU2Q	55.609173903228935	-0.0024213599247162837	0.04629745181027524	0.27840766732605454	0.8469288067103599	A	factor 8
3NU2T	70.11122349561062	0.0029419297479521852	0.04627217446891434	0.276772102955874	0.8469288067103599	Q	resistance protein
3NU3V	30.014161933053753	2.036594243104153e-4	0.046297087877959074	0.9276024360421206	0.9760145008977957	G	synthase
3NU5U	17.11578691572508	-1.4384425779030756e-4	0.046316396343867174	0.9363319174933642	0.9760145008977957	J	Component of the NOP7 complex, which is required for maturation of the 25S and 5.8S ribosomal RNAs and formation of the 60S ribosome
3NU5Z	98.01060421083825	-0.001526589815815121	0.04628878512701713	0.5257581308296758	0.9723011716954261	H	Belongs to the citrate synthase family
3NU7Q	17.006753027547703	-0.003364232643068633	0.046295437516454145	0.13921441627605508	0.8469288067103599	U	The coatomer is a cytosolic protein complex that binds to dilysine motifs and reversibly associates with Golgi non- clathrin-coated vesicles, which further mediate biosynthetic protein transport from the ER, via the Golgi up to the trans Golgi network. Coatomer complex is required for budding from Golgi membranes, and is essential for the retrograde Golgi-to-ER transport of dilysine-tagged proteins
3NU7T	20.881505444088273	-0.003576512575517635	0.04629239802448303	0.12573068811201701	0.8469288067103599	I	acetoacetate-CoA ligase
3NU87	27.18636321367786	0.0029767088257322224	0.04630131857095453	0.1667261145959282	0.8469288067103599	U	C2 domain-containing protein
3NU9D	17.09786184965114	-3.7103675770632194e-4	0.04629332113108961	0.8728033390833935	0.9760145008977957	U	guanine nucleotide exchange factor
3NU9I	34.66477338064104	-0.002809782240786142	0.046298528591238564	0.2039157731486843	0.8469288067103599	L	Serine threonine-protein kinase TOR
3NU9Y	30.87116536218861	-0.0023301087112561855	0.04623680715860302	0.4733767441996079	0.9424105824891277	EF	ribose-phosphate pyrophosphokinase
3NUA1	42.11886604396804	-7.896852068607813e-4	0.04629781121701206	0.7228326028577646	0.9724778338824429	G	Belongs to the FBPase class 1 family
3NUAT	16.8104298591035	-7.68972606534569e-4	0.04627687884703504	0.7694652767722402	0.9724778338824429	P	Catalyzes the first intracellular reaction of sulfate assimilation, forming adenosine-5'-phosphosulfate (APS) from inorganic sulfate and ATP. Plays an important role in sulfate activation as a component of the biosynthesis pathway of sulfur- containing amino acids
3NUB9	16.23610758535325	0.0012329852394428753	0.04631596526696634	0.49615728193075603	0.9706665746932952	G	Belongs to the glycosyl hydrolase 31 family
3NUBP	12.642365855613775	0.0020789760105153535	0.04630406174514336	0.3205840144215216	0.8469288067103599	E	belongs to the HisA HisF family
3NUBZ	34.17143430874697	0.003696886559007846	0.046307259689571646	0.06741700652898892	0.8469288067103599	V	HEAT repeat protein
3NUC6	14.366992423987933	0.004591082592862349	0.046299391087213496	0.0363501501711853	0.8053226818951321	E	Catalyzes the reversible hydration of cis-homoaconitate to (2R,3S)-homoisocitrate, a step in the alpha-aminoadipate pathway for lysine biosynthesis
3NUCF	20.36373840229269	-0.0016871079007325007	0.04629329978760387	0.466713296993717	0.9424105824891277	B	Rsc complex subunit
3NUCW	19.606830894324272	0.004429545955454712	0.046300708490587324	0.04082280875966108	0.8053226818951321	O	Belongs to the peptidase S8 family
3NUDD	14.194093333792958	0.0011712613398643513	0.04629827033254336	0.5972808963942708	0.9723011716954261	EGP	Involved in the biogenesis of the 60S ribosomal subunit
3NUEC	51.30446641924282	0.002287284061922799	0.04629829179939126	0.3021091106971407	0.8469288067103599	I	Belongs to the thiolase family
3NUFA	708.4217516495661	0.0010090366109424228	0.046233894638576876	0.7591149721917805	0.9724778338824429	P	plasma membrane ATPase
3NUG1	22.662259179005392	0.0012642715131028653	0.046299488022254386	0.5640112612848004	0.9723011716954261	I	Belongs to the carnitine choline acetyltransferase family
3NUG8	30.62133507242108	-9.521335367661224e-4	0.0463032901420664	0.6518134102679626	0.9724778338824429	I	Belongs to the OSBP family
3NUGH	19.958531516650673	-0.0030549031046337495	0.04630822562777764	0.1265012715606056	0.8469288067103599	O	dolichyl-phosphate-mannose-protein mannosyltransferase
3NUH2	10.542257514612139	0.003924996762190473	0.04628882621734377	0.10270589164998305	0.8469288067103599	A	poly-A polymerase
3NUH3	17.211049439243357	0.0024265016170348626	0.04630701318122822	0.2312731009656671	0.8469288067103599	J	Belongs to the class-I aminoacyl-tRNA synthetase family
3NUH8	32.22515211083864	0.0018308594527194693	0.04627290632952097	0.4965160819859713	0.9706665746932952	S	transporter
3NUI9	79.45733648445359	-9.533876963752846e-4	0.04629738669831733	0.6697287071281912	0.9724778338824429	M	13-beta-glucan synthase
3NUKK	263.8522184914288	-2.133978353708516e-4	0.04621781361485648	0.9514784941429963	0.9760145008977957	C	Cytochrome c oxidase is the component of the respiratory chain that catalyzes the reduction of oxygen to water. Subunits 1- 3 form the functional core of the enzyme complex. Subunit 2 transfers the electrons from cytochrome c via its binuclear copper A center to the bimetallic center of the catalytic subunit 1
