virus_OG	read_count_sum	RPK_sum	virus_eggnog_cat	virus_eggnog_desc	LIBID	feature_class
4QAIU|Virus	1	3.5087719298245617	S	HNH endonuclease	MHS479	virus_OG
4QAK6|Virus	9878	8056.593202568862	S	N-acetylmuramoyl-L-alanine amidase activity	MHS479	virus_OG
4QAKE|Virus	6	21.848244607069404	S	endonuclease activity	MHS479	virus_OG
4QAMJ|Virus	3	5.181347150259068	S	NA	MHS479	virus_OG
4QAQE|Virus	1	4.273504273504273	S	Phage integrase family	MHS479	virus_OG
4QAQV|Virus	1	3.9682539682539684	S	protein disulfide oxidoreductase activity	MHS479	virus_OG
4QAR7|Virus	129	101.2383280654466	S	Phage portal protein, SPP1 Gp6-like	MHS479	virus_OG
4QAWG|Virus	35	36.68763102725367	S	DnaB-like helicase C terminal domain	MHS479	virus_OG
4QBCQ|Virus	4	7.797270955165692	S	DNA topoisomerase activity	MHS479	virus_OG
4QBF8|Virus	30	40.918741555684235	S	Phage tail protein	MHS479	virus_OG
4QBMZ|Virus	2	3.5087719298245617	S	NA	MHS479	virus_OG
4QC2G|Virus	26	44.90500863557859	S	Ribonucleotide reductase, small chain	MHS479	virus_OG
4QCB0|Virus	12	16.51818213332409	S	nuclease activity	MHS479	virus_OG
4QCBX|Virus	2	3.603603603603603	S	NA	MHS479	virus_OG
4QCCX|Virus	1	4.273504273504273	S	nicotinamide riboside transmembrane transporter activity	MHS479	virus_OG
4QDBK|Virus	53	126.95223191717321	S	NA	MHS479	virus_OG
4QDKP|Virus	121	218.18871742980014	S	transaminase activity	MHS479	virus_OG
4QDUR|Virus	3	7.246376811594203	S	NA	MHS479	virus_OG
4QDV8|Virus	30	62.50000000000001	S	NA	MHS479	virus_OG
4QE1H|Virus	37	103.4547152194211	S	NA	MHS479	virus_OG
4QE2W|Virus	1	4.761904761904762	S	NA	MHS479	virus_OG
4QED7|Virus	290	308.839190628328	S	AAA domain	MHS479	virus_OG
4QFDH|Virus	1	4.166666666666667	S	NA	MHS479	virus_OG
4QFPU|Virus	11	11.56677181913775	S	NA	MHS479	virus_OG
4QG0Y|Virus	5	7.974481658692185	S	NA	MHS479	virus_OG
4QGJD|Virus	36	53.57142857142857	S	NA	MHS479	virus_OG
4QGVM|Virus	61	172.20785753066366	S	NA	MHS479	virus_OG
4QH92|Virus	2	8.658008658008658	S	NA	MHS479	virus_OG
4QHDH|Virus	2	3.875968992248062	S	NA	MHS479	virus_OG
4QHHE|Virus	4	4.975124378109452	S	NA	MHS479	virus_OG
4QHQD|Virus	47	98.44796104686549	S	NA	MHS479	virus_OG
