species	MHS470	MHS524	MHS552	MHS566	MHS581
unclassified	  41140	126240	 90739	63964	134940
Vibrio vulnificus	1958591	   323	   384	  387	   227
Vibrio parahaemolyticus	   3301	     2	     4	    1	0
Vibrio campbellii	    863	0	0	0	0
Vibrio alginolyticus	    735	     1	0	    1	0
Vibrio harveyi	    429	0	0	0	0
Vibrio owensii	    346	0	0	0	0
Vibrio natriegens	    225	0	0	0	0
Vibrio jasicida	     92	     1	0	0	0
Vibrio rotiferianus	     66	0	0	    1	0
Vibrio diabolicus	     39	0	0	0	0
Vibrio antiquarius	      1	0	0	0	0
Vibrio azureus	      3	0	0	0	0
Vibrio navarrensis	   2657	     1	     1	    1	0
Vibrio anguillarum	   1175	0	0	0	     1
Vibrio sp. dhg	    181	0	0	0	0
Vibrio sp. HDW18	    154	0	0	0	0
Vibrio sp. B1ASS3	    120	0	0	0	0
Vibrio sp. B1FLJ16	    100	0	0	    1	0
Vibrio sp. B1REV9	     15	0	0	0	0
Vibrio sp. OG9-811	     10	     1	0	0	0
Vibrio sp. SM1977	      6	0	0	0	0
Vibrio sp. THAF191d	      6	0	0	0	0
Vibrio sp. B1FIG11	      4	0	0	0	0
Vibrio sp. THAF191c	      3	0	0	0	0
Vibrio sp. THAF190c	      2	0	0	0	0
Vibrio sp. Scap24	      1	0	0	0	0
Vibrio sp. sp1	      1	0	0	0	0
Vibrio tubiashii	    552	0	0	0	0
Vibrio europaeus	     18	0	0	0	0
Vibrio cholerae	    465	     1	0	0	     4
Vibrio alfacsensis	    380	0	0	0	0
Vibrio fluvialis	    203	     3	0	0	     1
Vibrio furnissii	     79	0	0	    2	0
Vibrio metschnikovii	     60	     1	0	0	0
Vibrio taketomensis	     42	     1	0	0	0
Vibrio metoecus	     35	0	0	0	0
Vibrio penaeicida	     27	0	     1	0	     1
Vibrio coralliilyticus	     22	     4	     9	0	     3
Vibrio cincinnatiensis	     21	0	0	0	0
Vibrio panuliri	     15	0	0	    1	0
Vibrio cidicii	     13	0	0	0	0
Vibrio aquimaris	     12	0	0	0	0
Vibrio tapetis	     11	0	0	0	0
Vibrio mimicus	     10	     2	0	0	0
Vibrio neptunius	      8	     1	0	0	0
Vibrio spartinae	      8	0	0	0	0
Vibrio nigripulchritudo	      8	0	0	0	0
Vibrio crassostreae	      7	0	0	0	0
Vibrio qinghaiensis	      6	0	0	0	0
Vibrio ponticus	      6	0	0	0	0
Vibrio kanaloae	      6	0	0	    1	0
Vibrio scophthalmi	      6	     1	     2	0	0
Vibrio tritonius	      5	0	0	0	0
Vibrio astriarenae	      5	0	0	0	0
Vibrio mediterranei	      5	0	0	    1	0
Vibrio rumoiensis	      5	0	0	0	0
Vibrio paracholerae	      4	0	0	    1	     1
Vibrio ziniensis	      4	0	0	0	0
Vibrio cyclitrophicus	      4	0	0	0	0
Vibrio zhugei	      4	     1	     1	    1	     3
Vibrio gazogenes	      3	0	0	0	0
Vibrio bathopelagicus	      2	0	0	0	0
Vibrio breoganii	      2	0	0	    1	0
Vibrio chagasii	      2	0	0	0	0
Vibrio casei	      1	0	0	    1	     1
Vibrio neocaledonicus	      1	0	0	0	0
