species	MHS475	MHS474	MHS473	MHS477	MHS476	MHS499	MHS498	MHS497	MHS501	MHS484	MHS483	MHS486	MHS485	MHS504	MHS503	MHS502	MHS505	MHS508	MHS507	MHS448	MHS447	MHS446	MHS450	MHS449	MHS592	MHS513	MHS452	MHS451	MHS454	MHS453	MHS517	MHS521	MHS493	MHS492	MHS495	MHS525	MHS523	MHS530	MHS529	MHS528	MHS532	MHS531	MHS457	MHS456	MHS455	MHS459	MHS458	MHS540	MHS539	MHS538	MHS542	MHS541	MHS480	MHS479	MHS478	MHS482	MHS481	MHS544	MHS543	MHS547	MHS546	MHS461	MHS460	MHS462	MHS567	MHS564	MHS569	MHS568	MHS489	MHS488	MHS487	MHS491	MHS490	MHS549	MHS553	MHS551	MHS465	MHS464	MHS463	MHS467	MHS466	MHS560	MHS469	MHS471	MHS468	MHS472	MHS535	MHS534	MHS533	MHS536	MHS556	MHS555	MHS554	MHS571	MHS572	MHS570	MHS574	MHS573	MHS576	MHS577	MHS575	MHS578
Cutibacterium_acnes	4361261	5072644	1273316	  22262	5784635	 209659	7585247	1037238	  38573	915473	8376252	 126841	3398216	  14586	121170	  47044	  56298	4141890	1323343	5519166	14743418	8851985	378672	5520489	 998796	91210	3324544	2873399	 488867	4185199	267186	  27560	 6182998	4357060	2100972	8798010	14292614	 808580	10765564	2206455	  74463	1541047	195194	383512	459933	102997	998629	332006	8949685	2858705	 54174	1431413	1530548	11240396	2804804	  21263	2037450	1673191	9931569	   39645	1907356	7946180	855911	1034235	11476928	4646967	 112963	3534883	2676981	4746278	326757	  26943	1096762	801075	 176731	3502921	770353	2440968	1640603	  26655	1619614	586521	5539217	20298386	447259	451796	171313	7001631	13019241	 610385	818291	6132760	1419946	136881	8640991	3191501	0	2148984	1213756	3139602	805047	1353179
Cutibacterium_granulosum	  26925	  15521	0	0	  52725	0	  15310	  32884	0	  1691	0	0	0	0	  3155	0	0	   9066	  18143	   9215	   91843	  65378	0	  15820	0	0	0	0	0	   8599	0	0	0	0	0	  31603	0	   9128	  164189	  13350	0	  21052	  1109	   801	0	0	  3848	0	0	   5965	0	   3700	  18321	   88121	   4337	0	  22458	0	 397632	0	   8879	 106791	200732	  31477	  289320	0	0	  61820	   9387	  69900	   600	0	  16715	  2586	0	0	 16068	  44742	0	0	  40023	 17075	  19987	   60228	 27317	  6409	  3488	  23844	0	   6394	  7730	  14356	0	  4477	 102930	  15934	0	  38699	   8448	   9392	  4170	   8627
Cutibacterium_modestum	  21598	   6594	   3240	0	  44693	0	0	   4570	0	  5266	0	0	   8510	0	0	0	0	 279909	  83386	0	0	  40347	0	0	   5523	  380	  15791	  12126	0	  66557	0	0	10171420	 133589	3577823	 125376	   19075	  51000	  670776	  50550	0	  78360	  2783	0	0	  2498	 10737	0	  38594	  31029	0	   3330	 439085	  216955	 846980	0	 399981	0	0	0	0	0	 12305	   8393	0	0	0	0	  69327	  14656	  1518	0	  71874	  2894	0	0	  9911	0	  19163	0	  23888	  9985	0	0	  1210	0	508837	 879860	  442844	 171493	 18957	 857705	  11809	   479	 175440	0	0	   8556	  19546	   7524	 91908	  14844
Corynebacterium_kefirresidentii	  55665	  96260	0	  18044	 107215	  21229	 205482	  57930	 180623	 47068	   8427	   7414	  76375	  12215	  4749	   4672	  69678	  56077	   5319	  60152	  286612	0	 34503	 107445	  81406	  856	  65648	0	  31243	  98152	0	0	    6342	0	  15530	  25501	0	  64111	0	0	 105083	  53392	  4027	   372	0	  5532	 15388	  2632	  33071	0	   991	  12474	  26560	   25931	   8907	0	  26783	   4701	  95670	  339538	  24615	 121928	  5430	  65477	   20250	0	  12570	  28187	  64094	 133512	  1447	  11328	  86280	 20402	  24831	  68835	 14451	   5168	0	  22548	  31580	101552	  14018	0	  9760	 16946	  6295	  70160	0	  28040	 14868	  15062	0	  1915	0	   7295	 204147	  40377	  42676	  81602	0	  53943
Corynebacterium_tuberculostearicum	  54242	   7888	0	 634132	 176792	0	  18682	   6112	3676313	  5404	0	  56762	  19874	  55186	 14269	   9249	 448809	   4771	   3243	  20790	   21911	0	 25391	  46624	  41183	  195	0	0	 397507	  16394	0	0	0	0	0	  57984	0	  26510	0	0	 212685	  25023	  3215	0	0	  8380	 13172	  4757	0	   8090	  3251	  27090	  56463	0	0	 180440	 103289	0	0	14860551	   5343	  10124	  5002	 122247	   41141	   6713	  72175	  79571	   9247	  15359	0	0	  17533	 16557	 219415	  72963	  5788	0	0	 450071	  27797	 12521	0	0	0	  6262	  1227	0	0	   7289	  7471	0	0	  3937	0	  11686	5735558	  72381	  27739	  10327	0	  63623
Corynebacterium_genitalium	  11443	0	0	0	  44793	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Corynebacterium_ureicelerivorans	  10864	0	0	0	  27344	  29094	0	0	0	0	0	0	0	0	  1394	0	  41619	0	0	0	0	0	0	   9297	  10927	0	0	0	0	0	0	0	0	0	0	  23106	0	0	0	0	0	   4559	   458	0	0	0	0	  1433	0	0	0	   5042	  36424	0	0	0	  21149	0	0	0	   4029	0	0	0	0	0	0	   8498	0	0	0	0	0	 15425	0	  46026	 46580	0	0	  16922	 213492	0	0	0	0	 67126	  2616	0	0	3044835	 20226	0	0	   475	0	0	0	   7446	   9870	0	0	  97935
Corynebacterium_segmentosum	   7338	0	0	0	  10803	  23216	0	0	  13678	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	  34592	   871	0	0	0	   7258	0	0	  18429	0	0	   6745	   9766	  7150	  2481	   251	  8716	 22508	  1014	0	0	0	   5809	  15170	0	0	0	  10835	0	0	0	  18308	0	  3013	  33973	   15131	0	0	  13663	  11139	  16243	   620	0	  32026	  4802	0	  12374	 10629	0	0	0	  20737	  9968	  12755	0	0	0	 10921	  27489	0	  16477	  6104	0	0	  1725	0	0	0	  17170	 117999	 121057	  1825	  78225
Micrococcus_luteus	   9093	0	0	 699493	  23223	 252568	  10863	   6598	 176208	0	0	  11312	0	  14452	  5936	   6489	  55488	   5375	  45825	 588017	0	  47123	223630	 819186	  10213	0	0	0	0	   7978	0	0	0	  23552	  33914	0	0	  11501	0	0	  68242	  15053	  1511	0	0	 51525	  6105	0	0	0	  6172	0	 706767	   32080	 164297	 528335	 584188	0	0	0	  21625	0	0	  41209	0	0	  11831	   6056	   4453	0	0	  35878	  12808	184069	 812492	1280107	 11395	0	0	0	  23324	830145	  11823	0	0	 13207	  5194	0	0	  51799	0	0	0	  2522	0	  13129	0	  44845	  25755	0	0	  28011
Staphylococcus_epidermidis	  19786	   3493	    544	1068830	  33307	  54329	    861	  37222	4663164	 12923	   4301	 161783	  39430	0	  2921	   3993	  15046	  11137	  43368	0	    6719	   4372	  8586	   9678	  12982	 1326	 269595	   1444	5617343	  77534	  2122	1181645	    6528	   2013	  11348	   8219	     686	   4272	    1516	0	1620553	   7667	  2168	   115	0	 35586	  6437	   303	  14524	  32883	  1944	   1748	0	    1784	   2181	 328458	0	   2774	  86830	 2168316	   6373	   4994	 14865	1191457	    5639	   1343	 450352	   9642	   4797	   8849	   516	  21200	   7918	 26130	1455284	  87503	 13812	  52850	   1890	1309603	 273470	 19042	  10079	    1821	  9226	202011	  3395	  54389	0	  18155	  6580	   4733	0	  2078	  24438	  45022	4733319	  79066	  20375	  21753	0	  54428
Staphylococcus_capitis	   7948	   9252	    486	0	  15118	  11007	   3587	 126653	  51154	  8585	   5484	1516888	  20131	0	0	0	   6857	   7398	   3644	  11296	   69636	  37802	 11125	  10213	   5855	 2592	0	  15518	  84990	  18690	 80071	4485195	    6101	  81270	0	   4644	     809	   6183	0	  13670	 830445	  12720	  1510	   118	  8694	 35491	  6123	   186	   2333	  15078	   782	   1157	0	    5233	   1557	  15470	0	0	 263954	   47302	0	  32128	157580	  33310	0	0	  13421	0	   8438	  68729	  4941	 192616	  11106	  4760	  22561	  13855	  4036	  50414	  21733	  23107	  17022	 16371	  18288	    2756	 71739	 31934	0	0	0	   3610	  2080	  14696	   3880	  1119	0	   4168	 200576	  25041	  11425	  17499	 23519	  12472
Streptococcus_mitis	  10214	0	   1406	0	  24596	0	0	0	0	  3626	0	0	  44140	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	   6620	0	0	0	0	  16669	0	0	   9589	0	0	0	  14986	  2424	0	0	0	  6375	0	0	0	0	   2711	  10730	0	0	0	  79229	0	0	0	  13152	0	0	  25983	0	0	  20315	  22941	0	0	0	0	   4112	  6195	0	  17768	  7362	0	0	   9021	  19825	  5423	0	0	0	0	  1641	0	0	  16156	  1813	0	0	   255	0	0	0	 104648	  46050	   4626	0	 123057
Streptococcus_oralis	   7630	0	    515	  18166	  19008	0	0	0	0	  8118	0	0	  67312	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	   8362	0	0	0	0	  14496	0	0	0	0	0	0	0	  4015	0	0	  2938	 10372	0	0	0	0	0	0	0	0	0	  82404	0	0	0	  65624	0	0	  23546	0	0	  15047	  13618	0	0	0	   8860	  11604	0	0	0	  9077	0	0	0	  19688	  4139	0	0	0	0	0	0	0	   9024	  1628	0	0	0	0	0	0	 105610	  11590	0	0	  36504
Moraxella_osloensis	  21891	0	0	 740032	  40609	  16882	0	0	0	  4164	   3687	1377791	  12900	  63758	 26016	  29666	 245623	0	0	   9456	0	0	 39020	  12346	  59044	  101	  11210	0	  38427	  21560	    56	  45148	0	0	  11341	  16239	0	  59365	0	   3886	 110922	 122835	  3410	   310	0	 70113	 23831	140606	  52481	  58111	 15603	 393785	 132272	0	0	 413788	 217440	    988	0	   71945	  45460	0	0	  26781	0	0	  75078	   8589	0	0	0	1022443	   6348	 81128	 401012	 278487	105980	  86076	   3873	  10106	 294671	 28974	  19888	0	0	375050	  4819	0	0	  42231	  7157	0	0	   783	0	0	  27939	  25793	 116501	  18953	  2615	 111469
Roseomonas_mucosa	  14590	0	0	0	0	0	0	0	0	  1976	0	  90818	   7132	  13104	  4871	   4861	  38284	0	   4874	0	0	0	0	0	   7799	0	0	0	0	0	0	0	0	0	0	0	0	  11180	0	0	0	  32476	   778	0	0	0	  3845	  6147	0	   7080	0	  35458	0	0	0	0	  10969	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	  2714	   6575	0	  2797	0	0	0	   7898	0	0	0	0	 13158	0	0	0	0	0	0	0	0	0	0	0	0	  16194	0	0	  13022
Malassezia_globosa	1728368	    739	    400	0	  96818	1755209	   1618	  44741	0	   313	    388	0	   3017	7692330	 46301	1447549	 538179	   1016	   4071	 414866	    5973	 219206	  4910	  42475	2157358	 9383	2232711	 125211	0	  34932	123422	    414	     236	   1477	   3252	 438865	    1332	1556971	   81529	 463159	  62875	 390510	  4143	   235	 38090	  2079	 13749	  5291	  16308	 150820	   961	  16135	2051121	     908	   5712	   1557	  84938	    467	  50923	0	  16164	0	 79676	   8426	  105570	 470760	   8099	 512402	 426212	    739	  4975	0	  14258	  4173	    507	   9027	113242	   2409	  25349	   3925	  43269	122830	1503021	    2124	 35041	  6532	 24938	  14659	 1376407	  17732	138208	  34837	    354	 12032	  62242	 365728	0	 269373	 608435	  11818	  5053	 146542
Malassezia_restricta	 156872	 273199	  76592	0	 265458	  25125	  49629	  70787	0	0	0	0	0	 133473	435134	 851229	 509546	 136375	 773620	 239447	  293572	 742401	 14732	 181317	 313522	65006	  85033	 173097	0	 222435	 53327	    544	  130790	 445361	  71935	  23397	  218875	 262656	 1289725	 630849	  26485	 492463	 10762	  1846	 74459	  4105	 59796	 16915	 486896	 827982	  3768	  89419	 113084	  542036	 233227	0	 112600	   2840	 453598	0	  31362	 629743	130740	  58102	  352213	   6458	0	  80789	  94929	1309765	  2601	0	 104317	 11100	0	  37987	 41003	  31399	 227255	0	  73537	209347	 253739	  200006	270989	 35171	  2426	 280547	0	   9789	 97243	1744131	 485600	 31500	 518718	 216286	0	 383996	 156878	 589786	170799	 171119
Malassezia_arunalokei	   7595	   3848	    663	0	  10307	0	   1794	   7261	0	0	0	0	0	  87010	229108	  38100	 404418	  17262	   4891	0	0	0	0	0	   4893	  304	0	0	0	0	285591	   1114	0	 142844	   8114	0	0	   8583	   14992	0	0	  12680	  4632	   303	  1485	0	 28411	   624	0	   5236	0	0	  58452	  161957	   6489	0	  57435	0	0	0	   7113	   8077	 13907	  17484	0	0	0	   7405	   5268	  32461	   682	0	   9266	0	0	0	  7548	   9824	   1322	0	  17935	146436	0	    1473	  1635	0	0	   8394	0	0	 58491	1467382	  17300	   746	   5922	   6906	0	  20285	  11763	   6318	  1544	   8051
Lawsonella_clevelandensis	0	0	   3450	0	0	0	0	  11114	0	 31256	0	0	0	0	0	0	0	0	0	0	0	0	  5798	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	  1309	   407	0	0	  6764	  1731	0	0	0	0	0	0	0	0	0	0	0	0	   7528	0	144531	0	0	0	0	0	0	0	0	0	   5907	  4250	0	0	  4060	0	   4133	   7613	   9379	 11077	0	0	  7485	  5253	0	0	0	   8201	  9182	0	0	   443	0	0	0	0	0	0	0	0
Rothia_mucilaginosa	0	0	    411	0	  10156	0	0	0	0	0	0	0	  14509	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	   9813	0	  22292	0	0	0	0	0	0	0	0	0	0	   749	0	0	0	0	0	0	0	0	   2956	  10906	0	0	0	  63698	0	0	0	0	0	0	0	0	0	  14929	  10712	0	0	0	0	0	0	0	0	  2592	0	0	0	   6077	0	0	0	0	 27346	0	0	0	  41153	0	0	0	   342	0	0	0	  17976	  17063	0	0	   9564
Kosakonia_cowanii	0	0	   4335	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Haemophilus_parainfluenzae	0	0	   1512	  19094	  12045	0	0	0	0	 14195	0	0	 123673	    180	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	  11709	0	 108057	0	0	  54442	0	0	0	0	0	0	0	  3057	0	0	  2256	  6558	0	0	0	0	0	0	0	0	0	 151498	0	0	0	  13798	0	0	  14442	0	0	  12146	   6832	0	0	0	0	   6605	  4102	0	0	0	0	0	0	   5807	0	0	0	0	 36978	0	0	0	  52883	0	0	0	0	0	0	0	 100741	0	0	0	  13285
Malassezia_dermatis	0	0	    262	0	0	0	0	   2782	0	0	0	0	0	0	0	0	0	    293	  74851	0	0	 112863	0	0	0	   23	0	0	0	0	0	0	0	  20913	0	0	    1085	0	0	0	0	0	0	0	0	0	  2138	  2928	  40593	 137618	0	  10805	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	   4971	0	0	 10384	   7135	0	0	0	0	0	0	0	0	0	  14315	0	0	0	0	0	0	0	0	0
Staphylococcus_hominis	0	0	0	4538777	  10881	3152788	0	0	 754472	 36674	   2142	 635416	  76730	   9604	  1839	   2802	  40862	0	    520	0	0	0	  3405	   7228	  14608	   22	3591540	0	  38000	  24515	    71	  31888	0	    133	   3885	  40228	0	0	0	0	 691134	   4862	  4802	0	0	  5876	 11237	   292	0	0	  1045	   1431	  19922	0	0	2768672	  22153	    741	0	 1711309	 311856	0	  1924	  23059	    2339	   1339	  18862	  10095	0	0	0	0	0	 51134	 633039	 139625	  9450	0	0	4712919	  63726	0	0	0	0	764149	 39208	0	0	 318706	  3138	0	0	   618	0	   8013	1823372	  28404	  14083	   2842	0	  55718
Staphylococcus_haemolyticus	0	0	0	 305215	0	  16193	0	0	 255549	0	0	  30660	0	0	0	0	0	0	0	0	0	0	  2538	0	0	   12	  83313	0	 123848	   7701	0	  68822	0	0	0	0	0	0	0	0	 225135	0	   672	0	0	  3495	  2199	0	0	0	 14381	0	0	0	0	  83703	0	0	0	   37904	0	0	  3532	  55765	0	0	  14607	0	0	0	0	   7930	0	  2725	  99786	0	0	0	0	  84619	0	0	0	0	0	 15708	0	0	0	   7268	0	0	0	   308	0	0	  91081	   9863	0	0	0	0
Staphylococcus_warneri	0	0	0	  25126	0	0	0	0	  22644	0	0	0	0	0	0	0	0	0	0	0	0	0	  9992	0	0	   47	0	0	 122433	0	    51	  22536	0	0	0	0	0	0	0	0	  38684	0	  1264	0	0	101715	  3768	0	0	0	 52165	0	0	0	0	0	0	    363	0	   39717	0	0	0	  20014	0	0	  13523	0	0	0	0	   7708	0	0	  36826	0	0	0	0	0	   5951	0	0	0	0	 27362	0	0	0	0	0	0	0	0	0	0	  27557	   6858	0	0	0	0
Staphylococcus_sp._M0911	0	0	0	  10390	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	  6070	0	0	0	0	  1586	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	  23139	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Veillonella_parvula	0	0	0	  12548	0	0	0	0	0	  3759	0	0	  31347	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	  10618	0	0	  27893	0	0	0	0	0	0	0	  2342	0	0	0	  5216	0	0	0	0	0	0	0	0	0	  57928	0	0	0	  42676	0	0	   9098	0	   6147	  13516	  10897	0	0	0	0	   8801	0	0	0	  5825	0	0	0	  11863	0	0	0	0	 23197	0	0	0	  12273	0	0	0	   335	0	0	0	 136779	   7404	0	0	  27848
