fungi_OG	read_count_sum	RPK_sum	fungi_eggnog_cat	fungi_eggnog_desc	LIBID	feature_class
3NTVK|Fungi	1824	939.8790297772857	I	Cral trio domain protein	MHS342	fungi_OG
3NTVQ|Fungi	61	113.59404096834264	S	mRNA processing protein	MHS342	fungi_OG
3NTW3|Fungi	66	117.6470588235294	T	transporter	MHS342	fungi_OG
3NTW5|Fungi	48	87.91208791208791	B	histone deacetylase	MHS342	fungi_OG
3NTW9|Fungi	765	2193.533404480038	J	Belongs to the universal ribosomal protein uL5 family	MHS342	fungi_OG
3NTWE|Fungi	3792	4454.26908943678	C	Belongs to the mitochondrial carrier (TC 2.A.29) family	MHS342	fungi_OG
3NTWS|Fungi	245	125.44802867383513	J	Acts as an adapter for the XPO1 CRM1-mediated export of the 60S ribosomal subunit	MHS342	fungi_OG
3NTWY|Fungi	22	37.80068728522337	T	STE STE20 PAKA protein kinase	MHS342	fungi_OG
3NTX6|Fungi	375	302.46104190831613	UY	Nuclear pore complex	MHS342	fungi_OG
3NTX7|Fungi	50	166.66666666666669	UY	Importin 11	MHS342	fungi_OG
3NTXD|Fungi	69	147.28132505944836	L	Dna polymerase gamma	MHS342	fungi_OG
3NTXF|Fungi	1476	2693.6539585351884	J	Belongs to the eukaryotic ribosomal protein eS4 family	MHS342	fungi_OG
3NTXH|Fungi	3	11.494252873563218	J	Belongs to the class-I aminoacyl-tRNA synthetase family	MHS342	fungi_OG
3NTXZ|Fungi	26	144.44444444444446	KL	Transcription factor	MHS342	fungi_OG
3NTY2|Fungi	1281	1258.7870016636637	C	Fumarate hydratase	MHS342	fungi_OG
3NTY3|Fungi	441	689.9884410461606	H	Catalyzes the methyl transfer from S-adenosyl-methionine to the C-24 of zymosterol to form fecosterol	MHS342	fungi_OG
3NTY4|Fungi	301	376.05699061739836	J	YdiU domain protein	MHS342	fungi_OG
3NTY8|Fungi	408	903.9429774997745	O	pre-rRNA-processing protein PNO1	MHS342	fungi_OG
3NTYH|Fungi	86	166.66666666666666	BD	Structural maintenance of chromosomes protein	MHS342	fungi_OG
3NTYJ|Fungi	54	95.74468085106383	G	Belongs to the PI3 PI4-kinase family	MHS342	fungi_OG
3NTYK|Fungi	2666	2040.570463247187	M	Chitin Synthase	MHS342	fungi_OG
3NTYM|Fungi	372	525.7011019588073	I	carbamoylphosphate synthase	MHS342	fungi_OG
3NTZ0|Fungi	256	550.4458785252772	J	Belongs to the eukaryotic ribosomal protein eS7 family	MHS342	fungi_OG
3NTZ4|Fungi	164	453.69233581601316	J	Glycyl-trna synthetase	MHS342	fungi_OG
3NTZB|Fungi	483	1325.1088957595616	C	Belongs to the mitochondrial carrier (TC 2.A.29) family	MHS342	fungi_OG
3NTZE|Fungi	1895	838.7643920807182	Q	Belongs to the ABC transporter superfamily. ABCG family. PDR (TC 3.A.1.205) subfamily	MHS342	fungi_OG
3NTZI|Fungi	47	82.4561403508772	S	cell polarity protein	MHS342	fungi_OG
3NTZK|Fungi	607	695.3035509736541	I	Belongs to the enoyl-CoA hydratase isomerase family	MHS342	fungi_OG
3NTZQ|Fungi	1138	2721.2343442109554	J	60S ribosomal protein L7	MHS342	fungi_OG
3NTZT|Fungi	48	93.5672514619883	O	gpi-anchor transamidase	MHS342	fungi_OG
3NTZU|Fungi	107	199.42318218180287	A	Branchpoint-bridging protein	MHS342	fungi_OG
3NU01|Fungi	117	206.85185185185185	S	nucleoporin pom152	MHS342	fungi_OG
3NU03|Fungi	31	58.3804143126177	H	Component of the coenzyme Q biosynthetic pathway. May play a role in organizing a multi-subunit COQ enzyme complex required for coenzyme Q biosynthesis. Required for steady-state levels of other COQ polypeptides	MHS342	fungi_OG
3NU06|Fungi	301	549.8263967742098	A	Multiple RNA-binding domain-containing protein	MHS342	fungi_OG
3NU07|Fungi	2253	3629.9489270528834	J	Belongs to the universal ribosomal protein uS3 family	MHS342	fungi_OG
3NU0B|Fungi	32	81.1522633744856	U	Reduced viability upon starvation protein	MHS342	fungi_OG
3NU0G|Fungi	13	22.222222222222225	F	Belongs to the lyase 1 family. Adenylosuccinate lyase subfamily	MHS342	fungi_OG
3NU0M|Fungi	48	79.20792079207921	E	Gamma-glutamyl phosphate reductase	MHS342	fungi_OG
3NU0P|Fungi	1869	2064.2191196581866	O	Belongs to the TRAFAC class dynamin-like GTPase superfamily. Dynamin Fzo YdjA family	MHS342	fungi_OG
3NU0R|Fungi	380	692.5876093205309	J	RNA-binding component of the eukaryotic translation initiation factor 3 (eIF-3) complex, which is involved in protein synthesis of a specialized repertoire of mRNAs and, together with other initiation factors, stimulates binding of mRNA and methionyl-tRNAi to the 40S ribosome. The eIF-3 complex specifically targets and initiates translation of a subset of mRNAs involved in cell proliferation	MHS342	fungi_OG
3NU0S|Fungi	160	159.6806387225549	J	Catalyzes the formation of N(7)-methylguanine at position 46 (m7G46) in tRNA	MHS342	fungi_OG
3NU0Y|Fungi	525	462.6312201772324	E	Belongs to the D-isomer specific 2-hydroxyacid dehydrogenase family	MHS342	fungi_OG
3NU14|Fungi	440	443.5124314156572	T	protein phosphatase PP2A regulatory subunit A	MHS342	fungi_OG
