bacteria_OG	read_count_sum	RPK_sum	bacteria_eggnog_cat	bacteria_eggnog_desc	LIBID	feature_class
2Z7NE|Bacteria	39	77.7682121920223	C	Phycocyanin beta subunit	MHS406	bacteria_OG
2Z7RG|Bacteria	12	24.691358024691358	C	protein-chromophore linkage	MHS406	bacteria_OG
2Z7RS|Bacteria	1682	2939.745165405799	S	Protein of unknown function (DUF2891)	MHS406	bacteria_OG
2Z7SI|Bacteria	43	60.11983743287277	S	Protein of unknown function (DUF3388)	MHS406	bacteria_OG
2Z7ST|Bacteria	6	11.488715116925473	M	sterol binding	MHS406	bacteria_OG
2Z7TF|Bacteria	18	22.75125466477931	S	Uncharacterized protein conserved in bacteria (DUF2236)	MHS406	bacteria_OG
2Z7TN|Bacteria	26	24.74440068425031	P	One of the components of the core complex of photosystem II (PSII). It binds chlorophyll and helps catalyze the primary light-induced photochemical processes of PSII. PSII is a light- driven water plastoquinone oxidoreductase, using light energy to abstract electrons from H(2)O, generating O(2) and a proton gradient subsequently used for ATP formation	MHS406	bacteria_OG
2Z7U4|Bacteria	145	317.4667257830173	S	succinate dehydrogenase	MHS406	bacteria_OG
2Z7VA|Bacteria	17	28.543062794738148	P	photosynthetic electron transport in photosystem II	MHS406	bacteria_OG
2Z7VY|Bacteria	675	519.8109785904641	S	Psort location Cytoplasmic, score	MHS406	bacteria_OG
2Z7WW|Bacteria	9	24.59016393442623	S	NA	MHS406	bacteria_OG
2Z7X0|Bacteria	12	24.691358024691358	C	allophycocyanin beta subunit	MHS406	bacteria_OG
2Z802|Bacteria	47	136.54192452303644	S	phage tail protein	MHS406	bacteria_OG
2Z80V|Bacteria	2048	2683.5098783532903	E	histidine decarboxylase	MHS406	bacteria_OG
2Z824|Bacteria	4	7.411067193675889	S	Protein of unknown function (DUF3158)	MHS406	bacteria_OG
2Z83G|Bacteria	6	10.526315789473685	S	NA	MHS406	bacteria_OG
2Z83I|Bacteria	1365	1304.6488218923973	S	phosphoenolpyruvate carboxykinase (diphosphate) activity	MHS406	bacteria_OG
2Z85C|Bacteria	20	77.72351105684439	C	protein-chromophore linkage	MHS406	bacteria_OG
2Z87P|Bacteria	138	222.67825232973271	C	photosynthetic electron transport in photosystem II	MHS406	bacteria_OG
2Z88M|Bacteria	20	16.750418760469014	S	NA	MHS406	bacteria_OG
2Z89R|Bacteria	740	780.977902284052	S	NA	MHS406	bacteria_OG
2Z8JK|Bacteria	80	106.57452779622814	C	Photosystem II (PSII) is a light-driven water plastoquinone oxidoreductase that uses light energy to abstract electrons from H(2)O, generating O(2) and a proton gradient subsequently used for ATP formation. It consists of a core antenna complex that captures photons, and an electron transfer chain that converts photonic excitation into a charge separation. The D1 D2 (PsbA PsbA) reaction center heterodimer binds P680, the primary electron donor of PSII as well as several subsequent electron acceptors. D2 is needed for assembly of a stable PSII complex	MHS406	bacteria_OG
2Z8UC|Bacteria	254	412.51820131876616	S	NA	MHS406	bacteria_OG
2Z8XT|Bacteria	69	145.28781256099165	S	YwhD family	MHS406	bacteria_OG
2Z8YX|Bacteria	2	3.663003663003663	S	Protein of unknown function (DUF2815)	MHS406	bacteria_OG
2Z904|Bacteria	6	23.11135470905271	S	phage major tail protein, phi13 family	MHS406	bacteria_OG
2Z90C|Bacteria	681	1382.144893330636	S	Protein of unknown function (DUF3710)	MHS406	bacteria_OG
2Z96N|Bacteria	259	375.71612433754535	S	monooxygenase activity	MHS406	bacteria_OG
2Z97C|Bacteria	6	20.408163265306122	S	NA	MHS406	bacteria_OG
2Z97R|Bacteria	44	56.37233922752483	S	Domain of unknown function (DUF4432)	MHS406	bacteria_OG
2Z980|Bacteria	362	925.1324764078537	S	NA	MHS406	bacteria_OG
2Z9CJ|Bacteria	17	22.757697456492636	S	NA	MHS406	bacteria_OG
2Z9EA|Bacteria	14	21.04270335317267	S	NA	MHS406	bacteria_OG
2Z9FM|Bacteria	203	576.3105156916546	C	monooxygenase activity	MHS406	bacteria_OG
2Z9GU|Bacteria	572	591.539416978862	S	Carotene biosynthesis associated membrane protein	MHS406	bacteria_OG
2Z9JM|Bacteria	467	1720.7954162453657	S	NAD-specific glutamate dehydrogenase	MHS406	bacteria_OG
2Z9SP|Bacteria	84	164.70588235294116	S	Domain of unknown function (DUF4263)	MHS406	bacteria_OG
2Z9UW|Bacteria	264	256.6450783232543	S	NA	MHS406	bacteria_OG
2Z9XG|Bacteria	4	9.25925925925926	S	NA	MHS406	bacteria_OG
2Z9XI|Bacteria	28	37.430342074291005	S	Nuclease-related domain	MHS406	bacteria_OG
2Z9YY|Bacteria	4	10.178117048346056	S	NA	MHS406	bacteria_OG
2ZA0R|Bacteria	66	42.96875	S	Domain of unknown function (DUF4300)	MHS406	bacteria_OG
2ZA62|Bacteria	1	4.504504504504505	S	Domain of unknown function (DUF4191)	MHS406	bacteria_OG
2ZAAY|Bacteria	29	101.75438596491229	S	NA	MHS406	bacteria_OG
2ZAHK|Bacteria	3	11.363636363636363	S	NA	MHS406	bacteria_OG
2ZAIR|Bacteria	907	801.4728729710986	S	NA	MHS406	bacteria_OG
2ZAQK|Bacteria	222	314.0777209973997	S	NA	MHS406	bacteria_OG
