virus_OG	read_count_sum	RPK_sum	virus_eggnog_cat	virus_eggnog_desc	LIBID	feature_class
4QAIK|Virus	9	11.952191235059761	S	bis(5'-nucleosyl)-tetraphosphatase (symmetrical) activity	MHS413	virus_OG
4QAIU|Virus	6	10.362694300518136	S	HNH endonuclease	MHS413	virus_OG
4QAJ1|Virus	1584	2577.8997037067843	S	Domain of unknown function (DUF4355)	MHS413	virus_OG
4QAK6|Virus	3712	3199.2258183944496	S	N-acetylmuramoyl-L-alanine amidase activity	MHS413	virus_OG
4QAKE|Virus	17	21.464646464646464	S	endonuclease activity	MHS413	virus_OG
4QAKZ|Virus	1157	303.67366667572446	S	N-acetyltransferase activity	MHS413	virus_OG
4QAPV|Virus	717	919.8900820963969	S	DNA binding	MHS413	virus_OG
4QAQE|Virus	6	5.714285714285714	S	Phage integrase family	MHS413	virus_OG
4QAQV|Virus	13	24.342113552591663	S	protein disulfide oxidoreductase activity	MHS413	virus_OG
4QAR6|Virus	36	67.0391061452514	L	dUTP diphosphatase activity	MHS413	virus_OG
4QAR7|Virus	1306	926.2585723419036	S	Phage portal protein, SPP1 Gp6-like	MHS413	virus_OG
4QARF|Virus	1365	1086.3541274545282	S	Pfam:Terminase_3C	MHS413	virus_OG
4QATP|Virus	84	190.17929151932503	S	NA	MHS413	virus_OG
4QAU9|Virus	139	271.3603067255688	S	Single-strand binding protein family	MHS413	virus_OG
4QAVQ|Virus	1174	2099.13469295685	S	Phage major tail protein 2	MHS413	virus_OG
4QAWG|Virus	46	46.837174171084094	S	DnaB-like helicase C terminal domain	MHS413	virus_OG
4QAX8|Virus	270	336.6498054078285	S	calcium ion binding	MHS413	virus_OG
4QAXV|Virus	4	10.75268817204301	S	YopX protein	MHS413	virus_OG
4QAZF|Virus	44	121.51916184174249	S	Protein of unknwon function (DUF3310)	MHS413	virus_OG
4QB0W|Virus	16	50.70245663605682	S	Protein of unknown function (DUF1064)	MHS413	virus_OG
4QB1Z|Virus	2	7.326007326007326	S	NA	MHS413	virus_OG
4QB5I|Virus	10	9.009009009009008	S	N-methyltransferase activity	MHS413	virus_OG
4QB6U|Virus	158	384.4282238442823	S	Terminase small subunit	MHS413	virus_OG
4QBA1|Virus	154	137.99283154121864	S	Putative transposase DNA-binding domain	MHS413	virus_OG
4QBCW|Virus	203	628.4677763551002	S	Phage gp6-like head-tail connector protein	MHS413	virus_OG
4QBDC|Virus	468	964.2831602817116	S	Pfam:Phage_holin_4_1	MHS413	virus_OG
4QBET|Virus	52	148.5362095531587	S	hydrolase activity, acting on ester bonds	MHS413	virus_OG
4QBFR|Virus	132	200	S	ERF superfamily	MHS413	virus_OG
4QBG4|Virus	39	16.90507152145644	S	NA	MHS413	virus_OG
4QBGM|Virus	11	23.545629997242898	S	deoxyribonucleoside 5'-monophosphate N-glycosidase activity	MHS413	virus_OG
4QBHE|Virus	2	3.584229390681003	S	NA	MHS413	virus_OG
4QBHS|Virus	165	176.28205128205127	S	DNA metabolic process	MHS413	virus_OG
4QBHW|Virus	1115	1810.7925124917542	S	NA	MHS413	virus_OG
4QBI8|Virus	72	168.327796234773	S	Helix-turn-helix of insertion element transposase	MHS413	virus_OG
4QBNM|Virus	10	13.020833333333334	S	serine-type endopeptidase activity	MHS413	virus_OG
4QBNW|Virus	1	4.444444444444445	S	NA	MHS413	virus_OG
4QBSI|Virus	4783	2303.7276634895843	S	NA	MHS413	virus_OG
4QBT2|Virus	1	4.219409282700422	S	NA	MHS413	virus_OG
