model_gene_id	TPM_gmean
g.580.peg.1601	71.68141446
g.580.peg.2185	142.4899376
UNGROUPED	389700.5981
g.580.peg.297	316.8630507
g.580.peg.1907	254.9908276
g.580.peg.1578	52.41023334
g.580.peg.2293	246.6622489
g.580.peg.1988	136.7938208
g.580.peg.1655	37.31932949
g.580.peg.1769	348.7402449
g.580.peg.1323	63.5869141
g.580.peg.2199	131.2771097
g.580.peg.1843	215.8260914
g.580.peg.2342	176.5583598
g.580.peg.2047	58.30683886
g.580.peg.817	298.0977703
g.580.peg.123	946.7010813
g.580.peg.1826	129.3044923
g.580.peg.1760	171.4841769
g.580.peg.1535	819.5118441
g.580.peg.1600	46.60013271
g.580.peg.961	110.3884043
g.580.peg.1473	131.0735606
g.580.peg.294	50.10301056
g.580.peg.1363	20.48142181
g.580.peg.2076	44.61366944
g.580.peg.2043	180.4328683
g.580.peg.2006	58.46252523
g.580.peg.698	333.9681913
g.580.peg.937	107.1707776
g.580.peg.1436	156.2166941
g.580.peg.1591	46.91782546
g.580.peg.2319	341.4239202
g.580.peg.2035	52.36259434
g.580.peg.2121	232.279982
g.580.peg.2056	112.4036885
g.580.peg.349	171.1769163
g.580.peg.156	135.6191835
g.580.peg.686	58.15441135
g.580.peg.141	245.5704691
g.580.peg.870	71.00186944
g.580.peg.464	41.77044747
g.580.peg.2365	356.2660661
g.580.peg.2166	264.0005919
g.580.peg.252	116.8538363
g.580.peg.794	20.32363736
g.580.peg.1756	66.91264912
g.580.peg.507	37.37559208
g.580.peg.1325	196.3693699
g.580.peg.1899	326.1280079
g.580.peg.2070	355.2049182
g.580.peg.1165	425.7014216
g.580.peg.1898	240.2055284
g.580.peg.2350	57.30924858
g.580.peg.2310	67.94477822
g.580.peg.2036	157.8604757
g.580.peg.2053	281.5087005
g.580.peg.2325	1941.839271
g.580.peg.2216	147.5704276
g.580.peg.2229	158.4181053
g.580.peg.2233	269.2445923
g.580.peg.2200	26.91493555
g.580.peg.664	429.5940714
g.580.peg.422	116.1268201
g.580.peg.748	83.10709104
g.580.peg.703	94.52359132
g.580.peg.149	217.9254976
g.580.peg.896	141.8717904
g.580.peg.420	213.1985103
g.580.peg.1609	56.33031098
g.580.peg.2417	182.0034418
g.580.peg.1170	42.99718666
g.580.peg.1885	76.28321118
g.580.peg.1269	770.5935643
g.580.peg.554	225.9536916
g.580.peg.674	205.1132121
g.580.peg.158	87.18507834
g.580.peg.885	143.9221662
g.580.peg.1149	256.1491641
g.580.peg.2128	93.78861416
g.580.peg.1485	126.6262954
g.580.peg.1606	209.3438858
g.580.peg.1570	204.8946208
g.580.peg.1944	127.0458435
g.580.peg.1391	81.32569949
g.580.peg.2177	185.4463105
g.580.peg.2148	64.06976175
g.580.peg.2383	175.0670582
g.580.peg.2067	126.8813377
g.580.peg.2312	64.10943755
267747.1.peg.824	495.5072525
g.580.peg.2304	141.1325978
g.580.peg.2330	86.86212572
g.580.peg.120	96.2039834
g.580.peg.28	90.29876208
g.580.peg.363	119.989365
g.580.peg.831	93.7971004
g.580.peg.585	58.26001993
g.580.peg.2057	23.03196077
267747.1.peg.778	23.03196077
g.580.peg.2050	50.0611761
g.580.peg.502	278.1075509
g.580.peg.1318	176.5742958
g.580.peg.1877	337.9488149
g.580.peg.455	36.75704404
g.580.peg.17	90.96430729
g.580.peg.1558	663.8452462
g.580.peg.1334	51.48038652
g.580.peg.2311	84.66306919
g.580.peg.2167	50.4796974
g.580.peg.2264	83.1637824
g.580.peg.2273	348.4427005
g.580.peg.1959	206.0160699
g.580.peg.1811	39.56400257
g.580.peg.1807	89.77109766
g.580.peg.1248	313.2877836
g.580.peg.1749	18.69820969
g.580.peg.1281	119.5873936
g.580.peg.1551	719.5895551
g.580.peg.1071	288.8967527
g.580.peg.504	651.2705385
g.580.peg.1628	579.1171079
g.580.peg.2360	306.6933753
g.580.peg.2031	48.95834512
g.580.peg.2284	105.8556961
g.580.peg.2239	638.2132898
g.580.peg.2340	340.2679927
g.580.peg.379	84.84992416
g.580.peg.49	92.9353833
g.580.peg.613	640.5503241
g.580.peg.871	88.89414632
g.580.peg.248	144.8190748
g.580.peg.425	254.7729754
g.580.peg.111	30.78664806
g.580.peg.79	91.77586815
g.580.peg.36	199.3746474
g.580.peg.527	282.1829779
g.580.peg.537	73.02250726
g.580.peg.1977	84.03571163
g.580.peg.1646	124.1584877
g.580.peg.386	193.1334926
g.580.peg.1584	81.71993318
g.580.peg.1772	164.3765576
g.580.peg.899	117.4800937
g.580.peg.625	2419.973019
g.580.peg.1050	49.78227327
g.580.peg.1639	247.133171
g.580.peg.2355	696.1492703
g.580.peg.628	165.7084999
g.580.peg.546	953.3810227
g.580.peg.300	81.18795073
g.580.peg.771	59.93177514
g.580.peg.970	376.7036252
g.580.peg.118	54.61759959
g.580.peg.875	64.62452134
g.580.peg.773	414.1249776
g.580.peg.609	58.53529511
g.580.peg.602	66.72050966
g.580.peg.557	121.9232261
g.580.peg.974	200.0751684
g.580.peg.1663	32.88365376
g.580.peg.2388	310.7723933
g.580.peg.1809	381.3518398
g.580.peg.1754	1928.655563
g.580.peg.1780	630.2664811
g.580.peg.1992	1073.541239
267747.1.peg.1928	161.16382
g.580.peg.1157	151.0070928
g.580.peg.528	224.9462423
g.580.peg.233	354.8847029
g.580.peg.603	117.964652
g.580.peg.1509	104.0898723
g.580.peg.1039	151.3129427
g.580.peg.671	3401.942207
g.580.peg.1097	802.5475725
g.580.peg.2174	94.12084216
g.580.peg.367	843.7052833
g.580.peg.1337	63.86165294
g.580.peg.468	93.24376286
g.580.peg.1258	41.76969479
g.580.peg.290	165.5356025
g.580.peg.1543	89.76671282
g.580.peg.1932	377.2533815
g.580.peg.1499	879.7385704
g.580.peg.1174	9.129128981
g.580.peg.65	100.2880609
g.580.peg.619	143.2892592
267747.1.peg.1192	70.51223817
g.580.peg.1767	228.9098906
g.580.peg.2183	71.39062209
g.580.peg.797	543.9352537
g.580.peg.978	26.04214891
g.580.peg.1755	424.7930671
g.580.peg.775	50.63323328
g.580.peg.85	43.697344
g.580.peg.1457	97.24477942
g.580.peg.1052	83.7683926
g.580.peg.1042	478.8303503
g.580.peg.1621	67.63215966
g.580.peg.462	190.0434743
g.580.peg.997	83.47349638
g.580.peg.2202	82.6975269
g.580.peg.133	84.77072087
g.580.peg.1283	48.37974457
g.580.peg.2018	83.20716566
g.580.peg.2412	348.6562872
267747.1.peg.826	348.6562872
g.580.peg.486	113.0744025
g.580.peg.699	46.05024406
g.580.peg.804	162.0835149
g.580.peg.647	578.1015189
g.580.peg.1399	1222.785429
g.580.peg.702	49.14366057
g.580.peg.2300	213.5715243
g.580.peg.2145	100.324992
g.580.peg.565	546.4782497
g.580.peg.555	139.9869261
g.580.peg.1082	435.9174194
g.580.peg.1014	9.898775726
g.580.peg.303	215.6136771
g.580.peg.258	161.5945633
g.580.peg.1460	134.9895632
267747.1.peg.1139	84.35612541
g.580.peg.1739	29.39026048
g.580.peg.251	71.63680487
g.580.peg.1166	720.2050646
g.580.peg.1401	12.92200613
267747.1.peg.85	37.85206631
g.580.peg.1862	116.4495939
g.580.peg.2282	1448.313742
g.580.peg.450	100.7286385
g.580.peg.1066	319.8620236
g.580.peg.952	427.4416333
g.580.peg.1336	22.19866951
g.580.peg.37	281.9980317
g.580.peg.66	162.1762101
g.580.peg.1989	55.77619686
g.580.peg.205	396.9488083
267747.1.peg.31	267.5694866
g.580.peg.328	38.59908748
g.580.peg.898	100.934166
g.580.peg.100	187.6414273
g.580.peg.926	127.3570686
g.580.peg.2186	147.3164722
g.580.peg.2419	135.3840744
g.580.peg.160	332.7694752
g.580.peg.1863	646.1274012
g.580.peg.491	305.7539905
g.580.peg.2244	34.1003856
g.580.peg.1705	56.32670578
g.580.peg.2260	115.5960756
g.580.peg.108	212.4622446
g.580.peg.1973	51.38065146
g.580.peg.1106	339.3731551
g.580.peg.456	288.0036025
g.580.peg.1748	117.5810252
g.580.peg.2151	91.18052598
g.580.peg.2144	45.40974048
g.580.peg.1727	327.1175238
g.580.peg.1635	42.92917315
g.580.peg.1569	127.2853413
g.580.peg.973	48.09612701
g.580.peg.1295	363.3327305
g.580.peg.2352	168.6537312
g.580.peg.2374	68.62135007
g.580.peg.460	276.4642298
g.580.peg.1392	103.7160181
g.580.peg.1998	727.5676756
g.580.peg.1875	2444.288101
g.580.peg.1910	58.32316646
g.580.peg.325	55.82026884
g.580.peg.566	148.9754836
g.580.peg.636	42.81600875
g.580.peg.1546	72.74474195
g.580.peg.1506	104.37221
g.580.peg.1178	794.5181612
g.580.peg.1452	262.1011258
g.580.peg.1670	196.5042935
g.580.peg.466	5118.636507
g.580.peg.475	64.83761143
g.580.peg.2232	55.2125123
g.580.peg.2254	91.07552074
g.580.peg.474	119.597255
g.580.peg.1605	87.20289251
g.580.peg.144	16.51976108
g.580.peg.2176	67.75882416
g.580.peg.2329	32.8818959
g.580.peg.2294	41.293576
g.580.peg.183	132.6807796
g.580.peg.1312	47.22411706
g.580.peg.165	83.38232329
g.580.peg.182	31.40209008
g.580.peg.2238	35.97263773
g.580.peg.576	934.5436561
g.580.peg.415	132.7948877
g.580.peg.1442	438.5844236
g.580.peg.418	975.1301728
g.580.peg.262	41.26672884
g.580.peg.945	21.48510808
g.580.peg.2007	79.58264696
g.580.peg.433	66.97304717
g.580.peg.346	28.35697575
g.580.peg.478	71.30290162
g.580.peg.736	1280.904746
g.580.peg.2146	342.9372154
g.580.peg.501	221.7524014
g.580.peg.1604	40.61193552
g.580.peg.1577	122.4872815
g.580.peg.1058	80.35753607
g.580.peg.1423	159.8123195
g.580.peg.309	128.2200424
g.580.peg.1938	47.71413348
g.580.peg.1228	35.32548384
g.580.peg.365	115.7054463
g.580.peg.1298	12.14095735
g.580.peg.1658	478.8220916
g.580.peg.2163	105.2636773
g.580.peg.454	2369.512697
g.580.peg.1133	86.24438407
g.580.peg.307	345.5664669
g.580.peg.2274	211.3844985
g.580.peg.907	142.698426
g.580.peg.91	97.06224785
g.580.peg.1854	31.69244876
g.580.peg.754	183.7025401
g.580.peg.1511	217.938428
g.580.peg.341	103.9170331
g.580.peg.1623	157.2110808
g.580.peg.1675	54.03635709
g.580.peg.280	481.5738211
g.580.peg.975	40.5425257
g.580.peg.1829	599.0859378
g.580.peg.735	81.87774717
g.580.peg.1049	58.66781517
g.580.peg.985	154.3392195
g.580.peg.574	224.1394741
g.580.peg.3	230.3010506
g.580.peg.561	209.0420871
g.580.peg.277	139.026529
g.580.peg.1273	48.35109264
g.580.peg.866	63.91958326
g.580.peg.1219	73.70809767
g.580.peg.461	65.37658512
g.580.peg.620	96.07481615
g.580.peg.774	115.8951781
g.580.peg.517	45.63188074
g.580.peg.893	73.26816543
g.580.peg.444	146.2237901
g.580.peg.2158	34.40721531
g.580.peg.122	74.7997341
g.580.peg.276	105.4489762
g.580.peg.1498	60.89254479
g.580.peg.1833	86.55786477
g.580.peg.189	235.6183251
g.580.peg.972	130.2584851
g.580.peg.700	25.29419135
g.580.peg.691	708.7685861
g.580.peg.2206	236.5004447
g.580.peg.98	239.2424177
g.580.peg.1404	113.8713691
g.580.peg.1360	356.9159397
g.580.peg.569	98.24324265
g.580.peg.1233	79.38667573
g.580.peg.544	256.1803696
g.580.peg.965	253.8353219
g.580.peg.1246	258.6972381
g.580.peg.1008	256.5704216
g.580.peg.2189	325.1676685
g.580.peg.121	240.9747052
g.580.peg.2392	768.9506678
g.580.peg.1424	99.45011113
g.580.peg.1070	212.40264
g.580.peg.472	103.2372631
g.580.peg.1686	208.0045951
g.580.peg.1023	7731.169948
g.580.peg.1796	8388.765071
g.580.peg.1227	84.58233507
g.580.peg.2297	34.15333316
g.580.peg.1575	56.48654534
g.580.peg.2187	13.02955888
g.580.peg.1205	797.0884855
g.580.peg.180	40.49636174
g.580.peg.1139	37.90708931
g.580.peg.71	36.86251761
g.580.peg.1994	452.133646
g.580.peg.1142	452.133646
g.580.peg.1857	183.0655419
g.580.peg.2224	102.1425502
g.580.peg.850	190.7771535
g.580.peg.1930	158.3291148
g.580.peg.237	60.0434656
g.580.peg.1011	137.8906142
g.580.peg.733	80.76325955
g.580.peg.939	118.704882
g.580.peg.2094	130.2724336
g.580.peg.503	228.6404853
g.580.peg.575	74.93204967
g.580.peg.1573	224.7657019
g.580.peg.1303	75.48694103
g.580.peg.2270	33.18603913
g.580.peg.1652	89.23648562
g.580.peg.1075	222.8660052
g.580.peg.838	83.38948012
g.580.peg.2003	43.4736949
g.580.peg.72	129.1929703
g.580.peg.131	72.72313805
g.580.peg.2156	165.1366353
g.580.peg.1322	28.41502749
g.580.peg.292	82.28166102
g.580.peg.1914	493.2087653
g.580.peg.1038	301.9769396
g.580.peg.1136	821.782674
g.580.peg.1647	310.3016451
g.580.peg.162	254.1215
g.580.peg.827	255.0690037
g.580.peg.1358	78.47265566
g.580.peg.2097	157.9490428
g.580.peg.484	57.66997292
g.580.peg.886	259.1843196
g.580.peg.1501	139.2594551
g.580.peg.1882	163.2252694
g.580.peg.42	79.24404631
g.580.peg.1544	197.4953672
g.580.peg.2184	43.62705329
g.580.peg.381	480.7403181
g.580.peg.1265	77.00588084
g.580.peg.2401	67.48912575
g.580.peg.2322	101.0907291
g.580.peg.1514	37.26317219
g.580.peg.1371	113.0337872
g.580.peg.1430	234.4762203
g.580.peg.2	112.0764752
g.580.peg.1464	48.09838737
g.580.peg.2353	35.33959263
g.580.peg.241	37.30590243
g.580.peg.2398	230.220462
g.580.peg.1354	191.3141424
g.580.peg.1420	174.2471551
g.580.peg.1328	132.9826866
g.580.peg.406	189.2945126
g.580.peg.1213	93.29976643
g.580.peg.2333	181.3644414
g.580.peg.1840	129.5482555
g.580.peg.1032	591.060213
g.580.peg.90	18.72357314
g.580.peg.1372	47.80423114
g.580.peg.1701	62.55152659
g.580.peg.2351	566.3463607
g.580.peg.1726	142.4230523
g.580.peg.2033	62.49431019
g.580.peg.1410	193.8471042
g.580.peg.1221	1369.375204
g.580.peg.1326	75.91257707
g.580.peg.1412	90.25127644
g.580.peg.614	15.31911494
g.580.peg.356	149.5704561
g.580.peg.1997	80.7344759
g.580.peg.1319	116.1646358
g.580.peg.2048	330.9708414
g.580.peg.1131	107.2260852
g.580.peg.2093	41.18648931
g.580.peg.1441	2479.332406
g.580.peg.976	76.20821458
g.580.peg.238	227.0147468
g.580.peg.1026	87.93394297
g.580.peg.906	39.56284897
g.580.peg.2331	285.9697741
g.580.peg.741	105.0567689
g.580.peg.2079	156.7079943
g.580.peg.1190	171.7391763
g.580.peg.1622	54.49204888
g.580.peg.1698	61.06995542
g.580.peg.563	25.70646332
g.580.peg.1183	267.7262743
g.580.peg.879	70.44700814
g.580.peg.458	69.71970177
g.580.peg.223	28.93014784
g.580.peg.1505	161.4547089
g.580.peg.901	76.58855191
g.580.peg.1366	53.65778714
g.580.peg.2308	144.9483847
g.580.peg.278	368.8239551
g.580.peg.497	98.08953223
g.580.peg.932	25.76702421
g.580.peg.1067	273.5406419
g.580.peg.1782	83.37701276
267747.1.peg.507	68.61980109
g.580.peg.2108	40.15330359
g.580.peg.1634	149.6042294
g.580.peg.135	64.6067126
g.580.peg.1685	67.19111406
g.580.peg.201	50.92100401
g.580.peg.721	48.34494935
g.580.peg.1152	154.8204674
g.580.peg.1799	116.6481055
g.580.peg.577	246.5518645
g.580.peg.1627	35.59984561
g.580.peg.469	84.00219161
g.580.peg.1564	43.68608977
g.580.peg.943	125.8299625
g.580.peg.326	209.5053902
g.580.peg.895	8.215661739
g.580.peg.1887	97.48171999
g.580.peg.19	156.2571397
g.580.peg.2026	76.04150518
g.580.peg.1099	110.544843
g.580.peg.1927	218.3744156
g.580.peg.1890	81.36987124
g.580.peg.1956	40.18817552
g.580.peg.1967	110.072547
267747.1.peg.1730	53.22467108
g.580.peg.1801	147.0218916
g.580.peg.1486	113.7711297
267747.1.peg.1729	36.56105512
g.580.peg.267	13.66656957
g.580.peg.1800	136.6459246
g.580.peg.1986	52.50732522
g.580.peg.69	104.6617399
g.580.peg.246	1314.192643
g.580.peg.801	2020.057732
g.580.peg.692	43.86056581
g.580.peg.1321	282.9779705
g.580.peg.743	225.9836173
g.580.peg.963	187.9295448
g.580.peg.1895	229.6806002
g.580.peg.980	1455.222538
g.580.peg.612	454.4445511
g.580.peg.1594	370.4982964
g.580.peg.1470	139.6741922
g.580.peg.1525	166.2963922
g.580.peg.1849	58.95585484
g.580.peg.1181	184.3701887
g.580.peg.2302	274.0629424
g.580.peg.750	396.4678965
g.580.peg.949	92.13508454
g.580.peg.845	203.5633104
g.580.peg.340	1198.079838
g.580.peg.2139	146.2339139
g.580.peg.33	80.45785066
g.580.peg.842	166.2544517
g.580.peg.374	256.0999095
g.580.peg.298	268.2860419
g.580.peg.1115	22.83451498
g.580.peg.1083	50.03715429
g.580.peg.1619	10.03897118
