ECnum	TPM_gmean
g.165.peg.1844	171.1045844
g.165.peg.2257	270.6807071
g.165.peg.1233	146.9879748
g.165.peg.1785	31.20470552
g.165.peg.998	1.291975005
g.165.peg.1900	137.2839389
g.165.peg.1746	58.42915983
g.165.peg.2222	65.94217271
g.165.peg.243	204.9513104
g.165.peg.1965	2174.681398
g.165.peg.1795	136.9806072
g.165.peg.2009	1398.113285
g.165.peg.513	98.30024181
g.165.peg.1403	37.65835789
g.165.peg.476	114.4246181
g.165.peg.1442	186.2933725
g.165.peg.375	27.2434508
g.165.peg.853	7.002504829
g.165.peg.1397	9.285936007
UNGROUPED	85760.89776
g.165.peg.2404	45.04696303
g.165.peg.586	43.81575034
g.165.peg.764	389.1816066
g.165.peg.211	123.3080143
g.165.peg.2219	67.37462939
g.165.peg.677	257.2898506
g.165.peg.1062	81.24425416
g.165.peg.474	227.1582777
g.165.peg.1346	82.51799354
g.165.peg.1638	151.2548011
g.165.peg.1059	558.5997304
g.165.peg.53	98.49130493
g.165.peg.692	64.03835478
g.165.peg.2376	166.8157947
g.165.peg.2024	198.8332524
g.165.peg.2118	9.134841773
g.165.peg.859	1172.457536
g.165.peg.1831	3126.293216
g.165.peg.1065	115.9625568
g.165.peg.1805	673.8194009
g.165.peg.396	0
g.165.peg.2104	238.777054
g.165.peg.582	53.35955735
g.165.peg.727	479.9523473
g.165.peg.383	91.06547835
g.165.peg.2263	2555.205696
g.165.peg.440	461.3483016
g.165.peg.55	2041.04118
g.165.peg.719	917.2883905
g.165.peg.1846	655.5876385
g.165.peg.30	5.266092449
g.165.peg.1954	17.10721152
g.165.peg.1145	56.23195064
g.165.peg.1740	953.5297477
g.165.peg.1430	266.8619035
g.165.peg.671	130.9124784
g.165.peg.512	148.8554955
g.165.peg.1611	586.2998007
g.165.peg.1389	1181.793972
g.165.peg.1035	7695.337653
g.165.peg.2139	76.11905156
g.165.peg.1818	71.30856541
g.165.peg.1327	129.1240615
g.165.peg.985	123.3895587
g.165.peg.84	821.3993213
g.165.peg.1242	3164.333607
g.165.peg.1021	2.783224105
g.165.peg.1014	50.72348576
g.165.peg.2391	904.476372
g.165.peg.1019	55.00097508
g.165.peg.508	49.64592697
g.165.peg.2170	7.584465774
g.165.peg.390	121.0939405
g.165.peg.165	105.399681
g.165.peg.897	320.9348099
g.165.peg.1404	9.338300794
g.165.peg.2418	243.9471911
g.165.peg.632	377.574559
g.165.peg.1533	176.5094217
g.165.peg.634	134.5183752
g.165.peg.2316	657.2548902
g.165.peg.162	63.41639503
g.165.peg.1482	293.6640231
g.165.peg.1518	40.03987298
g.165.peg.2125	948.8090491
g.165.peg.2365	208.9769443
g.165.peg.350	948.9864168
