ECnum	TPM_gmean
g.165.peg.1844	208.9492776
g.165.peg.2257	128.6188732
g.165.peg.1233	28.63995873
g.165.peg.1785	20.9241941
g.165.peg.998	9.147164759
g.165.peg.1900	53.90924443
g.165.peg.1746	69.25002632
g.165.peg.2222	11.72246496
g.165.peg.243	240.8154387
g.165.peg.1965	1983.391529
g.165.peg.1795	82.93617491
g.165.peg.2009	79.5913182
g.165.peg.513	101.5573641
g.165.peg.1403	104.665793
g.165.peg.476	205.9283514
g.165.peg.1442	45.33583859
g.165.peg.375	87.64164201
g.165.peg.1397	22.2826902
UNGROUPED	134138.0568
g.165.peg.2404	36.06443925
g.165.peg.586	9.469567364
g.165.peg.764	223.0892217
g.165.peg.1292	8289.032222
g.165.peg.1047	5804.608133
g.165.peg.211	45.7120213
g.165.peg.2219	33.59549917
g.165.peg.677	74.76314878
g.165.peg.1062	95.47721833
g.165.peg.474	91.22958638
g.165.peg.1346	32.62131808
g.165.peg.1638	68.473156
g.165.peg.1059	202.7453193
g.165.peg.692	41.17252484
g.165.peg.2024	67.30656096
g.165.peg.2118	29.79210143
g.165.peg.859	667.0405855
g.165.peg.1831	5600.853539
g.165.peg.1805	167.6240943
g.165.peg.396	9.396670663
g.165.peg.2104	109.6604514
g.165.peg.582	18.01196132
g.165.peg.727	322.3842421
g.165.peg.383	153.5655551
g.165.peg.1843	18.44956035
g.165.peg.2263	106.0743272
g.165.peg.440	142.5336635
g.165.peg.55	691.9860551
g.165.peg.719	338.7155117
g.165.peg.1846	371.7237477
g.165.peg.30	10.62501874
g.165.peg.1954	0
g.165.peg.1145	24.02500302
g.165.peg.1740	210.9609737
g.165.peg.1430	230.2179813
g.165.peg.671	85.83690592
g.165.peg.512	91.64561984
g.165.peg.1611	1458.113631
g.165.peg.1389	92.72600942
g.165.peg.1035	43.71149951
g.165.peg.2139	12.80928099
g.165.peg.1818	44.34525292
g.165.peg.1327	1160.324403
g.165.peg.985	94.99086532
g.165.peg.84	333.9062411
g.165.peg.1242	120.478842
g.165.peg.1021	8.196321092
g.165.peg.1014	31.30722024
g.165.peg.2391	205.9413163
g.165.peg.1019	37.71994645
g.165.peg.508	38.22164253
g.165.peg.2170	4.201098462
g.165.peg.390	1657.477358
g.165.peg.165	44.35465918
g.165.peg.897	29.4288432
g.165.peg.1404	6.777346738
g.165.peg.2418	63.28293103
g.165.peg.632	698.8491576
g.165.peg.1533	39.35905619
g.165.peg.634	32.04415179
g.165.peg.2316	325.1614185
g.165.peg.162	12.29459583
g.165.peg.1482	75.26586629
g.165.peg.1518	22.42770972
g.165.peg.2125	692.1714594
g.165.peg.2365	252.8147529
g.165.peg.350	261.0371357
g.165.peg.789	71.59353289
g.165.peg.9	271.6727326
g.165.peg.574	136.1067004
g.165.peg.1309	197.8980476
g.165.peg.1727	2890.617186
g.165.peg.1540	55.79940262
g.165.peg.1877	138.6255091
g.165.peg.2233	194.1977166
g.165.peg.348	905.7938652
g.165.peg.806	20044.9452
g.165.peg.993	683.6909966
g.165.peg.449	54.09132031
g.165.peg.32	142.7843317
g.165.peg.1015	7.0304276
g.165.peg.715	285.6150684
g.165.peg.105	46.34369038
g.165.peg.1858	83.61991986
g.165.peg.1279	187.6199579
g.165.peg.1705	17.72360665
g.165.peg.2272	262.613914
g.165.peg.1177	27.66167007
g.165.peg.2134	0
g.165.peg.2383	32.27411352
g.165.peg.1013	805.9332746
g.165.peg.2310	21.55322935
g.165.peg.119	50.3401403
g.165.peg.1747	44.75493133
g.165.peg.1061	1.013561081
g.165.peg.1318	63.23362417
g.165.peg.78	276.6619144
g.165.peg.1681	240.8482878
g.165.peg.496	21.19473171
g.165.peg.31	15.99572835
g.165.peg.1183	24.22255456
g.165.peg.1584	30.18578639
g.165.peg.469	2438.163443
g.165.peg.465	292.1791267
g.165.peg.1324	13.8424017
g.165.peg.871	20.58557307
g.165.peg.1191	0
g.165.peg.1792	8.141599843
g.165.peg.100	64.46554071
g.165.peg.1733	28.14779823
g.165.peg.2124	64.5931856
g.165.peg.437	23.71156777
g.165.peg.549	44.1680804
g.165.peg.1613	12.3606174
g.165.peg.961	41.08494077
g.165.peg.306	16.83767278
g.165.peg.610	71.74478927
g.165.peg.1852	129.1924959
g.165.peg.464	140.4929477
g.165.peg.627	40.10361123
g.165.peg.1921	464.7847979
g.165.peg.2093	420.0454283
g.165.peg.2349	914.1005424
g.165.peg.199	25.22518108
g.165.peg.1940	48.41390142
g.165.peg.1303	56.80109707
g.165.peg.22	522.3981659
g.165.peg.1246	127.671332
g.165.peg.127	0
g.165.peg.2027	15.96039975
g.165.peg.977	20.89774385
g.165.peg.745	23.88280107
g.165.peg.1813	421.7740796
g.165.peg.1855	21.25013227
g.165.peg.477	1.040734873
g.165.peg.2193	380.073237
g.165.peg.1895	22.84577959
g.165.peg.1720	60.98142873
g.165.peg.672	63.19281081
g.165.peg.1782	22.20153974
g.165.peg.1171	0
g.165.peg.1631	30.32431052
g.165.peg.1587	117.6061006
g.165.peg.1984	226.322316
g.165.peg.1251	109.6116454
g.165.peg.967	25.11642985
g.165.peg.880	199.6338204
g.165.peg.772	93.07238014
g.165.peg.1585	361.371891
g.165.peg.213	23.94562549
g.165.peg.799	171.0461267
g.165.peg.1196	19.3386718
g.165.peg.431	130.8246753
g.165.peg.2083	446.7321023
g.165.peg.1680	108.137697
g.165.peg.358	9.300685369
g.165.peg.1102	170.002906
g.165.peg.1462	61.63394647
g.165.peg.156	78.57345969
g.165.peg.986	479.0049377
g.165.peg.2231	24.50414335
g.165.peg.2267	47.00288163
g.165.peg.164	10.75781434
g.165.peg.605	158.3902838
g.165.peg.681	75.13126779
g.165.peg.1593	141.2961469
g.165.peg.1128	66.19457395
g.165.peg.1994	95.25289176
g.165.peg.717	120.4784551
g.165.peg.482	206.2677949
g.165.peg.553	83.88594945
g.165.peg.995	2428.831422
g.165.peg.2076	79.18551323
g.165.peg.1771	77.10033648
g.165.peg.2313	37.32889944
g.165.peg.1526	297.7590272
g.165.peg.2055	156.5731466
g.165.peg.2169	5485.221467
g.165.peg.2309	179.2323715
g.165.peg.831	87.0792451
g.165.peg.1868	163.7893197
g.165.peg.1055	676.6775166
g.165.peg.1651	251.4085188
g.165.peg.1941	34.66022784
g.165.peg.349	3.023723682
g.165.peg.1138	312.8353204
g.165.peg.510	0
g.165.peg.1555	40.81609161
g.165.peg.1410	289.3634428
g.165.peg.1781	197.0330184
g.165.peg.862	321.9299666
g.165.peg.2403	85.27248273
g.165.peg.1731	25.54994855
g.165.peg.1560	11.97403668
g.165.peg.2068	67.56295118
g.165.peg.1294	34.9124853
g.165.peg.93	197.8938223
g.165.peg.51	234.5362517
g.165.peg.2414	384.3396343
g.165.peg.1484	194.3111942
g.165.peg.950	27.66970556
g.165.peg.1393	301.4169775
g.165.peg.1344	80.22995735
g.165.peg.128	127.2206691
g.165.peg.1109	76.53451608
g.165.peg.169	17.22637001
g.165.peg.286	62.36997586
g.165.peg.433	73.28464331
g.165.peg.158	95.0334173
g.165.peg.1521	311.8511188
g.165.peg.1282	828.2510294
g.165.peg.2059	203.9983146
g.165.peg.1486	266.2666318
g.165.peg.538	573.9106092
g.165.peg.238	10.89110983
g.165.peg.1644	386.3323029
g.165.peg.1923	552.0668253
g.165.peg.2290	289.601387
g.165.peg.1384	28.57154896
g.165.peg.1495	8.994239734
g.165.peg.1600	684.5090787
g.165.peg.1307	531.4324542
g.165.peg.368	588.9547158
g.165.peg.561	301.2537505
g.165.peg.1167	44.9156589
g.165.peg.1049	739.310434
g.165.peg.2078	141.0687294
g.165.peg.1777	815.571687
g.165.peg.471	4247.02628
g.165.peg.60	756.8505598
g.165.peg.1326	60.01177307
g.165.peg.29	85.12577044
g.165.peg.442	25.93797965
g.165.peg.1908	12.72090651
g.165.peg.559	19.49144176
g.165.peg.2262	3059.337092
g.165.peg.438	23.40362362
g.165.peg.1847	0
g.165.peg.27	119.256552
g.165.peg.888	424.162407
g.165.peg.753	64.84545106
g.165.peg.140	12.79729784
g.165.peg.2207	121.5386798
g.165.peg.1088	32.67424211
g.165.peg.44	345.9145724
g.165.peg.246	40.66229477
g.165.peg.75	224.7905696
g.165.peg.1510	110.0425005
g.165.peg.157	263.9485074
g.165.peg.1738	1058.362873
g.165.peg.781	32.06804166
g.165.peg.284	222.0668046
g.165.peg.104	78.23755265
g.165.peg.1981	1235.469453
g.165.peg.83	274.5192869
g.165.peg.974	135.7117265
g.165.peg.447	71.5881738
g.165.peg.2344	1105.954722
g.165.peg.1841	327.1297038
g.165.peg.621	102.7454906
g.165.peg.1933	29.91338815
g.165.peg.415	5.835819838
g.165.peg.879	135.1642449
g.165.peg.906	23.94098152
g.165.peg.2256	108.0386351
g.165.peg.802	975.9791524
g.165.peg.450	6.613526369
g.165.peg.1969	59.9923068
g.165.peg.1866	12.45292031
g.165.peg.443	290.2406582
g.165.peg.504	110.8753884
g.165.peg.2196	78.95805277
g.165.peg.1220	73.49995979
g.165.peg.1516	554.156321
g.165.peg.1341	15.83291153
g.165.peg.883	707.4177136
g.165.peg.256	64.64979069
g.165.peg.1538	17.40466443
g.165.peg.2156	147.5453107
g.165.peg.2047	436.1176708
g.165.peg.1448	133.7294074
g.165.peg.1330	295.4084638
g.165.peg.475	324.3445984
g.165.peg.636	60.47996454
g.165.peg.1504	67.82886885
g.165.peg.1360	26.68475067
g.165.peg.304	854.0698622
g.165.peg.2143	89.00415764
g.165.peg.1870	8.674067693
g.165.peg.1136	12.41569209
g.165.peg.426	13.42915182
g.165.peg.1761	134.3204624
g.165.peg.374	234.4912049
g.165.peg.2311	382.8977542
g.165.peg.2147	3502.007549
g.165.peg.361	113.1319588
g.165.peg.1758	88.61566738
g.165.peg.1230	30.24539898
g.165.peg.1211	387.742971
g.165.peg.2286	48.3705579
g.165.peg.844	142.2458356
g.165.peg.1869	61.31327245
g.165.peg.619	350.1954081
g.165.peg.2152	57.00817678
g.165.peg.820	443.0584206
g.165.peg.1911	10.4117264
g.165.peg.633	841.6333216
g.165.peg.2340	82.89724272
g.165.peg.1204	163.0143248
g.165.peg.973	98.53189778
g.165.peg.870	226.2219314
g.165.peg.1986	36.73122461
g.165.peg.1262	131.4058208
g.165.peg.1889	116.6114151
g.165.peg.1409	251.7358155
g.165.peg.117	1201.881145
g.165.peg.295	95.55152446
g.165.peg.2372	81.80285369
g.165.peg.1589	17.89875999
g.165.peg.1610	15.66767945
g.165.peg.814	7.145534862
g.165.peg.231	595.2784739
g.165.peg.887	19.59227489
g.165.peg.506	134.8337428
g.165.peg.1952	834.5893411
g.165.peg.518	88.91085919
g.165.peg.316	310.1679269
g.165.peg.261	192.149374
g.165.peg.1105	18.01796462
g.165.peg.1099	3.893148622
g.165.peg.367	91.60558683
g.165.peg.2098	334.4399387
g.165.peg.1721	19.59564138
g.165.peg.975	343.301276
g.165.peg.2405	56.39572398
g.165.peg.335	211.3029901
g.165.peg.297	60.49221588
g.165.peg.903	630.6002715
g.165.peg.1524	231.5824569
g.165.peg.938	171.5024238
g.165.peg.1702	71.58150149
g.165.peg.2239	312.5551398
g.165.peg.1537	3.978441793
g.165.peg.1364	2.041153718
g.165.peg.1283	31.84507834
g.165.peg.2085	80.23892086
g.165.peg.738	737.9002804
g.165.peg.885	48.53582657
g.165.peg.547	3.454686624
g.165.peg.2324	256.1298912
g.165.peg.203	10.24522842
g.165.peg.12	160.6870007
g.165.peg.583	172.6769187
g.165.peg.1122	34.45942436
g.165.peg.966	80.4857218
g.165.peg.841	12.0165795
g.165.peg.971	98.55023323
g.165.peg.357	140.330245
g.165.peg.1592	509.4067599
g.165.peg.749	16.41952388
g.165.peg.109	551.2322584
g.165.peg.1951	566.7939005
g.165.peg.856	395.8841734
g.165.peg.824	67.4645307
g.165.peg.1461	49.40948819
g.165.peg.911	524.7353206
g.165.peg.710	554.6150402
g.165.peg.1116	65.70610936
g.165.peg.1483	145.0025757
g.165.peg.1530	45.45983526
g.165.peg.949	15.474305
g.165.peg.828	75.9979416
g.165.peg.1698	21.69990299
g.165.peg.1081	119.1950122
g.165.peg.2057	84.29910122
g.165.peg.854	77.37794535
g.165.peg.2018	849.7579294
g.165.peg.2370	39.01964024
g.165.peg.1625	110.9637719
g.165.peg.52	169.7242465
g.165.peg.253	72.17082227
g.165.peg.398	29.05941313
g.165.peg.273	23.56754928
g.165.peg.2337	107.040675
g.165.peg.2315	24.35062388
g.165.peg.56	50.81437157
g.165.peg.1359	155.2340925
g.165.peg.1336	6.214025208
g.165.peg.858	331.5943982
g.165.peg.1993	101.0208841
g.165.peg.327	789.1067097
g.165.peg.1229	6.969137225
g.165.peg.2408	75.07625943
g.165.peg.659	6802.107086
g.165.peg.194	57.43032786
g.165.peg.330	843.4536014
g.165.peg.1319	46.17945154
g.165.peg.1641	15.63284816
g.165.peg.1769	27.4310489
g.165.peg.64	20.93271305
g.165.peg.1460	747.1865222
g.165.peg.463	48.89002028
g.165.peg.923	86.14856314
g.165.peg.1337	98.85967924
g.165.peg.2326	258.8840277
g.165.peg.255	313.0625753
g.165.peg.220	145.4930542
g.165.peg.1861	149.9212926
g.165.peg.1743	5.165819807
g.165.peg.1882	450.5844421
g.165.peg.214	38.09263491
g.165.peg.444	35.91259391
g.165.peg.1564	95.37960416
g.165.peg.616	80.52824622
g.165.peg.15	150.9207147
g.165.peg.1825	69.52394324
g.165.peg.2428	45.51857878
g.165.peg.1366	577.7951632
g.165.peg.1003	860.2114902
g.165.peg.2122	446.5548621
g.165.peg.2271	841.133918
g.165.peg.569	34.58756854
