ECnum	TPM_gmean
g.165.peg.1844	171.1686713
g.165.peg.2257	250.1576997
g.165.peg.1233	188.7784683
g.165.peg.1785	53.50903294
g.165.peg.1900	179.6148458
g.165.peg.1708	8.045762903
g.165.peg.1746	79.10607492
g.165.peg.2222	94.54395251
g.165.peg.243	244.2763683
g.165.peg.1965	3127.465874
g.165.peg.1795	127.2032512
g.165.peg.2009	2154.665547
g.165.peg.513	101.9133822
g.165.peg.1403	34.98191297
g.165.peg.476	96.6270287
g.165.peg.1442	252.7045211
g.165.peg.375	37.54335199
g.165.peg.853	7.659216908
g.165.peg.1397	9.786762227
UNGROUPED	80486.0473
g.165.peg.2404	60.25087116
g.165.peg.586	64.33536054
g.165.peg.764	414.7373337
g.165.peg.211	127.2635061
g.165.peg.2219	126.4926038
g.165.peg.677	255.3048568
g.165.peg.1062	136.5692236
g.165.peg.474	378.5207867
g.165.peg.1346	102.0574778
g.165.peg.1638	184.6188513
g.165.peg.1059	784.643159
g.165.peg.692	61.79877079
g.165.peg.2376	228.3566041
g.165.peg.2024	241.6208892
g.165.peg.2118	11.32291731
g.165.peg.859	1334.818321
g.165.peg.1831	1474.198235
g.165.peg.1065	162.022023
g.165.peg.1805	880.9328376
g.165.peg.2104	273.7591468
g.165.peg.582	45.74385603
g.165.peg.727	578.1620198
g.165.peg.383	90.85067511
g.165.peg.1843	2.191104026
g.165.peg.2263	1862.541952
g.165.peg.440	577.8381022
g.165.peg.55	2160.127967
g.165.peg.719	726.9444312
g.165.peg.1846	598.2197243
g.165.peg.30	17.98592061
g.165.peg.1954	22.58811035
g.165.peg.1145	53.98117424
g.165.peg.1740	1071.621602
g.165.peg.1430	144.8910036
g.165.peg.671	123.8886275
g.165.peg.512	176.5944022
g.165.peg.1611	2038.50237
g.165.peg.1389	1073.396339
g.165.peg.1035	9075.384569
g.165.peg.2139	116.2704024
g.165.peg.1818	81.36570141
g.165.peg.1327	133.7373036
g.165.peg.985	139.9099811
g.165.peg.84	750.9495747
g.165.peg.1242	1829.580318
g.165.peg.1021	7.803260888
g.165.peg.1014	48.5977941
g.165.peg.2391	1171.946267
g.165.peg.1019	73.02132534
g.165.peg.508	50.1225484
g.165.peg.2170	9.118863292
g.165.peg.165	138.076772
g.165.peg.897	367.8673842
g.165.peg.1404	9.651921984
g.165.peg.2418	325.3610436
g.165.peg.632	335.2354007
g.165.peg.1533	223.7887818
g.165.peg.634	186.4862749
g.165.peg.2316	674.2371615
g.165.peg.162	81.94549168
g.165.peg.1482	366.3027083
