model_gene_id	TPM_gmean
g.165.peg.1844	284.000326
g.165.peg.2257	304.2875908
g.165.peg.1233	128.6677421
g.165.peg.1900	61.97702897
g.165.peg.1746	41.96161968
g.165.peg.2222	81.85421467
g.165.peg.243	532.9465878
g.165.peg.1965	491.7782756
g.165.peg.1795	238.4632793
g.165.peg.2009	525.6688853
g.165.peg.513	330.508756
g.165.peg.1403	78.64931563
g.165.peg.476	57.7017968
g.165.peg.1442	114.5642492
g.165.peg.1397	41.44246757
g.165.peg.2404	61.76077654
UNGROUPED	120255.7037
g.165.peg.764	322.0997695
g.165.peg.211	71.83992324
g.165.peg.2219	160.7140499
g.165.peg.1062	594.4498757
g.165.peg.474	348.7203041
g.165.peg.1346	171.4408158
g.165.peg.1638	299.533914
g.165.peg.1059	314.1744135
g.165.peg.692	51.00012363
g.165.peg.2376	125.295255
g.165.peg.2024	205.1999355
g.165.peg.2118	95.86891319
g.165.peg.859	1375.649839
g.165.peg.1831	1428.386045
g.165.peg.1805	1658.499142
g.165.peg.396	0
g.165.peg.2104	336.8563671
g.165.peg.727	862.361949
g.165.peg.383	29.54594525
g.165.peg.2263	0
g.165.peg.440	239.6112329
g.165.peg.55	590.3727187
g.165.peg.719	1065.166782
g.165.peg.1846	866.8591361
g.165.peg.30	53.52274465
g.165.peg.1740	1740.213608
g.165.peg.671	250.1370951
g.165.peg.512	170.9620061
g.165.peg.1611	72.7053795
g.165.peg.1389	2948.762217
g.165.peg.1035	2679.286122
g.165.peg.2139	2149.122586
g.165.peg.1818	46.76446389
g.165.peg.985	275.5804397
g.165.peg.84	150.5076373
g.165.peg.1242	1614.207296
g.165.peg.1021	56.27690905
g.165.peg.1014	79.55849015
g.165.peg.2391	370.8115848
g.165.peg.1019	164.433779
g.165.peg.508	36.83026002
g.165.peg.2170	79.9191158
g.165.peg.165	294.5665333
g.165.peg.897	438.7151036
g.165.peg.1404	166.3713994
g.165.peg.2418	231.8388041
g.165.peg.632	209.4775197
g.165.peg.1533	42.03280236
g.165.peg.634	80.3692716
g.165.peg.2316	262.9716592
g.165.peg.1482	51.38383233
g.165.peg.2125	1276.928783
g.165.peg.350	270.595324
g.165.peg.789	42.79785235
g.165.peg.9	914.9977674
g.165.peg.574	627.6373291
g.165.peg.1309	586.3751004
g.165.peg.1727	3196.22716
g.165.peg.1540	273.0042436
g.165.peg.1877	220.3635279
g.165.peg.2233	323.1843957
g.165.peg.348	296.2547762
g.165.peg.806	1770.961528
g.165.peg.993	96.165374
g.165.peg.449	303.8452053
g.165.peg.32	158.6942497
g.165.peg.715	3134.209351
g.165.peg.105	125.9541901
g.165.peg.1858	305.0193031
g.165.peg.1279	411.5920111
g.165.peg.1705	545.2802689
g.165.peg.2272	143.4724119
g.165.peg.1177	64.09353391
g.165.peg.2134	47.01526694
g.165.peg.2383	44.66117021
g.165.peg.1013	407.3304135
g.165.peg.2310	54.1144648
g.165.peg.1318	417.882272
g.165.peg.78	701.9619217
g.165.peg.1681	196.5531217
g.165.peg.496	112.6197264
g.165.peg.31	438.1072146
g.165.peg.1183	325.972718
g.165.peg.1584	105.2296522
g.165.peg.469	946.696772
g.165.peg.465	105.8313068
g.165.peg.249	291.6172976
g.165.peg.871	65.79967186
g.165.peg.1792	19.64539267
g.165.peg.100	94.30671408
g.165.peg.1733	49.0616009
g.165.peg.437	158.9910777
g.165.peg.549	291.3204535
g.165.peg.961	105.1597569
g.165.peg.306	52.21643637
g.165.peg.610	88.06444086
g.165.peg.1852	128.8953021
g.165.peg.464	361.2068177
g.165.peg.627	364.1499216
g.165.peg.2093	2820.89649
g.165.peg.2349	565.0967955
g.165.peg.199	66.38332295
g.165.peg.1940	138.6930838
g.165.peg.1303	85.05622465
g.165.peg.176	127.1795042
g.165.peg.22	13.47323086
g.165.peg.1246	132.5902203
g.165.peg.2027	61.5378467
g.165.peg.1058	82.38335074
g.165.peg.745	21.14856564
g.165.peg.2193	399.8977318
g.165.peg.1720	188.9903117
g.165.peg.1622	107.9637957
g.165.peg.1587	65.71910815
g.165.peg.1984	494.1748326
g.165.peg.1251	109.7330308
g.165.peg.880	481.6330556
g.165.peg.772	171.9215959
g.165.peg.1585	1055.812419
g.165.peg.213	154.2058707
g.165.peg.799	180.4968944
g.165.peg.431	462.1612079
g.165.peg.2083	603.4675032
g.165.peg.1680	254.0904901
g.165.peg.1102	210.1420978
g.165.peg.156	102.6991907
g.165.peg.1855	82.51748806
g.165.peg.164	167.7952779
g.165.peg.2342	159.428576
g.165.peg.605	215.2041174
g.165.peg.681	189.048468
g.165.peg.1593	109.0476924
g.165.peg.1128	86.74552445
g.165.peg.1994	242.6586335
g.165.peg.717	46.54108372
g.165.peg.482	176.1529464
g.165.peg.553	436.4404069
g.165.peg.995	1875.556922
g.165.peg.2076	122.7194291
g.165.peg.1771	883.435317
g.165.peg.2313	293.8193611
g.165.peg.1526	220.6984139
g.165.peg.2055	1714.294365
g.165.peg.2169	1813.490315
g.165.peg.2309	161.9708057
g.165.peg.831	92.08220275
g.165.peg.1868	0
g.165.peg.1055	824.8449068
g.165.peg.1651	835.4195175
g.165.peg.1941	737.7968705
g.165.peg.349	231.5812114
g.165.peg.1138	170.4905528
g.165.peg.1555	212.3613128
g.165.peg.1781	93.10385717
g.165.peg.862	443.2042351
g.165.peg.2403	281.2124571
g.165.peg.1731	200.3796734
g.165.peg.1560	45.34587259
g.165.peg.1294	26.78149434
g.165.peg.93	251.903763
g.165.peg.51	75.52815324
g.165.peg.2414	1395.883199
g.165.peg.1484	615.8732936
g.165.peg.950	41.08198431
g.165.peg.1393	386.8068053
g.165.peg.1344	260.2719099
g.165.peg.128	1045.407142
g.165.peg.1109	55.86041958
g.165.peg.286	123.9145371
g.165.peg.433	88.51775936
g.165.peg.158	203.1795246
g.165.peg.1521	727.1450221
g.165.peg.1282	354.9907676
g.165.peg.2059	118.8222622
g.165.peg.1486	383.3408685
g.165.peg.538	339.190841
g.165.peg.1644	300.2220411
g.165.peg.1923	1137.692994
g.165.peg.2290	195.112792
g.165.peg.1384	124.3202028
g.165.peg.1600	48.95978622
g.165.peg.1307	357.3447739
g.165.peg.368	395.5648742
g.165.peg.561	1459.060327
g.165.peg.1167	254.8197296
g.165.peg.1049	3099.550938
g.165.peg.2078	525.0576523
g.165.peg.1777	277.4856074
g.165.peg.471	1564.045037
g.165.peg.60	357.8835735
g.165.peg.29	90.20300917
g.165.peg.2262	1434.394525
g.165.peg.438	0
g.165.peg.27	69.59687544
g.165.peg.888	140.3981056
g.165.peg.753	203.2768971
g.165.peg.140	45.4797925
g.165.peg.2207	241.7445813
g.165.peg.1088	168.6653341
g.165.peg.44	607.8032341
g.165.peg.246	200.3701756
g.165.peg.75	1779.495552
g.165.peg.1510	167.1490426
g.165.peg.157	659.7772721
g.165.peg.1738	1537.537638
g.165.peg.781	54.91167547
g.165.peg.284	622.7534487
g.165.peg.104	196.9211077
g.165.peg.1981	271.1269222
g.165.peg.83	41.62107907
g.165.peg.974	394.3634756
g.165.peg.447	550.4444475
g.165.peg.2344	1033.83147
g.165.peg.1841	445.7591523
g.165.peg.1933	289.5795355
g.165.peg.879	84.92292362
g.165.peg.906	23.71190765
g.165.peg.2256	51.14951929
g.165.peg.802	147.6507478
g.165.peg.1866	41.45273651
g.165.peg.443	234.4319489
g.165.peg.504	314.9693291
g.165.peg.2196	257.8036166
g.165.peg.1220	74.83643653
g.165.peg.1516	307.1506946
g.165.peg.1341	250.2495797
g.165.peg.883	690.9244211
g.165.peg.256	266.49507
g.165.peg.2047	707.936356
g.165.peg.1448	27.78344761
g.165.peg.1330	633.8249571
g.165.peg.475	278.061005
g.165.peg.636	44.67493404
g.165.peg.1360	177.2576567
g.165.peg.304	544.6192534
g.165.peg.2143	524.071436
g.165.peg.1870	92.59861043
g.165.peg.1136	46.68725701
g.165.peg.426	134.9911347
g.165.peg.1761	86.88906688
g.165.peg.2311	1039.626845
g.165.peg.2147	9006.077298
g.165.peg.361	234.8074104
g.165.peg.1758	2785.205236
g.165.peg.1211	637.602575
g.165.peg.2286	184.4497956
g.165.peg.844	910.9355592
g.165.peg.1869	98.36110201
g.165.peg.619	263.8780767
g.165.peg.2152	187.3001471
g.165.peg.820	1949.245302
g.165.peg.633	596.0652177
g.165.peg.2340	234.5871723
g.165.peg.1204	503.9562705
g.165.peg.973	152.7969365
g.165.peg.870	1026.71283
g.165.peg.1986	147.0072124
g.165.peg.1262	372.8778143
g.165.peg.1889	132.7885057
g.165.peg.1409	157.4769725
g.165.peg.117	4565.174337
g.165.peg.295	508.9042071
g.165.peg.2372	145.5049894
g.165.peg.1589	187.2084066
g.165.peg.1610	31.37305945
g.165.peg.231	1166.660824
g.165.peg.887	585.0288283
g.165.peg.506	570.6591405
g.165.peg.1952	1005.347646
g.165.peg.518	440.8180201
g.165.peg.316	455.8052122
g.165.peg.261	251.6630704
g.165.peg.367	146.411212
g.165.peg.2098	153.2366695
g.165.peg.1721	67.01234724
g.165.peg.2124	115.694478
g.165.peg.975	653.4669248
g.165.peg.2405	849.9431156
g.165.peg.335	496.1051701
g.165.peg.297	100.2818353
g.165.peg.903	1116.700549
g.165.peg.1524	497.8777758
g.165.peg.938	633.6032311
g.165.peg.1702	197.3765869
g.165.peg.2239	66.69189615
g.165.peg.1537	26.341711
g.165.peg.1283	170.6782855
g.165.peg.2085	974.677269
g.165.peg.738	5966.58792
g.165.peg.2324	907.2445959
g.165.peg.203	0
g.165.peg.12	469.6254214
g.165.peg.583	360.8076906
g.165.peg.966	163.7294218
g.165.peg.841	67.79582959
g.165.peg.357	339.7017361
g.165.peg.1592	1004.323021
