k2_taxon	n_detected	percent_detected_at_site	median_detect_transcriptional_activity	mean_detect_transcriptional_activity	transcript_cat	region
Corynebacterium_kefirresidentii	7	29.166666666666668	2.906208057823691	3.1813263453961094	Variable_high	Sc
Corynebacterium_tuberculostearicum	3	12.5	14.307919332547307	22.158570065925016	Variable_high	Sc
Cutibacterium_acnes	21	87.5	0.39193962129252075	0.4128012616613695	Core_low	Sc
Cutibacterium_granulosum	5	20.833333333333336	0.7867828907400982	0.9271234888863125	Variable_low	Sc
Dermacoccus_nishinomiyaensis	2	8.333333333333332	1.477268773602409	1.477268773602409	Variable_high	Sc
Malassezia_arunalokei	11	45.83333333333333	3.259680347793799	4.233857687570278	Variable_high	Sc
Malassezia_dermatis	6	25	6.611383200425643	9.541400483219922	Variable_high	Sc
Malassezia_furfur	4	16.666666666666664	4.690004152656971	572.7763121429812	Variable_high	Sc
Malassezia_globosa	24	100	10.750837401231102	16.206303180254896	Core_high	Sc
Malassezia_japonica	2	8.333333333333332	2.37923163949472	2.37923163949472	Variable_high	Sc
Malassezia_restricta	21	87.5	2.5547052341976015	3.899957189701295	Core_high	Sc
Malassezia_sympodialis	3	12.5	9.0115144998571175	7.5435972499551855	Variable_high	Sc
Moraxella_osloensis	3	12.5	18.373453363972324	254.03320162072382	Variable_high	Sc
Rothia_dentocariosa	2	8.333333333333332	9.047768548730536	9.047768548730536	Variable_high	Sc
Staphylococcus_capitis	20	83.33333333333334	3.5354625449748083	14.208370534050655	Core_high	Sc
Staphylococcus_epidermidis	18	75	3.3029761681305065	12.100175377380783	Variable_high	Sc
Staphylococcus_haemolyticus	2	8.333333333333332	72.96204270735882	72.96204270735882	Variable_high	Sc
Staphylococcus_hominis	8	33.33333333333333	154.01264788632446	256.38916493369254	Variable_high	Sc
Staphylococcus_lugdunensis	2	8.333333333333332	134.50551444178902	134.50551444178902	Variable_high	Sc
Staphylococcus_pettenkoferi	2	8.333333333333332	22058.063507179788	22058.063507179788	Variable_high	Sc
Staphylococcus_saccharolyticus	2	8.333333333333332	2.2166399877331386	2.2166399877331386	Variable_high	Sc
Staphylococcus_warneri	2	8.333333333333332	330.4507417893128	330.4507417893128	Variable_high	Sc
