k2_taxon	n_detected	percent_detected_at_site	median_detect_transcriptional_activity	mean_detect_transcriptional_activity	transcript_cat	region
Corynebacterium_kefirresidentii	5	27.77777777777778	2.621171444084225	2.3605828672295366	Variable_high	Vf
Corynebacterium_tuberculostearicum	5	27.77777777777778	3.4752264917372835	5.525026252928737	Variable_high	Vf
Corynebacterium_ureicelerivorans	3	16.666666666666664	2.014601906654213	2.282381662602359	Variable_high	Vf
Cutibacterium_acnes	18	100	0.15775501461309205	0.25301781786796607	Core_low	Vf
Dermacoccus_nishinomiyaensis	2	11.11111111111111	0.5279239705959069	0.5279239705959069	Variable_low	Vf
Malassezia_arunalokei	4	22.22222222222222	3.5494730235468532	4.212599037051353	Variable_high	Vf
Malassezia_furfur	6	33.33333333333333	4.926838741592103	27.9889071003642	Variable_high	Vf
Malassezia_globosa	18	100	20.79692615540194	35.9757016246549	Core_high	Vf
Malassezia_obtusa	2	11.11111111111111	10.427379512721071	10.427379512721071	Variable_high	Vf
Malassezia_restricta	16	88.88888888888889	2.153031791778799	2.9380318845396656	Core_high	Vf
Malassezia_sympodialis	4	22.22222222222222	31.858695172619274	28.593753447490396	Variable_high	Vf
Moraxella_osloensis	4	22.22222222222222	0.5319483184257776	3.944118385018852	Variable_low	Vf
Rothia_aeria	2	11.11111111111111	11.792276595731046	11.792276595731046	Variable_high	Vf
Rothia_dentocariosa	2	11.11111111111111	2.1723270330404505	2.1723270330404505	Variable_high	Vf
Rothia_mucilaginosa	3	16.666666666666664	15.046410676965358	15.108646035338339	Variable_high	Vf
Staphylococcus_capitis	10	55.55555555555556	2.238547843443174	5.859600862805615	Variable_high	Vf
Staphylococcus_epidermidis	14	77.77777777777779	3.1740511954997626	5.5051252404295505	Variable_high	Vf
Staphylococcus_hominis	16	88.88888888888889	9.677605460696363	13.561169105636038	Core_high	Vf
Streptococcus_mitis	2	11.11111111111111	2.3348084062455996	2.3348084062455996	Variable_high	Vf
Streptococcus_sanguinis	2	11.11111111111111	6.031838932777924	6.031838932777924	Variable_high	Vf
Veillonella_parvula	2	11.11111111111111	0.7770000207072714	0.7770000207072714	Variable_low	Vf
