feature	metadata	value	coef	stderr	N	N.not.0	pval	qval	source
3P4XY	Ch_RNA	Ch_RNA	-2.02766637586602	0.269186990151199	82	41	7.36483368362996e-10	2.771492519176492e-6	fungi
COG2716	Ch_RNA	Ch_RNA	1.94307716059597	0.268764663999702	82	51	1.58540825493627e-9	2.771492519176492e-6	bacteria
COG1063	Ch_RNA	Ch_RNA	-1.82317962593203	0.251982461989565	82	82	1.5992455390516401e-9	2.771492519176492e-6	bacteria
3P5A0	Ch_RNA	Ch_RNA	-1.77088535238596	0.246137982268161	82	41	3.3091313285565203e-9	4.3010434442913374e-6	fungi
COG0022	Ch_RNA	Ch_RNA	-1.88166599036305	0.269696396852939	82	78	4.2628590577402404e-9	4.4325208482383014e-6	bacteria
31GJC	Ch_RNA	Ch_RNA	2.38433550199205	0.35608419587393503	82	53	1.1575856037145e-8	1.0030479256186142e-5	bacteria
COG0099	Ch_RNA	Ch_RNA	-1.89268082319917	0.284912201546161	82	78	1.51206113656382e-8	1.1230294069993287e-5	bacteria
COG0096	Ch_RNA	Ch_RNA	-1.81082897424139	0.285562004829231	82	75	4.63667770964109e-8	2.863408017659266e-5	bacteria
COG0236	Ch_RNA	Ch_RNA	-1.61389729530004	0.25565000044979	82	70	5.09807626341914e-8	2.863408017659266e-5	bacteria
COG5297	Ch_RNA	Ch_RNA	2.45618107359503	0.408427186054535	82	24	5.50761303646714e-8	2.863408017659266e-5	bacteria
COG0199	Ch_RNA	Ch_RNA	-1.7200005566003	0.274841175793702	82	75	6.29067387284431e-8	2.9732012240834153e-5	bacteria
COG3800	Ch_RNA	Ch_RNA	2.705766458401	0.439455283808365	82	46	8.48227285226547e-8	3.6749447132440147e-5	bacteria
COG0508	Ch_RNA	Ch_RNA	-1.73730615078503	0.283849011570594	82	82	1.05489451491483e-7	4.2187666023401545e-5	bacteria
COG0355	Ch_RNA	Ch_RNA	-1.63917268200562	0.270084829504778	82	76	1.28569958839881e-7	4.768134748385889e-5	bacteria
3NUHC	Ch_RNA	Ch_RNA	-1.55844913700294	0.25887204843456	82	42	1.39369365870508e-7	4.768134748385889e-5	fungi
COG1841	Ch_RNA	Ch_RNA	-1.73878397684308	0.288479526423954	82	66	1.4674005765373e-7	4.768134748385889e-5	bacteria
33M63	Ch_RNA	Ch_RNA	2.10608702817348	0.353687151952207	82	52	2.03375241962334e-7	6.0129199150077675e-05	bacteria
COG0089	Ch_RNA	Ch_RNA	-1.59106276198594	0.267940228891367	82	78	2.08179570052202e-7	6.0129199150077675e-05	bacteria
COG0753	Ch_RNA	Ch_RNA	-1.75485859948142	0.297462756459791	82	82	2.28580879849446e-7	6.031901734734864e-5	bacteria
COG0200	Ch_RNA	Ch_RNA	-1.60797500456897	0.272254685397255	82	81	2.32040843805919e-7	6.031901734734864e-5	bacteria
2ZGCU	Ch_RNA	Ch_RNA	1.73188357183344	0.294417252226375	82	47	2.66848952187631e-7	6.606417630588064e-5	bacteria
COG3320	Ch_RNA	Ch_RNA	2.99126377046849	0.538105132683969	82	35	3.6531256976083e-7	8.633000228120705e-5	bacteria
COG3344	Ch_RNA	Ch_RNA	3.16739195263133	0.55086127716491	82	55	3.89498956831461e-7	8.804369898116373e-5	bacteria
COG1792	Ch_RNA	Ch_RNA	3.24504317463913	0.564846710166184	82	27	4.16789580280016e-7	9.028704282815846e-5	bacteria
COG0227	Ch_RNA	Ch_RNA	-1.53056318057985	0.267791879758751	82	74	4.72679297578715e-7	9.647137529148233e-5	bacteria
COG0360	Ch_RNA	Ch_RNA	-1.56269202026834	0.273672717670415	82	78	4.82449655237265e-7	9.647137529148233e-5	bacteria
COG0094	Ch_RNA	Ch_RNA	-1.67838387095528	0.296391873504134	82	80	5.68253148415063e-7	1.0942030068925601e-4	bacteria
COG1928	Ch_RNA	Ch_RNA	2.25735842601222	0.400933774484531	82	62	6.6564631460383e-7	1.1835142607427769e-4	bacteria
COG0050	Ch_RNA	Ch_RNA	-1.51279022645504	0.269711824954181	82	82	6.99014183216878e-7	1.1835142607427769e-4	bacteria
33CHW	Ch_RNA	Ch_RNA	2.03624087374411	0.362370057655882	82	55	7.02735102901223e-7	1.1835142607427769e-4	bacteria
COG0081	Ch_RNA	Ch_RNA	-1.49149675123582	0.266274060387841	82	81	7.22021991206052e-7	1.1835142607427769e-4	bacteria
2ZICA	Ch_RNA	Ch_RNA	2.13089498838039	0.381157942669206	82	55	7.28456555948622e-7	1.1835142607427769e-4	bacteria
COG3381	Ch_RNA	Ch_RNA	1.85027766140762	0.332113582232381	82	47	8.23583097487014e-7	1.2755686937470222e-4	bacteria
COG0522	Ch_RNA	Ch_RNA	-1.46168187052895	0.262864485340774	82	81	8.34186104777818e-7	1.2755686937470222e-4	bacteria
3P76M	Ch_RNA	Ch_RNA	-1.71779734289098	0.309362392995435	82	33	9.36485661161378e-7	1.3389286413480685e-4	fungi
COG0480	Ch_RNA	Ch_RNA	-1.54560710283318	0.279712795440955	82	82	9.46625186109825e-7	1.3389286413480685e-4	bacteria
3NVFE	Ch_RNA	Ch_RNA	-1.46567301724081	0.275642551089366	82	42	9.75500048834174e-7	1.3389286413480685e-4	fungi
2ZWWZ	Ch_RNA	Ch_RNA	1.65341543478693	0.299420324008909	82	50	9.78636052533691e-7	1.3389286413480685e-4	bacteria
COG0198	Ch_RNA	Ch_RNA	-1.57308840242392	0.285952959627478	82	81	1.03243136431887e-6	1.376310426434309e-4	bacteria
COG0776	Ch_RNA	Ch_RNA	-1.54869224632313	0.283362853748973	82	71	1.16739060680202e-6	1.5173159411909255e-4	bacteria
3357V	Ch_RNA	Ch_RNA	1.76781687636771	0.323884482587804	82	53	1.26032909343606e-6	1.5981587699448967e-4	bacteria
3P285	Ch_RNA	Ch_RNA	-1.75146460385638	0.323968595180824	82	41	1.35392415781411e-6	1.6759646896370375e-4	fungi
COG0563	Ch_RNA	Ch_RNA	-1.58535269730472	0.293263977247577	82	78	1.44269204135898e-6	1.740478784875913e-4	bacteria
COG0238	Ch_RNA	Ch_RNA	-1.60546537541559	0.296959726396711	82	72	1.47299608645009e-6	1.740478784875913e-4	bacteria
COG4915	Ch_RNA	Ch_RNA	3.0584738268134	0.568146294575645	82	17	1.55369930588897e-6	1.7588069228807187e-4	bacteria
COG3290	Ch_RNA	Ch_RNA	3.61658359933534	0.670688103996705	82	27	1.55888130318426e-6	1.7588069228807187e-4	bacteria
COG0383	Ch_RNA	Ch_RNA	2.07361273539631	0.38421739885557	82	60	1.60474544770901e-6	1.7588069228807187e-4	bacteria
3P6N3	Ch_RNA	Ch_RNA	-2.07296355030938	0.383677341211949	82	7	1.62382635695854e-6	1.7588069228807187e-4	fungi
32YXE	Ch_RNA	Ch_RNA	2.11919325403077	0.394838070503911	82	56	1.7558538644368e-6	1.8629967839197802e-4	bacteria
3NXQF	Ch_RNA	Ch_RNA	-1.71137345745898	0.320212018858912	82	32	1.81518099839393e-6	1.8656941259911455e-4	fungi
COG0335	Ch_RNA	Ch_RNA	-1.42481514954194	0.266579557004875	82	81	1.83016734805825e-6	1.8656941259911455e-4	bacteria
COG0097	Ch_RNA	Ch_RNA	-1.6207128702714	0.303810915026005	82	80	1.88649703227126e-6	1.8861342443804387e-4	bacteria
COG0087	Ch_RNA	Ch_RNA	-1.4523376077733	0.273736375343583	82	81	2.10489935260088e-6	2.0647871196550897e-4	bacteria
COG0629	Ch_RNA	Ch_RNA	-1.4683125180167	0.277507999315512	82	82	2.21686364841429e-6	2.1343470570566467e-4	bacteria
COG0256	Ch_RNA	Ch_RNA	-1.49690289826554	0.283206080029853	82	80	2.281683587597e-6	2.156813267621237e-4	bacteria
COG0100	Ch_RNA	Ch_RNA	-1.46743520120883	0.280368913788901	82	76	2.71560136237864e-6	2.4914787393171163e-4	bacteria
