feature	lfc_(Intercept)	lfc_regionTw	lfc_mol_typeRNA	lfc_region:mol_type	se_(Intercept)	se_regionTw	se_mol_typeRNA	se_region:mol_type	W_(Intercept)	W_regionTw	W_mol_typeRNA	W_region:mol_type	p_(Intercept)	p_regionTw	p_mol_typeRNA	p_region:mol_type	q_(Intercept)	q_regionTw	q_mol_typeRNA	q_region:mol_type	diff_(Intercept)	diff_regionTw	diff_mol_typeRNA	diff_regionTw:mol_typeRNA	passed_ss_(Intercept)	passed_ss_regionTw	passed_ss_mol_typeRNA	passed_ss_region:mol_type
2Z7SI	-2.9716524984599677	3.1725170053681184	2.7950517043883254	-1.357758624847588	0.3119448015076365	0.36737101237022696	0.45176535283452757	0.5709415778177674	-9.526212599466001	8.635730361248367	6.186954548088365	-2.378104306288508	8.821793256264086e-13	1.3138421827482164e-10	2.853002784894194e-7	0.02261095133350793	9.476662571606389e-12	2.0725564522451595e-9	1.7406299220730778e-6	0.06375487243956907	TRUE	TRUE	TRUE	FALSE	TRUE	TRUE	FALSE	FALSE
2Z7U4	0.4885708128616902	-1.443590049675224	0.09030301367370239	0.1727758334330592	0.28632458245667536	0.37628961039150094	0.43052955821228894	0.5983952821526927	1.7063530091259884	-3.83638030338727	0.20974869657886547	0.28873194456264434	0.09368168853605456	4.284978926021485e-4	0.8349591129695351	0.7742796906794207	0.14594006817315971	0.0014373559577516514	0.8661216864986112	0.830228866123494	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE
2Z90C	0.6115415350603105	-1.2213034804248175	0.21509162610241006	-0.8543449882955213	0.34084527721467184	0.46805480408339795	0.5343849341448021	0.7182515131706737	1.7941910184518948	-2.6093172632134887	0.40250316271851844	-1.1894788561239111	0.0779085421772371	0.012048943238347766	0.6891198543296586	0.24027818677068497	0.12603043922027377	0.031302224941167564	0.744385481142031	0.35177851591594433	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE
2Z9JM	-0.09106568539134081	-1.6663208239994145	2.4273920379124685	-0.8485850891032627	0.3430919509845336	0.4370586263285884	0.46123553074874285	0.6331801683197097	-0.2654264698720548	-3.812579648631955	5.262803656890834	-1.3401953054770808	0.7916226914401151	3.854336779291638e-4	3.854865412684271e-6	0.18695676194454794	0.8421211012828929	0.00130793482568598	1.691696575842145e-5	0.29545242794666376	FALSE	TRUE	TRUE	FALSE	TRUE	TRUE	FALSE	TRUE
2ZAV8	0.9398844952699796	-2.8731392154094246	0.6662045333594192	0.7919401436762444	0.36733453609241223	0.5103028383926058	0.5425472388968081	0.8803367797897076	2.5586608470528565	-5.630263050190896	1.2279198668747269	0.8995877053613742	0.013461914143640176	1.6887537373270644e-6	0.22775910470358407	0.37376801268861937	0.026425797831293667	8.376792617732833e-6	0.29004086715343685	0.49505884282736196	TRUE	TRUE	FALSE	FALSE	TRUE	TRUE	TRUE	FALSE
2ZC43	-1.6746853600466292	-0.6466590440701776	6.1712382095570755	-3.381862368938977	0.4048674688045653	0.4642158704245083	0.44951071959769223	0.6477153732230384	-4.1363791588180705	-1.393013650047836	13.728789860851982	-5.221216770123573	2.0472085790550914e-4	0.17301762690933528	3.5918160341682255e-14	1.286776888093292e-5	5.601034721758539e-4	0.31494622496751573	1.2835244644548089e-12	6.044184764424978e-4	TRUE	FALSE	TRUE	TRUE	FALSE	TRUE	TRUE	FALSE
2ZF80	-2.870812805224279	3.251062909601607	2.9726985645838186	-2.7711078059311482	0.2868184884398343	0.3328089083386469	0.4809066088971622	0.5713249552227792	-10.009162313211505	9.768557355722928	6.181446687540751	-4.850318160617714	6.987526955013829e-13	2.023491315644184e-11	6.399419034212541e-7	3.45972829459553e-5	7.793095349190582e-12	5.368383778322676e-10	3.3955705239109573e-6	9.615848006090116e-4	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	FALSE	FALSE
2ZFSE	-3.1016858647935996	2.3575634018124796	4.987676226789218	-2.113558575757457	0.36703634193786316	0.4574888176235965	0.4707077321665864	0.6282461082725382	-8.450623304541038	5.153270005721076	10.596121299796385	-3.364220721667532	5.7817187293053905e-12	4.8500127606950065e-6	1.8520077831604326e-13	0.0016801060923350136	4.9626419093204606e-11	2.240731489175978e-5	5.8961193242071225e-12	0.009645461533372488	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE
2ZH8X	-0.5084868439343041	-0.9932124879748234	2.399838224113445	-0.25640879571304687	0.3442785619680349	0.4826292955535852	0.5237287574795336	0.7415881365856	-1.4769634246976882	-2.0579200167192284	4.582215870029299	-0.3457563343631646	0.14518945087245919	0.04418110528283387	2.5537741668126988e-5	0.7307987344172954	0.2130986827138944	0.0971873308420127	9.033653668866738e-5	0.8007688260104406	FALSE	FALSE	TRUE	FALSE	TRUE	FALSE	FALSE	TRUE
2ZJ01	0.9569009204058182	-0.3554138541691942	0.1458735446083975	-3.57814432991346	0.33775817016514026	0.45455087545697664	0.4762048131038754	0.6863946623130529	2.8330948143695833	-0.7819011542148799	0.3063252209854877	-5.212954771320074	0.00625156728102205	0.4380077259586662	0.7607827082137558	4.180724158706468e-6	0.013252414417759817	0.6528521172742696	0.8053993482964247	3.237504129022609e-4	TRUE	FALSE	FALSE	TRUE	TRUE	TRUE	TRUE	TRUE
