feature	lfc_(Intercept)	lfc_regionTw	lfc_mol_typeRNA	lfc_region:mol_type	se_(Intercept)	se_regionTw	se_mol_typeRNA	se_region:mol_type	W_(Intercept)	W_regionTw	W_mol_typeRNA	W_region:mol_type	p_(Intercept)	p_regionTw	p_mol_typeRNA	p_region:mol_type	q_(Intercept)	q_regionTw	q_mol_typeRNA	q_region:mol_type	diff_(Intercept)	diff_regionTw	diff_mol_typeRNA	diff_regionTw:mol_typeRNA	passed_ss_(Intercept)	passed_ss_regionTw	passed_ss_mol_typeRNA	passed_ss_region:mol_type
3NTYW	0.8535044329961086	0.3279215462992344	-2.249054467802548	0.8394341653698317	0.2659910418899244	0.4201078730590069	0.38989156813291964	0.6061264349902311	3.2087713440714896	0.7805651056036641	-5.7684101212361	1.3849159464285052	0.0024649017771530366	0.4406246727998112	5.923120517068297e-6	0.1778651453472589	0.025321263710753925	0.9770563778141853	1.2180587188934192e-4	0.9737186131559217	TRUE	FALSE	TRUE	FALSE	TRUE	FALSE	TRUE	FALSE
3NTZE	0.49296676425941865	-0.2480166749912144	-0.797853195766485	0.4177446169343759	0.28165845349476837	0.4339376231599157	0.40992101194259706	0.6308554779498112	1.7502288965332802	-0.5715491392176768	-1.9463583776432802	0.662187508130999	0.0868107127294478	0.5709492274999088	0.0607052776584289	0.5125236716669299	0.200196133437298	0.9770563778141853	0.11626604026105873	0.9826535973426399	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	TRUE
3NU06	0.7656260168062984	-0.08701890144420758	-1.8158440289385283	0.08660017523575594	0.23029120365643	0.38510309461227377	0.3447659156501644	0.5390501172384701	3.3245994838280106	-0.22596261276949545	-5.266889638768914	0.16065329079122515	0.0018729747091573627	0.8223531825758345	4.7352231786236805e-6	0.8731554461149384	0.025321263710753925	0.9889120038053194	1.2180587188934192e-4	0.9826535973426399	TRUE	FALSE	TRUE	FALSE	TRUE	FALSE	TRUE	FALSE
3NU07	-0.5624159939661143	-0.005093273325102296	1.6833160874899908	-0.2319930549129464	0.24454768426210846	0.4028434240222146	0.3509314487392599	0.5362086735403914	-2.2998213851958282	-0.012643307601370776	4.796709139455567	-0.4326544242210414	0.025350697425078207	0.9899589651789455	1.3107089830021116e-5	0.6669889178113761	0.08951965028230742	0.9942318693737984	1.426900415302472e-4	0.9826535973426399	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	TRUE	TRUE
3NU1K	0.2759157171135095	0.4085518547657252	-0.05045048137929948	-0.5816901351746728	0.3092543762855992	0.4775665796529283	0.45973442768295625	0.6989322493699541	0.8921966454524765	0.8554866947822027	-0.10973831486488396	-0.8322553948526941	0.3766481779039459	0.39644569255438655	0.9130651210756	0.4093027235177018	0.5830997649476768	0.9770563778141853	0.9379668971049346	0.9826535973426399	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	TRUE	TRUE
3NU42	0.1131716315592265	-0.3488919220136684	-1.142377287332325	1.0282111776721323	0.23195125987560525	0.4239423101202686	0.34036595524746094	0.5653847716214252	0.48791126040841554	-0.8229702808259239	-3.3563206593378787	1.8186043014979012	0.6282765441321224	0.41540440741735196	0.001740996564726208	0.0764648834811758	0.785911767000763	0.9770563778141853	0.0055408146326127615	0.9217150406803057	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	TRUE	FALSE
3NU5Z	-0.19066747842042253	0.35324290513184964	1.3491030011431824	-0.7638499052878499	0.24327021610898583	0.38196926356123	0.35076960715400707	0.5258329501090854	-0.7837682782137328	0.9247940576119797	3.846122849950487	-1.4526474712727442	0.43662301038085916	0.3600417236559811	4.504296909200398e-4	0.1543437754835558	0.6325435919620139	0.9770563778141853	0.0018178055383558749	0.9217150406803057	FALSE	FALSE	TRUE	FALSE	FALSE	TRUE	FALSE	TRUE
3NU6V	0.1095623837958393	-0.08874396518125982	-0.2022065408419465	-0.47173917818350714	0.2374764591981981	0.3906160361621388	0.3490237254542111	0.5487881747980771	0.4613610299132783	-0.22718976428408472	-0.5793489843098768	-0.8596015727873153	0.6468123392130174	0.8213285074818902	0.5653083065695397	0.3946680844487319	0.785911767000763	0.9889120038053194	0.7019762488171207	0.9826535973426399	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE
3NU73	-0.08587815842772027	-0.26300751345873014	-0.017304580768529414	-0.3238067404103858	0.2551228644192052	0.4526138541408842	0.3689680457793978	0.6153259307779785	-0.3366149036591623	-0.581085866136268	-0.04689994422681157	-0.5262361363529494	0.7381738345383428	0.5646761762530619	0.9629197852063818	0.6025894972416417	0.8353558455041704	0.9770563778141853	0.9629197852063818	0.9826535973426399	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	TRUE
3NU8R	0.40999086789451394	-0.5118671332468109	-0.5508516787863009	0.7884161573989477	0.3104966021949999	0.5381521097844052	0.46061560186296346	0.7255531810156987	1.3204359242457315	-0.9511569757700576	-1.1959032142167503	1.0866414454902498	0.19282417816805775	0.3461929703472224	0.23748955987689346	0.28251201161709333	0.36059413247388344	0.9770563778141853	0.3727266703623467	0.9737186131559217	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
