#Transcript position	Transcript coverage profile
0.0	50841.44662999483
1.0	54202.676235160194
2.0	56661.225898631266
3.0	58989.19621930672
4.0	62802.03623071147
5.0	66727.02513978093
6.0	72054.21210989945
7.0	75419.11952257495
8.0	79669.37674435086
9.0	83456.18773620817
10.0	87096.14844678047
11.0	88477.73994616956
12.0	89802.2474580974
13.0	91366.17486803368
14.0	93493.19696775787
15.0	96764.06010029383
16.0	98733.16681311367
17.0	101265.5089387374
18.0	103545.09220347932
19.0	103207.73470825239
20.0	102850.19485200668
21.0	101488.75573526284
22.0	101934.61542465058
23.0	101746.30061402406
24.0	101995.55340283897
25.0	102400.95970183931
26.0	104447.20945130984
27.0	105596.00626924445
28.0	105732.17724797738
29.0	108530.34081076026
30.0	106823.5359168328
31.0	106670.85835235541
32.0	107201.90536667526
33.0	108129.26170168874
34.0	110388.67921955703
35.0	112754.87719297518
36.0	112310.87564276553
37.0	111856.49709589094
38.0	113002.33690266388
39.0	114457.31592660156
40.0	115936.37782111204
41.0	114955.86275055044
42.0	113127.22648552358
43.0	112382.12302662029
44.0	112018.06119881199
45.0	113419.63049265691
46.0	113859.11501594106
47.0	112227.40813267497
48.0	112527.50327882402
49.0	112742.09395125996
50.0	112568.86415786573
51.0	112409.16083336023
52.0	111696.69482933746
53.0	112107.28654427317
54.0	111478.79939568063
55.0	109175.7327723331
56.0	105377.63645875244
57.0	105043.54637515875
58.0	104723.51640441017
59.0	106195.65994261841
60.0	105273.90361892567
61.0	103994.15570907832
62.0	102946.09628200375
63.0	100706.03023975561
64.0	99469.69050268819
65.0	97922.7455136051
66.0	97526.30215075922
67.0	97856.22734593302
68.0	95696.3808273496
69.0	94136.55724705763
70.0	94629.7852854051
71.0	94859.01448561175
72.0	95068.79738630864
73.0	94432.05962684526
74.0	92678.64134949177
75.0	92102.38097540583
76.0	91034.91558523597
77.0	89815.22535168068
78.0	88598.69578243382
79.0	87326.74449644324
80.0	85436.48922904221
81.0	83475.23470979824
82.0	82318.0633168665
83.0	82304.03878991112
84.0	80668.28644380497
85.0	79444.06299251084
86.0	78268.15121597779
87.0	75942.42809338089
88.0	73054.54692588228
89.0	69213.08386159332
90.0	63598.51171821308
91.0	57352.10103202367
92.0	51809.01205616214
93.0	45707.1081852062
94.0	40102.70452913648
95.0	32347.73711590634
96.0	22902.133043922247
97.0	15300.09632444659
98.0	8005.871423216671
99.0	1681.2796045725654
