#Transcript position	Transcript coverage profile
0.0	6424.019248095193
1.0	8143.37889862216
2.0	9352.63683492749
3.0	9711.398162675048
4.0	10492.814413290576
5.0	11465.544297048402
6.0	13003.69484456195
7.0	14751.320952191043
8.0	16939.648956888974
9.0	20074.219378793314
10.0	23413.744343634513
11.0	25334.79133754285
12.0	26227.08266709983
13.0	27400.403182061887
14.0	29296.408043956064
15.0	30354.73670795985
16.0	31271.747517030384
17.0	32102.115485065657
18.0	32621.000588966723
19.0	33138.52780017109
20.0	34993.05644018372
21.0	36256.11588220215
22.0	37961.67197595094
23.0	39783.05210917523
24.0	42189.65783339345
25.0	44659.4416604002
26.0	46923.99462017631
27.0	48575.38217622843
28.0	48354.54961387149
29.0	47588.169448393695
30.0	50277.36662044554
31.0	53568.02882548923
32.0	55030.07516780783
33.0	58201.43877006501
34.0	63144.805519068475
35.0	67353.9666761528
36.0	67791.46745981954
37.0	68919.55966004528
38.0	69418.24019789064
39.0	69350.69761357806
40.0	70506.29938185752
41.0	72153.42465706603
42.0	72136.6050142417
43.0	72934.3165032816
44.0	72401.10062795015
45.0	70562.36841501393
46.0	69249.74482885834
47.0	68101.87436688537
48.0	67907.51561566834
49.0	67428.64755543349
50.0	66229.7784899884
51.0	63804.22684072825
52.0	60646.00963058051
53.0	59687.768350224374
54.0	58900.14121110802
55.0	55929.436881752605
56.0	52630.85593644665
57.0	51428.11814418341
58.0	48656.22095523233
59.0	44269.68312664511
60.0	40476.812508704366
61.0	40426.77446202357
62.0	40271.3843145808
63.0	38723.418030721434
64.0	38034.59154636273
65.0	36533.90289417772
66.0	37250.12905406661
67.0	39300.70591113607
68.0	38344.19093149191
69.0	36222.99707989177
70.0	35570.3124068359
71.0	34291.88394411762
72.0	32747.850011500057
73.0	32063.84106286037
74.0	31118.23573124975
75.0	30020.55658835816
76.0	29107.742867017543
77.0	29028.780640218556
78.0	28644.972434449508
79.0	28162.309614750844
80.0	28407.78410740726
81.0	28739.996121658187
82.0	28663.30318766691
83.0	28375.662817035274
84.0	27527.998796763735
85.0	26545.20498959697
86.0	24989.96959004598
87.0	23464.659712443092
88.0	22067.155181293347
89.0	20917.67545548137
90.0	19067.37468214617
91.0	15547.630909461837
92.0	12099.25387606408
93.0	10416.611137415815
94.0	9142.586826241377
95.0	7278.331797024281
96.0	4878.1215901763335
97.0	3330.567767449813
98.0	1786.797165482525
99.0	330.4020730076028
