#Transcript position	Transcript coverage profile
0.0	4276.948216628569
1.0	4546.985369245481
2.0	5145.460883195243
3.0	5563.807364006321
4.0	6486.9573962272525
5.0	7340.898649732275
6.0	8074.440764881253
7.0	8806.502645080584
8.0	9597.91967260713
9.0	10471.935304781226
10.0	11900.33244092835
11.0	12585.08854000258
12.0	13057.461177138364
13.0	13680.50991474073
14.0	14257.879785786034
15.0	14848.398797413854
16.0	15181.655581930258
17.0	15715.826204748273
18.0	16210.36040045138
19.0	16525.28381996878
20.0	17402.6022576362
21.0	18656.58209490395
22.0	19042.941725376066
23.0	19180.361413568757
24.0	19505.271314439055
25.0	20061.2783415363
26.0	20926.83376835144
27.0	21508.33968076891
28.0	21920.436033840644
29.0	22378.918260485858
30.0	22887.37121121154
31.0	23242.107894424178
32.0	23682.746382319354
33.0	24028.056360009843
34.0	24611.208569224444
35.0	25206.18045483712
36.0	25768.571233144772
37.0	26401.632983232765
38.0	26541.662316094764
39.0	26786.929382197883
40.0	27575.137481850234
41.0	28387.573304064244
42.0	29206.406981503627
43.0	29314.029245869788
44.0	29333.53283113677
45.0	29610.752159690917
46.0	30246.794825204724
47.0	30240.246809285818
48.0	30055.88307428145
49.0	30022.025587295146
50.0	29557.432654499044
51.0	29022.90275500795
52.0	28325.901853653293
53.0	28066.25717093039
54.0	27589.699440599918
55.0	27205.07835512506
56.0	26859.99012863409
57.0	26351.719247161396
58.0	25590.34876750729
59.0	24515.062879797588
60.0	23753.03231624336
61.0	23515.823756693295
62.0	23087.505498444032
63.0	22150.3116448709
64.0	21634.062392715496
65.0	21150.582861909224
66.0	20678.632928171442
67.0	20205.155004498665
68.0	20139.10818585585
69.0	19855.005442886988
70.0	18792.873214825093
71.0	17833.387040464742
72.0	17535.421999047256
73.0	17253.349760425142
74.0	17203.153552468077
75.0	17043.26527809594
76.0	16834.970245492426
77.0	16706.7704980178
78.0	16304.517958964623
79.0	15694.689248240671
80.0	15234.956846740319
81.0	14908.820614308352
82.0	14470.783285475978
83.0	14130.841589138581
84.0	13751.310144170964
85.0	13137.059309757067
86.0	12268.35937049219
87.0	11837.626835975701
88.0	11619.24502701772
89.0	11096.751039874
90.0	9930.810241263904
91.0	8414.140909646054
92.0	7191.184593300097
93.0	6689.037366671562
94.0	6022.344304551808
95.0	4764.892228946488
96.0	3419.6453282474754
97.0	2588.9270203124825
98.0	1222.26774163784
99.0	246.09781443506864
