#Transcript position	Transcript coverage profile
0.0	3289.91931940174
1.0	14942.556383095362
2.0	25017.327687174035
3.0	29858.081519091902
4.0	30768.523612923447
5.0	31926.498769716232
6.0	33650.27514342124
7.0	40138.56157071678
8.0	40192.92560563377
9.0	41510.58286325848
10.0	43857.63980936249
11.0	45899.74263639958
12.0	46506.01737356453
13.0	44947.29658055449
14.0	41723.156922871596
15.0	37273.44360329195
16.0	32934.406098818865
17.0	28301.331190544413
18.0	25560.05530961373
19.0	24420.64306096898
20.0	24417.32816958907
21.0	25964.149044049307
22.0	27201.311846629913
23.0	27315.104059435627
24.0	26577.965795895045
25.0	26236.66796314395
26.0	26678.834419610375
27.0	28249.146765572536
28.0	27776.617886846674
29.0	26265.23721989674
30.0	25273.091894049292
31.0	26882.47306908825
32.0	27481.788697766675
33.0	27684.18033687784
34.0	28140.233568831492
35.0	28727.905001500232
36.0	29391.677180343257
37.0	29167.023758772488
38.0	31293.405335660227
39.0	34451.42355811246
40.0	36659.91192361574
41.0	38553.530797937805
42.0	43954.13383976908
43.0	48207.146588458076
44.0	60008.98169254972
45.0	59613.86037229617
46.0	59221.692947864336
47.0	59370.62412993428
48.0	58957.64641950311
49.0	58465.035624760014
50.0	57587.59798959891
51.0	55812.866305136195
52.0	54377.878830121714
53.0	53550.41757168143
54.0	53007.13426208244
55.0	52024.0494849415
56.0	50770.61808796713
57.0	49976.13371106466
58.0	49137.14937534242
59.0	48100.68899701423
60.0	43449.98550904287
61.0	28331.605948017037
62.0	14132.485715156503
63.0	12825.394535404792
64.0	12748.530979174595
65.0	12749.691279291957
66.0	12649.631217489572
67.0	12431.075580925375
68.0	11520.536967279284
69.0	10786.256352712713
70.0	10440.483115579398
71.0	9977.298177142544
72.0	9293.071447945624
73.0	9897.078703553538
74.0	9899.949783727852
75.0	9402.512124843623
76.0	8991.1137435571
77.0	7733.79414185601
78.0	4622.487656183642
79.0	2693.0022979840105
80.0	3118.9309326850384
81.0	3576.1601761818674
82.0	3624.678009139533
83.0	3181.9771362468664
84.0	2531.592766488624
85.0	2431.3518116751634
86.0	2308.0913876515547
87.0	2179.996877236442
88.0	2058.6910029092905
89.0	2040.956170334418
90.0	1998.1103544273017
91.0	1853.6359753963502
92.0	1758.5681334323856
93.0	1663.461556172008
94.0	1547.194741995213
95.0	1394.809403059419
96.0	1311.248053314151
97.0	1247.3584845001533
98.0	1109.206187498513
99.0	547.4065207776746
