paired_counts	distinct_minimizer_count	k2_taxon	source	rel_abun	abun_filter	species_microbial_read_pair_total	minimizer_threshold	minimizer_microbe_ratio	minimizer_filter	mtx_filter	taxa_pass_filter	mgx_LIBID	matched_mtx_LIBID
3139602	812152	Cutibacterium_acnes	non_contaminant	76.19934528212865	TRUE	4364669	8729.338	186074.13299840147	TRUE	TRUE	TRUE	MHS577	MHS439
9392	171717	Cutibacterium_granulosum	non_contaminant	0.22794744394026767	TRUE	4364669	8729.338	39342.50226076708	TRUE	FALSE	TRUE	MHS577	MHS439
7524	46272	Cutibacterium_modestum	non_contaminant	0.18261036714294868	TRUE	4364669	8729.338	10601.491201280096	TRUE	FALSE	TRUE	MHS577	MHS439
5808	89999	Cutibacterium_avidum	non_contaminant	0.14096238867174984	TRUE	4364669	8729.338	20619.89122199186	TRUE	FALSE	TRUE	MHS577	MHS439
121057	325984	Corynebacterium_segmentosum	non_contaminant	2.93809984253375	TRUE	4364669	8729.338	74686.9923011344	TRUE	TRUE	TRUE	MHS577	MHS439
81602	423822	Corynebacterium_kefirresidentii	non_contaminant	1.9805118526845955	TRUE	4364669	8729.338	97102.89600425599	TRUE	TRUE	TRUE	MHS577	MHS439
12866	27921	Corynebacterium_macginleyi	non_contaminant	0.3122627569990933	TRUE	4364669	8729.338	6397.0486650877765	TRUE	FALSE	TRUE	MHS577	MHS439
10327	97876	Corynebacterium_tuberculostearicum	non_contaminant	0.2506402527226516	TRUE	4364669	8729.338	22424.609976151685	TRUE	FALSE	TRUE	MHS577	MHS439
4448	132104	Corynebacterium_matruchotii	non_contaminant	0.10795466680646407	TRUE	4364669	8729.338	30266.670851787385	TRUE	FALSE	TRUE	MHS577	MHS439
4627	50030	Gordonia_terrae	non_contaminant	0.11229906549314508	TRUE	4364669	8729.338	11462.495781467049	TRUE	FALSE	TRUE	MHS577	MHS439
9167	210447	Rothia_kristinae	non_contaminant	0.22248660760226083	TRUE	4364669	8729.338	48216.02737802111	TRUE	FALSE	TRUE	MHS577	MHS439
8395	198432	Dermacoccus_sp._PAMC28757	non_contaminant	0.20374987136696623	TRUE	4364669	8729.338	45463.241313373364	TRUE	FALSE	TRUE	MHS577	MHS439
5335	145199	Dermacoccus_nishinomiyaensis	non_contaminant	0.12948249717007326	TRUE	4364669	8729.338	33266.89836044841	TRUE	FALSE	TRUE	MHS577	MHS439
21753	500928	Staphylococcus_epidermidis	non_contaminant	0.5279536571585012	TRUE	4364669	8729.338	114768.84043211523	TRUE	TRUE	TRUE	MHS577	MHS439
17499	423205	Staphylococcus_capitis	non_contaminant	0.42470744479458516	TRUE	4364669	8729.338	96961.533623741	TRUE	TRUE	TRUE	MHS577	MHS439
2842	97360	Staphylococcus_hominis	non_contaminant	0.06897643054495749	FALSE	4364669	8729.338	22306.387952900895	TRUE	TRUE	TRUE	MHS577	MHS439
4626	47071	Streptococcus_mitis	non_contaminant	0.1122747951094206	TRUE	4364669	8729.338	10784.552047360292	TRUE	FALSE	TRUE	MHS577	MHS439
18953	492286	Moraxella_osloensis	non_contaminant	0.45999658272997157	TRUE	4364669	8729.338	112788.85065511268	TRUE	FALSE	TRUE	MHS577	MHS439
7351	45170	Methylobacterium_radiodurans	non_contaminant	0.17841159075861454	TRUE	4364669	8729.338	10349.009283407288	TRUE	FALSE	TRUE	MHS577	MHS439
9578	126685	Empedobacter_falsenii	non_contaminant	0.23246173531301997	TRUE	4364669	8729.338	29025.110495205936	TRUE	FALSE	TRUE	MHS577	MHS439
589786	1606296	Malassezia_restricta	non_contaminant	14.314332535323116	TRUE	4364669	8729.338	368022.40903032967	TRUE	TRUE	TRUE	MHS577	MHS439
11818	441453	Malassezia_globosa	non_contaminant	0.28682739485584363	TRUE	4364669	8729.338	101142.37757777279	TRUE	TRUE	TRUE	MHS577	MHS439
9080	312327	Malassezia_furfur	non_contaminant	0.22037508421823152	TRUE	4364669	8729.338	71558.0035966072	TRUE	TRUE	TRUE	MHS577	MHS439
6318	133722	Malassezia_arunalokei	non_contaminant	0.153340284371232	TRUE	4364669	8729.338	30637.374792910985	TRUE	TRUE	TRUE	MHS577	MHS439
494	16070	Malassezia_obtusa	non_contaminant	0.01198956955989057	FALSE	4364669	8729.338	3681.8370419383464	TRUE	TRUE	TRUE	MHS577	MHS439
