paired_counts	distinct_minimizer_count	k2_taxon	source	rel_abun	abun_filter	species_microbial_read_pair_total	minimizer_threshold	minimizer_microbe_ratio	minimizer_filter	mtx_filter	taxa_pass_filter	mgx_LIBID	matched_mtx_LIBID
11240396	839340	Cutibacterium_acnes	non_contaminant	88.1469367077887	TRUE	12751885	25503.77	65820.8570732876	TRUE	TRUE	TRUE	MHS479	MHS384
216955	614136	Cutibacterium_modestum	non_contaminant	1.701356309282902	TRUE	12751885	25503.77	48160.40922577329	TRUE	TRUE	TRUE	MHS479	MHS384
88121	392305	Cutibacterium_granulosum	non_contaminant	0.6910429320841585	TRUE	12751885	25503.77	30764.471291891357	TRUE	TRUE	TRUE	MHS479	MHS384
3791	31510	Cutibacterium_avidum	non_contaminant	0.029728938113855324	FALSE	12751885	25503.77	2471.007227558906	TRUE	FALSE	FALSE	MHS479	MHS384
854	3600	Microlunatus_phosphovorus	non_contaminant	0.0066970491029365465	FALSE	12751885	25503.77	282.31120340247736	FALSE	FALSE	FALSE	MHS479	MHS384
125	568	Microlunatus_sp._KUDC0627	non_contaminant	9.802472340363797e-4	FALSE	12751885	25503.77	44.5424343146131	FALSE	FALSE	FALSE	MHS479	MHS384
107	434	Microlunatus_sp._Gsoil_973	non_contaminant	8.390916323351411e-4	FALSE	12751885	25503.77	34.034183965743104	FALSE	FALSE	FALSE	MHS479	MHS384
232	918	Microlunatus_sagamiharensis	non_contaminant	0.001819338866371521	FALSE	12751885	25503.77	71.98935686763173	FALSE	FALSE	FALSE	MHS479	MHS384
117	557	Microlunatus_soli	non_contaminant	9.175114110580513e-4	FALSE	12751885	25503.77	43.67981674866108	FALSE	FALSE	FALSE	MHS479	MHS384
239	3748	Tessaracoccus_flavescens	non_contaminant	0.0018742327114775578	FALSE	12751885	25503.77	293.9173306534681	FALSE	FALSE	FALSE	MHS479	MHS384
102	407	Tessaracoccus_sp._J1M15	non_contaminant	7.998817429736858e-4	FALSE	12751885	25503.77	31.916849940224523	FALSE	FALSE	FALSE	MHS479	MHS384
32	296	Tessaracoccus_sp._MC1865	non_contaminant	2.5094329191331324e-4	FALSE	12751885	25503.77	23.212254501981473	FALSE	FALSE	FALSE	MHS479	MHS384
89	483	Tessaracoccus_defluvii	non_contaminant	6.979360306339023e-4	FALSE	12751885	25503.77	37.87675312316571	FALSE	FALSE	FALSE	MHS479	MHS384
74	450	Tessaracoccus_aquimaris	non_contaminant	5.803063625495368e-4	FALSE	12751885	25503.77	35.28890042530967	FALSE	FALSE	FALSE	MHS479	MHS384
37	348	Tessaracoccus_timonensis	non_contaminant	2.901531812747684e-4	FALSE	12751885	25503.77	27.290082995572813	FALSE	FALSE	FALSE	MHS479	MHS384
30	291	Tessaracoccus_flavus	non_contaminant	2.3525933616873115e-4	FALSE	12751885	25503.77	22.82015560836692	FALSE	FALSE	FALSE	MHS479	MHS384
139	1883	Acidipropionibacterium_jensenii	non_contaminant	0.0010900349242484542	FALSE	12751885	25503.77	147.66444333524024	FALSE	FALSE	FALSE	MHS479	MHS384
93	1887	Acidipropionibacterium_acidipropionici	non_contaminant	7.293039421230665e-4	FALSE	12751885	25503.77	147.97812245013188	FALSE	FALSE	FALSE	MHS479	MHS384
33	978	Acidipropionibacterium_virtanenii	non_contaminant	2.5878526978560427e-4	FALSE	12751885	25503.77	76.69454359100635	FALSE	FALSE	FALSE	MHS479	MHS384
189	1000	Propionibacterium_freudenreichii	non_contaminant	0.0014821338178630061	FALSE	12751885	25503.77	78.41977872291038	FALSE	FALSE	FALSE	MHS479	MHS384
27	414	Propionibacterium_acidifaciens	non_contaminant	2.1173340255185803e-4	FALSE	12751885	25503.77	32.465788391284896	FALSE	FALSE	FALSE	MHS479	MHS384
23	416	Propionibacterium_australiense	non_contaminant	1.8036549106269388e-4	FALSE	12751885	25503.77	32.62262794873072	FALSE	FALSE	FALSE	MHS479	MHS384
107	548	Brevilactibacter_sp._MC1595	non_contaminant	8.390916323351411e-4	FALSE	12751885	25503.77	42.97403874015489	FALSE	FALSE	FALSE	MHS479	MHS384
94	529	Brevilactibacter_coleopterorum	non_contaminant	7.371459199953576e-4	FALSE	12751885	25503.77	41.48406294441959	FALSE	FALSE	FALSE	MHS479	MHS384
179	755	Auraticoccus_monumenti	non_contaminant	0.0014037140391400958	FALSE	12751885	25503.77	59.20693293579733	FALSE	FALSE	FALSE	MHS479	MHS384
45	719	Arachnia_propionica	non_contaminant	3.5288900425309674e-4	FALSE	12751885	25503.77	56.383820901772566	FALSE	FALSE	FALSE	MHS479	MHS384
15	297	Arachnia_rubra	non_contaminant	1.1762966808436557e-4	FALSE	12751885	25503.77	23.290674280704383	FALSE	FALSE	FALSE	MHS479	MHS384
48	378	Raineyella_sp._CBA3103	non_contaminant	3.7641493786996983e-4	FALSE	12751885	25503.77	29.64267635726012	FALSE	FALSE	FALSE	MHS479	MHS384
2	109	Propionimicrobium_sp._Marseille-P3275	non_contaminant	1.5683955744582077e-5	FALSE	12751885	25503.77	8.547755880797231	FALSE	FALSE	FALSE	MHS479	MHS384
1306	1576	Nocardioides_sp._S-1144	non_contaminant	0.010241623101212094	FALSE	12751885	25503.77	123.58957126730675	FALSE	FALSE	FALSE	MHS479	MHS384
1289	1547	Nocardioides_sp._zg-579	non_contaminant	0.010108309477383148	FALSE	12751885	25503.77	121.31539768434236	FALSE	FALSE	FALSE	MHS479	MHS384
1194	1845	Nocardioides_sp._LMS-CY	non_contaminant	0.009363321579515499	FALSE	12751885	25503.77	144.68449174376966	FALSE	FALSE	FALSE	MHS479	MHS384
1067	1880	Nocardioides_sp._S5	non_contaminant	0.008367390389734537	FALSE	12751885	25503.77	147.4291839990715	FALSE	FALSE	FALSE	MHS479	MHS384
977	1294	Nocardioides_sp._zg-1228	non_contaminant	0.007661612381228344	FALSE	12751885	25503.77	101.47519366744604	FALSE	FALSE	FALSE	MHS479	MHS384
946	1493	Nocardioides_sp._JS614	non_contaminant	0.007418511067187322	FALSE	12751885	25503.77	117.0807296333052	FALSE	FALSE	FALSE	MHS479	MHS384
896	2321	Nocardioides_sp._SCSIO_67246	non_contaminant	0.00702641217357277	FALSE	12751885	25503.77	182.012306415875	FALSE	FALSE	FALSE	MHS479	MHS384
881	1559	Nocardioides_sp._CF8	non_contaminant	0.006908782505488404	FALSE	12751885	25503.77	122.25643502901728	FALSE	FALSE	FALSE	MHS479	MHS384
823	1403	Nocardioides_sp._HDW12B	non_contaminant	0.006453947788895524	FALSE	12751885	25503.77	110.02294954824326	FALSE	FALSE	FALSE	MHS479	MHS384
774	1187	Nocardioides_sp._MC1495	non_contaminant	0.006069690873153263	FALSE	12751885	25503.77	93.08427734409462	FALSE	FALSE	FALSE	MHS479	MHS384
755	1057	Nocardioides_sp._JQ2195	non_contaminant	0.005920693293579734	FALSE	12751885	25503.77	82.88970611011626	FALSE	FALSE	FALSE	MHS479	MHS384
755	1134	Nocardioides_sp._603	non_contaminant	0.005920693293579734	FALSE	12751885	25503.77	88.92802907178037	FALSE	FALSE	FALSE	MHS479	MHS384
755	1216	Nocardioides_sp._G188	non_contaminant	0.005920693293579734	FALSE	12751885	25503.77	95.35845092705902	FALSE	FALSE	FALSE	MHS479	MHS384
741	1020	Nocardioides_sp._zg-536	non_contaminant	0.005810905603367659	FALSE	12751885	25503.77	79.98817429736859	FALSE	FALSE	FALSE	MHS479	MHS384
565	699	Nocardioides_sp._dk3136	non_contaminant	0.0044307174978444365	FALSE	12751885	25503.77	54.81542532731436	FALSE	FALSE	FALSE	MHS479	MHS384
560	760	Nocardioides_sp._ZJ1313	non_contaminant	0.004391507608482981	FALSE	12751885	25503.77	59.599031829411885	FALSE	FALSE	FALSE	MHS479	MHS384
