paired_counts	distinct_minimizer_count	k2_taxon	source	rel_abun	abun_filter	species_microbial_read_pair_total	minimizer_threshold	minimizer_microbe_ratio	minimizer_filter	mtx_filter	taxa_pass_filter	mgx_LIBID	matched_mtx_LIBID
1863	38102	Klebsiella_aerogenes	non_contaminant	0.4749582531326084	TRUE	458253	916.5060000000001	83146.20962656	TRUE	FALSE	TRUE	MHS457	MHS334
4684	85642	Pantoea_agglomerans	non_contaminant	1.194151614424658	TRUE	458253	916.5060000000001	186888.02910182803	TRUE	FALSE	TRUE	MHS457	MHS334
15630	165648	Pseudomonas_oryzihabitans	non_contaminant	3.984754426442657	TRUE	458253	916.5060000000001	361477.17527217494	TRUE	FALSE	TRUE	MHS457	MHS334
3591	33119	Pseudomonas_aeruginosa	non_contaminant	0.9154992415454626	TRUE	458253	916.5060000000001	72272.30372741695	TRUE	FALSE	TRUE	MHS457	MHS334
1387	13006	Pseudomonas_psychrotolerans	non_contaminant	0.35360552715777127	TRUE	458253	916.5060000000001	28381.701811008326	TRUE	FALSE	TRUE	MHS457	MHS334
4551	136335	Moraxella_osloensis	non_contaminant	1.1602442351081594	TRUE	458253	916.5060000000001	297510.32726463326	TRUE	FALSE	TRUE	MHS457	MHS334
19466	446686	Xanthomonas_campestris	non_contaminant	4.962714629886933	TRUE	458253	916.5060000000001	974758.4849417243	TRUE	FALSE	TRUE	MHS457	MHS334
3839	106136	Haemophilus_parainfluenzae	non_contaminant	0.9787250315491594	TRUE	458253	916.5060000000001	231610.049470489	TRUE	FALSE	TRUE	MHS457	MHS334
576	10971	Cardiobacterium_hominis	non_contaminant	0.14684699613761806	TRUE	458253	916.5060000000001	23940.92346367618	TRUE	FALSE	TRUE	MHS457	MHS334
2752	44492	Lautropia_mirabilis	non_contaminant	0.7016023148797308	TRUE	458253	916.5060000000001	97090.47185724915	TRUE	FALSE	TRUE	MHS457	MHS334
1599	39706	Neisseria_elongata	non_contaminant	0.4076533799028668	TRUE	458253	916.5060000000001	86646.45948853581	TRUE	FALSE	TRUE	MHS457	MHS334
586	5563	Neisseria_mucosa	non_contaminant	0.14939642315389615	TRUE	458253	916.5060000000001	12139.582283149264	TRUE	FALSE	TRUE	MHS457	MHS334
592	13039	Kingella_oralis	non_contaminant	0.15092607936366303	TRUE	458253	916.5060000000001	28453.71443285696	TRUE	FALSE	TRUE	MHS457	MHS334
6488	60037	Roseomonas_sp._FDAARGOS_362	non_contaminant	1.6540682481612259	TRUE	458253	916.5060000000001	131012.7811492778	TRUE	FALSE	TRUE	MHS457	MHS334
773	8053	Roseomonas_mucosa	non_contaminant	0.19707070835829646	TRUE	458253	916.5060000000001	17573.26193172767	TRUE	FALSE	TRUE	MHS457	MHS334
877	16435	Paracoccus_yeei	non_contaminant	0.22358474932758862	TRUE	458253	916.5060000000001	35864.467881279554	TRUE	FALSE	TRUE	MHS457	MHS334
199580	692923	Cutibacterium_acnes	non_contaminant	50.88146439087815	TRUE	458253	916.5060000000001	1512097.0293702385	TRUE	TRUE	TRUE	MHS457	MHS334
2856	95336	Cutibacterium_modestum	non_contaminant	0.7281163558490229	TRUE	458253	916.5060000000001	208042.28232002843	TRUE	FALSE	TRUE	MHS457	MHS334
1107	25904	Cutibacterium_granulosum	non_contaminant	0.2822215707019847	TRUE	458253	916.5060000000001	56527.72595051205	TRUE	FALSE	TRUE	MHS457	MHS334
7484	101410	Corynebacterium_segmentosum	non_contaminant	1.907991178982524	TRUE	458253	916.5060000000001	221296.96914150042	TRUE	FALSE	TRUE	MHS457	MHS334
4169	102858	Corynebacterium_kefirresidentii	non_contaminant	1.0628561230863363	TRUE	458253	916.5060000000001	224456.7957001918	TRUE	FALSE	TRUE	MHS457	MHS334
3341	72791	Corynebacterium_tuberculostearicum	non_contaminant	0.8517635661385103	TRUE	458253	916.5060000000001	158844.56839344205	TRUE	FALSE	TRUE	MHS457	MHS334
2905	89065	Corynebacterium_matruchotii	non_contaminant	0.7406085482287856	TRUE	458253	916.5060000000001	194357.70196812676	TRUE	FALSE	TRUE	MHS457	MHS334
1450	26734	Corynebacterium_kroppenstedtii	non_contaminant	0.36966691736032325	TRUE	458253	916.5060000000001	58338.952500038184	TRUE	FALSE	TRUE	MHS457	MHS334
859	10846	Corynebacterium_macginleyi	non_contaminant	0.21899578069828804	TRUE	458253	916.5060000000001	23668.148380916216	TRUE	FALSE	TRUE	MHS457	MHS334
735	15813	Corynebacterium_bovis	non_contaminant	0.18738288569643974	TRUE	458253	916.5060000000001	34507.13906946599	TRUE	FALSE	TRUE	MHS457	MHS334
563	4423	Corynebacterium_aurimucosum	non_contaminant	0.14353274101645655	TRUE	458253	916.5060000000001	9651.873528378428	TRUE	FALSE	TRUE	MHS457	MHS334
639	15419	Mycobacterium_grossiae	non_contaminant	0.16290838634017005	TRUE	458253	916.5060000000001	33647.3520086066	TRUE	FALSE	TRUE	MHS457	MHS334
460	3249	Mycobacterium_dioxanotrophicus	non_contaminant	0.11727364274879222	TRUE	458253	916.5060000000001	7089.969951096883	TRUE	FALSE	TRUE	MHS457	MHS334
1032	31261	Gordonia_bronchialis	non_contaminant	0.263100868079899	TRUE	458253	916.5060000000001	68217.7748972729	TRUE	FALSE	TRUE	MHS457	MHS334
1363	7826	Lawsonella_clevelandensis	non_contaminant	0.3474869023187039	TRUE	458253	916.5060000000001	17077.902381435582	TRUE	FALSE	TRUE	MHS457	MHS334
3404	96781	Rothia_dentocariosa	non_contaminant	0.8678249563410623	TRUE	458253	916.5060000000001	211195.56227673357	TRUE	FALSE	TRUE	MHS457	MHS334
1694	50713	Rothia_kristinae	non_contaminant	0.4318729365575087	TRUE	458253	916.5060000000001	110665.94217604685	TRUE	FALSE	TRUE	MHS457	MHS334
1308	38161	Rothia_aeria	non_contaminant	0.3334650537291744	TRUE	458253	916.5060000000001	83274.9594656227	TRUE	FALSE	TRUE	MHS457	MHS334
785	21174	Rothia_mucilaginosa	non_contaminant	0.20013002077783015	TRUE	458253	916.5060000000001	46205.91681887516	TRUE	FALSE	TRUE	MHS457	MHS334
1598	21831	Micrococcus_luteus	non_contaminant	0.4073984372012391	TRUE	458253	916.5060000000001	47639.62265386151	TRUE	FALSE	TRUE	MHS457	MHS334
667	26494	Kocuria_sp._TGY1120_3	non_contaminant	0.1700467819857487	TRUE	458253	916.5060000000001	57815.22434113906	TRUE	FALSE	TRUE	MHS457	MHS334
657	18622	Kocuria_palustris	non_contaminant	0.1674973549694706	TRUE	458253	916.5060000000001	40636.94072924781	TRUE	FALSE	TRUE	MHS457	MHS334
2129	54069	Kytococcus_sedentarius	non_contaminant	0.5427730117656058	TRUE	458253	916.5060000000001	117989.40759798625	TRUE	FALSE	TRUE	MHS457	MHS334
1449	45508	Dermacoccus_nishinomiyaensis	non_contaminant	0.36941197465869546	TRUE	458253	916.5060000000001	99307.58772992212	TRUE	FALSE	TRUE	MHS457	MHS334
1833	30879	Actinomyces_sp._oral_taxon_171	non_contaminant	0.46730997208377417	TRUE	458253	916.5060000000001	67384.17424435847	TRUE	FALSE	TRUE	MHS457	MHS334
1044	10716	Actinomyces_sp._oral_taxon_169	non_contaminant	0.2661601804994328	TRUE	458253	916.5060000000001	23384.46229484586	TRUE	FALSE	TRUE	MHS457	MHS334
575	4885	Actinomyces_sp._HMT_175	non_contaminant	0.14659205343599024	TRUE	458253	916.5060000000001	10660.05023425924	TRUE	FALSE	TRUE	MHS457	MHS334
1479	16269	Actinomyces_oris	non_contaminant	0.37706025570752977	TRUE	458253	916.5060000000001	35502.222571374325	TRUE	FALSE	TRUE	MHS457	MHS334
1016	14371	Actinomyces_naeslundii	non_contaminant	0.2590217848538541	TRUE	458253	916.5060000000001	31360.405714747092	TRUE	FALSE	TRUE	MHS457	MHS334
621	8332	Schaalia_odontolytica	non_contaminant	0.1583194177108695	TRUE	458253	916.5060000000001	18182.0959164479	TRUE	FALSE	TRUE	MHS457	MHS334
2455	78420	Gardnerella_vaginalis	non_contaminant	0.6258843324962715	TRUE	458253	916.5060000000001	171128.17592028857	TRUE	FALSE	TRUE	MHS457	MHS334
6537	186658	Staphylococcus_hominis	non_contaminant	1.6665604405409884	TRUE	458253	916.5060000000001	407325.21118246904	TRUE	TRUE	TRUE	MHS457	MHS334
3157	103437	Staphylococcus_epidermidis	non_contaminant	0.8048541090389935	TRUE	458253	916.5060000000001	225720.28988353594	TRUE	TRUE	TRUE	MHS457	MHS334
2409	83104	Staphylococcus_capitis	non_contaminant	0.6141569682213922	TRUE	458253	916.5060000000001	181349.6038214698	TRUE	FALSE	TRUE	MHS457	MHS334
1724	31563	Staphylococcus_warneri	non_contaminant	0.43952121760634294	TRUE	458253	916.5060000000001	68876.79949722097	TRUE	FALSE	TRUE	MHS457	MHS334
1010	29549	Staphylococcus_haemolyticus	non_contaminant	0.2574921286440872	TRUE	458253	916.5060000000001	64481.84736379249	TRUE	FALSE	TRUE	MHS457	MHS334
760	1406	Staphylococcus_aureus	non_contaminant	0.19375645323713497	TRUE	458253	916.5060000000001	3068.174130884031	TRUE	FALSE	TRUE	MHS457	MHS334
547	14740	Staphylococcus_pasteuri	non_contaminant	0.1394536577904116	TRUE	458253	916.5060000000001	32165.637759054494	TRUE	FALSE	TRUE	MHS457	MHS334
709	10645	Gemella_haemolysans	non_contaminant	0.18075437545411668	TRUE	458253	916.5060000000001	23229.5260478382	TRUE	FALSE	TRUE	MHS457	MHS334
5200	56914	Streptococcus_oralis	non_contaminant	1.3257020484646076	TRUE	458253	916.5060000000001	124197.76848160295	TRUE	FALSE	TRUE	MHS457	MHS334
3223	31917	Streptococcus_mitis	non_contaminant	0.8216803273464289	TRUE	458253	916.5060000000001	69649.29853159717	TRUE	FALSE	TRUE	MHS457	MHS334
599	7339	Streptococcus_sp._oral_taxon_061	non_contaminant	0.1527106782750577	TRUE	458253	916.5060000000001	16015.170659002777	TRUE	FALSE	TRUE	MHS457	MHS334
994	25479	Streptococcus_sanguinis	non_contaminant	0.25341304541804227	TRUE	458253	916.5060000000001	55600.29066912819	TRUE	FALSE	TRUE	MHS457	MHS334
921	8008	Streptococcus_pneumoniae	non_contaminant	0.23480222819921223	TRUE	458253	916.5060000000001	17475.062901934085	TRUE	FALSE	TRUE	MHS457	MHS334
813	23183	Streptococcus_gordonii	non_contaminant	0.20726841642340885	TRUE	458253	916.5060000000001	50589.95794899324	TRUE	FALSE	TRUE	MHS457	MHS334
1572	57535	Lactobacillus_iners	non_contaminant	0.400769926958916	TRUE	458253	916.5060000000001	125552.91509275444	TRUE	FALSE	TRUE	MHS457	MHS334
