paired_counts	distinct_minimizer_count	k2_taxon	source	rel_abun	abun_filter	species_microbial_read_pair_total	minimizer_threshold	minimizer_microbe_ratio	minimizer_filter	taxa_pass_filter	mtx_LIBID
328012	493148	Cutibacterium_acnes	non_contaminant	79.93137849778368	TRUE	577324	5773.24	854196.2572143199	TRUE	TRUE	SMT028_T1_Sc
8015	8672	Cutibacterium_modestum	non_contaminant	1.9531297594592156	TRUE	577324	5773.24	15021.028053571306	TRUE	TRUE	SMT028_T1_Sc
1785	6978	Corynebacterium_tuberculostearicum	non_contaminant	0.4349764966481223	TRUE	577324	5773.24	12086.800479453479	TRUE	TRUE	SMT028_T1_Sc
14744	111901	Staphylococcus_epidermidis	non_contaminant	3.592881493882305	TRUE	577324	5773.24	193827.03646479276	TRUE	TRUE	SMT028_T1_Sc
10390	74170	Staphylococcus_capitis	non_contaminant	2.5318800000974737	TRUE	577324	5773.24	128472.05382073153	TRUE	TRUE	SMT028_T1_Sc
3931	35464	Staphylococcus_hominis	non_contaminant	0.9579230298732597	TRUE	577324	5773.24	61428.24479841476	TRUE	TRUE	SMT028_T1_Sc
724	7208	Caldibacillus_thermoamylovorans	non_contaminant	0.1764274417777258	TRUE	577324	5773.24	12485.190291759915	TRUE	TRUE	SMT028_T1_Sc
3076	21932	Moraxella_osloensis	non_contaminant	0.749572943243487	TRUE	577324	5773.24	37989.06679784662	TRUE	TRUE	SMT028_T1_Sc
1935	10907	Roseomonas_mucosa	non_contaminant	0.4715291434252754	TRUE	577324	5773.24	18892.337751418614	TRUE	TRUE	SMT028_T1_Sc
2024	9491	Ralstonia_pickettii	non_contaminant	0.49321704717971965	TRUE	577324	5773.24	16439.642211305956	TRUE	TRUE	SMT028_T1_Sc
22538	126521	Malassezia_restricta	non_contaminant	5.492157020423182	TRUE	577324	5773.24	219150.7714905322	TRUE	TRUE	SMT028_T1_Sc
10305	101482	Malassezia_globosa	non_contaminant	2.5111668335904205	TRUE	577324	5773.24	175779.97796731128	TRUE	TRUE	SMT028_T1_Sc
2888	22305	Malassezia_arunalokei	non_contaminant	0.7037602926161217	TRUE	577324	5773.24	38635.15114563053	TRUE	TRUE	SMT028_T1_Sc
