paired_counts	distinct_minimizer_count	k2_taxon	source	rel_abun	abun_filter	species_microbial_read_pair_total	minimizer_threshold	minimizer_microbe_ratio	minimizer_filter	taxa_pass_filter	mtx_LIBID
1005460	471364	Corynebacterium_tuberculostearicum	non_contaminant	48.98916543600143	TRUE	2343901	23439.01	201102.3503125772	TRUE	TRUE	SMT029_T1_Tw
56720	27644	Corynebacterium_jeikeium	non_contaminant	2.7635763367314476	TRUE	2343901	23439.01	11794.013484357916	TRUE	TRUE	SMT029_T1_Tw
35008	52668	Corynebacterium_kefirresidentii	non_contaminant	1.705699583855686	TRUE	2343901	23439.01	22470.23231783254	TRUE	TRUE	SMT029_T1_Tw
33459	49881	Corynebacterium_minutissimum	non_contaminant	1.6302274444763312	TRUE	2343901	23439.01	21281.18892393493	TRUE	TRUE	SMT029_T1_Tw
13386	126073	Cutibacterium_acnes	non_contaminant	0.6522079133195902	TRUE	2343901	23439.01	53787.68130565242	TRUE	TRUE	SMT029_T1_Tw
298774	462737	Staphylococcus_capitis	non_contaminant	14.55720656612485	TRUE	2343901	23439.01	197421.73410907714	TRUE	TRUE	SMT029_T1_Tw
183712	466863	Staphylococcus_epidermidis	non_contaminant	8.95102496427376	TRUE	2343901	23439.01	199182.04736462847	TRUE	TRUE	SMT029_T1_Tw
177406	399053	Staphylococcus_hominis	non_contaminant	8.643776861674526	TRUE	2343901	23439.01	170251.64458737808	TRUE	TRUE	SMT029_T1_Tw
94235	333132	Staphylococcus_haemolyticus	non_contaminant	4.591424825315372	TRUE	2343901	23439.01	142127.16322063093	TRUE	TRUE	SMT029_T1_Tw
16138	171119	Staphylococcus_caprae	non_contaminant	0.7862939866391413	TRUE	2343901	23439.01	73006.06979560998	TRUE	TRUE	SMT029_T1_Tw
95916	438092	Moraxella_osloensis	non_contaminant	4.673328418792904	TRUE	2343901	23439.01	186907.21152471885	TRUE	TRUE	SMT029_T1_Tw
32372	377798	Malassezia_globosa	non_contaminant	1.5772653944405925	TRUE	2343901	23439.01	161183.42882229242	TRUE	TRUE	SMT029_T1_Tw
9827	95686	Malassezia_restricta	non_contaminant	0.4788022683543712	TRUE	2343901	23439.01	40823.39655130486	TRUE	TRUE	SMT029_T1_Tw
