paired_counts	distinct_minimizer_count	k2_taxon	source	rel_abun	abun_filter	species_microbial_read_pair_total	minimizer_threshold	minimizer_microbe_ratio	minimizer_filter	taxa_pass_filter	mtx_LIBID
678275	641880	Staphylococcus_capitis	non_contaminant	42.554319457131676	TRUE	1762927	17629.27	364099.02395277855	TRUE	TRUE	SMT030_T3_Ch
331155	623810	Staphylococcus_epidermidis	non_contaminant	20.77634537588211	TRUE	1762927	17629.27	353849.0249454459	TRUE	TRUE	SMT030_T3_Ch
3813	48188	Staphylococcus_saccharolyticus	non_contaminant	0.23922394322368223	TRUE	1762927	17629.27	27334.08700416977	TRUE	TRUE	SMT030_T3_Ch
3761	51965	Staphylococcus_hominis	non_contaminant	0.2359615133659242	TRUE	1762927	17629.27	29476.546674933223	TRUE	TRUE	SMT030_T3_Ch
258793	283341	Corynebacterium_kefirresidentii	non_contaminant	16.23642327266887	TRUE	1762927	17629.27	160721.91304574723	TRUE	TRUE	SMT030_T3_Ch
65804	267083	Corynebacterium_bovis	non_contaminant	4.12847950692137	TRUE	1762927	17629.27	151499.75013145752	TRUE	TRUE	SMT030_T3_Ch
15440	46912	Corynebacterium_tuberculostearicum	non_contaminant	0.9686907116112389	TRUE	1762927	17629.27	26610.2907267289	TRUE	TRUE	SMT030_T3_Ch
215180	583399	Cutibacterium_acnes	non_contaminant	13.50018570754575	TRUE	1762927	17629.27	330926.35145981656	TRUE	TRUE	SMT030_T3_Ch
5120	62140	Moraxella_osloensis	non_contaminant	0.3212238629177165	TRUE	1762927	17629.27	35248.19802521602	TRUE	TRUE	SMT030_T3_Ch
13026	190797	Malassezia_globosa	non_contaminant	0.8172386793683937	TRUE	1762927	17629.27	108227.39682357806	TRUE	TRUE	SMT030_T3_Ch
3537	42596	Malassezia_restricta	non_contaminant	0.2219079693632741	TRUE	1762927	17629.27	24162.089524977495	TRUE	TRUE	SMT030_T3_Ch
