paired_counts	distinct_minimizer_count	k2_taxon	source	rel_abun	abun_filter	species_microbial_read_pair_total	minimizer_threshold	minimizer_microbe_ratio	minimizer_filter	taxa_pass_filter	mtx_LIBID
4706075	730549	Cutibacterium_acnes	non_contaminant	76.8562380107976	TRUE	6123218	61232.17999999999	119308.01745095472	TRUE	TRUE	MHS415
38445	175497	Cutibacterium_granulosum	non_contaminant	0.6278561370834748	TRUE	6123218	61232.17999999999	28660.90999863144	TRUE	TRUE	MHS415
4256	15361	Cutibacterium_avidum	non_contaminant	0.06950593625769978	FALSE	6123218	61232.17999999999	2508.648230391275	FALSE	FALSE	MHS415
2351	12986	Cutibacterium_modestum	non_contaminant	0.038394844018292344	FALSE	6123218	61232.17999999999	2120.7802825246463	FALSE	FALSE	MHS415
44	216	Propionibacterium_freudenreichii	non_contaminant	7.185764086792271e-4	FALSE	6123218	61232.17999999999	35.27556915334388	FALSE	FALSE	MHS415
10	169	Propionibacterium_acidifaciens	non_contaminant	1.633128201543698e-4	FALSE	6123218	61232.17999999999	27.5998666060885	FALSE	FALSE	MHS415
6	171	Propionibacterium_australiense	non_contaminant	9.79876920926219e-5	FALSE	6123218	61232.17999999999	27.92649224639724	FALSE	FALSE	MHS415
16	661	Acidipropionibacterium_acidipropionici	non_contaminant	2.613005122469917e-4	FALSE	6123218	61232.17999999999	107.94977412203845	FALSE	FALSE	MHS415
15	919	Acidipropionibacterium_jensenii	non_contaminant	2.4496923023155473e-4	FALSE	6123218	61232.17999999999	150.08448172186587	FALSE	FALSE	MHS415
5	468	Acidipropionibacterium_virtanenii	non_contaminant	8.16564100771849e-5	FALSE	6123218	61232.17999999999	76.43039983224507	FALSE	FALSE	MHS415
14	95	Microlunatus_soli	non_contaminant	2.2863794821611773e-4	FALSE	6123218	61232.17999999999	15.514717914665132	FALSE	FALSE	MHS415
12	84	Microlunatus_sp._KUDC0627	non_contaminant	1.959753841852438e-4	FALSE	6123218	61232.17999999999	13.718276892967065	FALSE	FALSE	MHS415
1	100	Microlunatus_sp._Gsoil_973	non_contaminant	1.633128201543698e-5	FALSE	6123218	61232.17999999999	16.331282015436983	FALSE	FALSE	MHS415
8	73	Microlunatus_phosphovorus	non_contaminant	1.3065025612349584e-4	FALSE	6123218	61232.17999999999	11.921835871268996	FALSE	FALSE	MHS415
