35.31	2411164	0	0	unclassified
20.38	1391897	72477185	1213851	 Vibrio vulnificus
0.04	2580	29937	1979	 Vibrio parahaemolyticus
0.01	641	7540	551	 Vibrio campbellii
0.01	581	3244	311	 Vibrio alginolyticus
0.01	358	5161	415	 Vibrio harveyi
0.00	279	2980	223	 Vibrio owensii
0.00	182	1034	124	 Vibrio natriegens
0.00	85	506	63	 Vibrio jasicida
0.00	28	524	156	 Vibrio diabolicus
0.00	24	451	218	 Vibrio rotiferianus
0.00	3	199	167	 Vibrio azureus
0.03	2023	93236	2131	 Vibrio navarrensis
0.01	907	13451	642	 Vibrio anguillarum
0.00	128	946	168	 Vibrio sp. HDW18
0.00	126	1352	53	 Vibrio sp. dhg
0.00	63	290	42	 Vibrio sp. B1ASS3
0.00	57	912	211	 Vibrio sp. B1FLJ16
0.00	12	141	73	 Vibrio sp. B1REV9
0.00	11	435	184	 Vibrio sp. OG9-811
0.00	8	447	137	 Vibrio sp. THAF190c
0.00	7	15	11	 Vibrio sp. THAF191c
0.00	6	43	37	 Vibrio sp. B1FIG11
0.00	5	830	99	 Vibrio sp. SM1977
0.00	4	7	5	 Vibrio sp. THAF191d
0.00	3	36	27	 Vibrio sp. SCSIO 43132
0.01	349	3860	186	 Vibrio tubiashii
0.00	6	161	127	 Vibrio europaeus
0.01	356	8610	314	 Vibrio alfacsensis
0.00	331	2870	656	 Vibrio cholerae
0.00	140	2589	472	 Vibrio fluvialis
0.00	84	803	368	 Vibrio furnissii
0.00	46	540	208	 Vibrio taketomensis
0.00	42	379	136	 Vibrio metschnikovii
0.00	28	190	110	 Vibrio zhugei
0.00	27	418	197	 Vibrio metoecus
0.00	25	215	156	 Vibrio penaeicida
0.00	23	1126	427	 Vibrio mimicus
0.00	22	469	241	 Vibrio coralliilyticus
0.00	21	1306	325	 Vibrio cidicii
0.00	19	218	139	 Vibrio aquimaris
0.00	19	321	114	 Vibrio casei
0.00	15	368	166	 Vibrio tapetis
0.00	15	616	185	 Vibrio cincinnatiensis
0.00	13	250	146	 Vibrio tritonius
0.00	12	399	178	 Vibrio mediterranei
0.00	10	572	179	 Vibrio rumoiensis
0.00	10	543	144	 Vibrio neptunius
0.00	10	249	155	 Vibrio astriarenae
0.00	9	60	39	 Vibrio crassostreae
0.00	8	280	107	 Vibrio breoganii
0.00	8	248	168	 Vibrio panuliri
0.00	8	280	104	 Vibrio kanaloae
0.00	7	282	84	 Vibrio qinghaiensis
0.00	6	26	22	 Vibrio paracholerae
0.00	6	410	226	 Vibrio scophthalmi
0.00	6	107	76	 Vibrio gazogenes
0.00	5	162	66	 Vibrio hyugaensis
0.00	5	219	122	 Vibrio nigripulchritudo
0.00	4	221	167	 Vibrio ponticus
0.00	3	211	104	 Vibrio chagasii
0.00	3	90	71	 Vibrio cyclitrophicus
0.00	3	240	68	 Vibrio bathopelagicus
0.00	2	95	79	 Vibrio aphrogenes
0.00	2	150	64	 Vibrio spartinae
0.00	2	14	14	 Vibrio neocaledonicus
0.00	2	109	52	 Vibrio atlanticus
0.00	2	356	146	 Vibrio ziniensis
0.00	35	480	207	 Photobacterium damselae
0.00	9	112	90	 Photobacterium profundum
0.00	3	257	108	 Photobacterium gaetbulicola
0.00	2	130	88	 Photobacterium sp. GJ3
0.00	33	194	46	 Paraphotobacterium marinum
0.00	16	134	82	 Aliivibrio salmonicida
0.00	15	284	165	 Aliivibrio fischeri
0.00	6	73	53	 Salinivibrio kushneri
0.00	3	220	34	 Salinivibrio costicola
0.00	1	10	9	 Salinivibrio sp. YCSC6
0.00	16	314	143	 Grimontia hollisae
0.00	4	76	37	 Candidatus Enterovibrio luxaltus
0.00	1	108	86	 Thaumasiovibrio subtropicus
5.78	394547	21585223	867101	 Plesiomonas shigelloides
0.52	35729	969802	321093	 Klebsiella aerogenes
0.10	7074	16347	4358	 Klebsiella pneumoniae
0.01	622	5230	2554	 Klebsiella quasipneumoniae
0.01	374	7265	47	 Klebsiella grimontii
0.00	205	1962	899	 Klebsiella variicola
0.00	78	921	425	 Klebsiella oxytoca
0.00	74	663	354	 Klebsiella quasivariicola
0.00	69	529	319	 Klebsiella michiganensis
0.00	4	16	12	 Klebsiella sp. BDA134-6
0.00	4	181	77	 Klebsiella sp. STW0522-44
0.00	3	5	2	 Klebsiella sp. CTHL.F3a
0.00	2	13	5	 Klebsiella sp. WP3-W18-ESBL-02
0.00	1	2	2	 Klebsiella sp. PL-2018
0.00	1	5	5	 Klebsiella sp. LY
0.00	1	74	72	 Klebsiella sp. WP3-S18-ESBL-05
0.00	1	11	11	 Klebsiella sp. WP4-W18-ESBL-05
0.00	14	94	46	 Klebsiella huaxiensis
0.00	9	51	24	 Klebsiella africana
0.02	1116	9974	4993	 Enterobacter roggenkampii
0.01	821	18401	9174	 Enterobacter cloacae
0.00	269	2344	1138	 Enterobacter kobei
0.00	230	2005	1034	 Enterobacter asburiae
0.00	137	1674	748	 Enterobacter hormaechei
0.00	50	436	221	 Enterobacter sichuanensis
0.00	29	239	114	 Enterobacter cancerogenus
0.00	10	102	45	 Enterobacter cloacae complex sp.
0.00	5	37	22	 Enterobacter cloacae complex sp. ECNIH7
0.00	4	14	5	 Enterobacter sp. BIDMC 29
0.00	2	10	3	 Enterobacter cloacae complex sp. ECL352
0.00	1	9	6	 Enterobacter sp. BIDMC100
0.00	1	6	4	 Enterobacter cloacae complex sp. FDA-CDC-AR_0164
0.00	21	77	39	 Enterobacter chuandaensis
0.00	12	72	35	 Enterobacter chengduensis
0.00	4	58	33	 Enterobacter ludwigii
0.00	51	462	294	 Enterobacter sp. JBIWA005
0.00	22	227	110	 Enterobacter sp. RHBSTW-00175
0.00	19	109	61	 Enterobacter sp. N18-03635
0.00	15	186	67	 Enterobacter sp. JBIWA003
0.00	13	95	46	 Enterobacter sp. C2
0.00	12	66	48	 Enterobacter sp. ODB01
0.00	9	103	34	 Enterobacter sp. 638
0.00	9	114	60	 Enterobacter sp. JBIWA008
0.00	8	24	13	 Enterobacter sp. 18A13
0.00	6	120	37	 Enterobacter sp. RHBSTW-00994
0.00	6	50	29	 Enterobacter sp. RHB15-C17
0.00	6	151	75	 Enterobacter sp. JUb54
0.00	5	58	33	 Enterobacter sp. E76
0.00	5	80	50	 Enterobacter sp. SGAir0187
0.00	4	23	14	 Enterobacter sp. Colony194
0.00	4	19	6	 Enterobacter sp. LU1
0.00	3	38	23	 Enterobacter sp. SES19
0.00	3	62	33	 Enterobacter sp. DNB-S2
0.00	3	110	47	 Enterobacter sp. YSU
0.00	2	12	8	 Enterobacter sp. R4-368
0.00	2	19	13	 Enterobacter sp. E20
0.00	1	18	12	 Enterobacter sp. HK169
0.00	1	3	2	 Enterobacter sp. RHBSTW-00422
0.00	1	21	11	 Enterobacter sp. RHBSTW-00975
0.00	1	2	1	 Enterobacter sp. DSM 30060
0.00	51	677	388	 Enterobacter soli
0.00	8	71	38	 Enterobacter mori
0.00	7	136	75	 Enterobacter bugandensis
0.00	2	63	47	 Enterobacter oligotrophicus
0.05	3662	45192	2116	 Escherichia coli
0.00	21	281	120	 Escherichia fergusonii
0.00	6	191	102	 Escherichia albertii
0.00	2	59	32	 Escherichia marmotae
0.00	1	61	21	 Escherichia sp. E4742
0.00	302	2342	1143	 Salmonella enterica
0.00	13	97	59	 Salmonella bongori
0.00	1	4	3	 Salmonella sp. SSDFZ54
0.00	1	1	1	 Salmonella sp. SJTUF14523
0.00	1	11	10	 Salmonella sp. SJTUF14178
0.00	75	800	368	 Citrobacter freundii
0.00	14	239	73	 Citrobacter portucalensis
0.00	1	7	3	 Citrobacter sp. BIDMC108
0.00	1	22	13	 Citrobacter freundii complex sp. CFNIH2
0.00	1	1	1	 Citrobacter freundii complex sp. CFNIH4
0.00	2	25	17	 Citrobacter braakii
0.00	2	40	11	 Citrobacter youngae
0.00	35	299	159	 Citrobacter sp. BDA59-3
0.00	6	8	3	 Citrobacter sp. RHB35-C17
0.00	4	64	40	 Citrobacter sp. RHB25-C09
0.00	4	12	4	 Citrobacter sp. RHBSTW-00976
0.00	4	147	75	 Citrobacter sp. CRE-46
0.00	2	2	1	 Citrobacter sp. RHBSTW-00667
