2.57	183274	0	0	unclassified
74.67	5328810	281317573	940050	 Cutibacterium acnes
0.23	16499	549875	253663	 Cutibacterium granulosum
0.10	7009	361013	233096	 Cutibacterium modestum
0.01	959	34109	19525	 Cutibacterium avidum
0.01	499	22267	17940	 Arachnia rubra
0.00	75	2646	2276	 Arachnia propionica
0.00	15	248	147	 Tessaracoccus timonensis
0.00	5	145	87	 Tessaracoccus sp. MC1865
0.00	4	161	113	 Tessaracoccus sp. J1M15
0.00	6	148	97	 Tessaracoccus aquimaris
0.00	3	145	99	 Tessaracoccus flavescens
0.00	2	150	97	 Tessaracoccus flavus
0.00	1	136	89	 Tessaracoccus defluvii
0.00	23	335	211	 Propionibacterium freudenreichii
0.00	15	283	200	 Propionibacterium acidifaciens
0.00	7	274	168	 Propionibacterium australiense
0.00	20	1131	731	 Acidipropionibacterium acidipropionici
0.00	17	1163	785	 Acidipropionibacterium jensenii
0.00	4	714	511	 Acidipropionibacterium virtanenii
0.00	34	539	392	 Propionimicrobium sp. Marseille-P3275
0.00	8	122	77	 Microlunatus sp. KUDC0627
0.00	1	78	57	 Microlunatus sp. Gsoil 973
0.00	7	143	88	 Microlunatus phosphovorus
0.00	5	112	80	 Microlunatus soli
0.00	2	86	63	 Microlunatus sagamiharensis
0.00	14	114	81	 Brevilactibacter sp. MC1595
0.00	4	210	126	 Brevilactibacter coleopterorum
0.00	6	175	100	 Raineyella sp. CBA3103
0.00	2	89	70	 Auraticoccus monumenti
0.00	6	47	23	 Nocardioides sp. MC1495
0.00	4	54	38	 Nocardioides sp. 603
0.00	4	49	32	 Nocardioides sp. S-1144
0.00	4	31	20	 Nocardioides sp. CF8
0.00	4	37	29	 Nocardioides sp. ZJ1313
0.00	4	52	37	 Nocardioides sp. LMS-CY
0.00	2	76	43	 Nocardioides sp. HY056
0.00	1	46	33	 Nocardioides sp. S5
0.00	1	57	37	 Nocardioides sp. G188
0.00	1	47	27	 Nocardioides sp. dk3136
0.00	1	46	31	 Nocardioides sp. JQ2195
0.00	1	47	29	 Nocardioides sp. zg-579
0.00	6	69	31	 Nocardioides baekrokdamisoli
0.00	5	50	28	 Nocardioides daphniae
0.00	5	48	23	 Nocardioides piscis
0.00	5	40	30	 Nocardioides mesophilus
0.00	3	144	97	 Nocardioides rotundus
0.00	3	70	38	 Nocardioides cynanchi
0.00	2	59	36	 Nocardioides sambongensis
0.00	1	33	27	 Nocardioides dongkuii
0.00	1	41	31	 Nocardioides aquaticus
0.00	1	47	34	 Nocardioides anomalus
0.00	1	53	38	 Nocardioides euryhalodurans
0.00	1	68	43	 Nocardioides humi
0.00	1	45	36	 Nocardioides aromaticivorans
0.00	6	40	27	 Aeromicrobium chenweiae
0.00	4	51	32	 Aeromicrobium sp. zg-629
0.00	3	66	33	 Aeromicrobium erythreum
0.00	3	58	39	 Aeromicrobium choanae
0.00	2	38	29	 Aeromicrobium marinum
0.00	12	143	90	 Micropruina glycogenica
0.00	8	229	56	 Mumia sp. ZJ1417
0.00	6	117	72	 Friedmanniella luteola
0.00	4	76	40	 Marmoricola scoriae
0.00	1	54	46	 Pimelobacter simplex
0.00	6	82	55	 Kribbella flavida
0.00	1	38	22	 Kribbella qitaiheensis
0.00	6	116	52	 Actinopolymorpha singaporensis
1.47	104806	3774472	447311	 Corynebacterium kefirresidentii
0.12	8707	239769	69326	 Corynebacterium tuberculostearicum
0.03	1972	86270	68161	 Corynebacterium kroppenstedtii
0.02	1170	21533	14934	 Corynebacterium segmentosum
0.01	1058	39758	31151	 Corynebacterium genitalium
0.01	972	37548	30415	 Corynebacterium bovis
0.01	928	35900	28245	 Corynebacterium matruchotii
0.01	682	10296	2869	 Corynebacterium striatum
0.01	638	16326	2516	 Corynebacterium diphtheriae
0.01	514	19587	3602	 Corynebacterium minutissimum
0.01	478	15102	11988	 Corynebacterium glaucum
0.01	417	8336	3707	 Corynebacterium macginleyi
0.00	149	1168	750	 Corynebacterium sp. zg-917
0.00	76	1090	742	 Corynebacterium sp. NML98-0116
0.00	50	1025	460	 Corynebacterium sp. FDAARGOS 1242
0.00	29	675	392	 Corynebacterium sp. 1959
0.00	20	216	88	 Corynebacterium sp. 2039
0.00	17	121	60	 Corynebacterium sp. zg-320
0.00	10	211	89	 Corynebacterium sp. 2019
0.00	10	108	38	 Corynebacterium sp. 4H37-19
0.00	10	82	25	 Corynebacterium sp. 1864
0.00	7	61	19	 Corynebacterium sp. NML93-0612
0.00	3	14	3	 Corynebacterium sp. L2-79-05
0.00	2	75	25	 Corynebacterium sp. sy039
0.00	313	4128	1245	 Corynebacterium aurimucosum
0.00	312	4757	1455	 Corynebacterium simulans
0.00	291	4518	3461	 Corynebacterium jeikeium
0.00	222	3090	2482	 Corynebacterium ureicelerivorans
0.00	187	2770	1377	 Corynebacterium singulare
0.00	164	3295	2155	 Corynebacterium glucuronolyticum
0.00	162	1251	878	 Corynebacterium imitans
0.00	132	1244	629	 Corynebacterium coyleae
0.00	63	731	328	 Corynebacterium riegelii
0.00	57	895	263	 Corynebacterium flavescens
0.00	52	1132	333	 Corynebacterium camporealensis
0.00	51	395	149	 Corynebacterium resistens
0.00	44	512	198	 Corynebacterium mycetoides
0.00	42	459	178	 Corynebacterium propinquum
0.00	40	331	184	 Corynebacterium urealyticum
0.00	39	664	263	 Corynebacterium incognita
0.00	37	332	117	 Corynebacterium efficiens
0.00	36	363	203	 Corynebacterium timonense
0.00	33	353	249	 Corynebacterium amycolatum
0.00	33	388	218	 Corynebacterium vitaeruminis
0.00	33	639	204	 Corynebacterium endometrii
0.00	33	454	128	 Corynebacterium callunae
0.00	27	244	129	 Corynebacterium freneyi
0.00	27	417	121	 Corynebacterium casei
0.00	26	292	124	 Corynebacterium yudongzhengii
0.00	23	244	135	 Corynebacterium liangguodongii
0.00	23	218	105	 Corynebacterium cystitidis
0.00	23	242	150	 Corynebacterium qintianiae
0.00	22	745	205	 Corynebacterium lizhenjunii
0.00	22	224	76	 Corynebacterium ulcerans
0.00	21	417	122	 Corynebacterium ammoniagenes
0.00	21	170	67	 Corynebacterium pseudopelargi
0.00	20	245	149	 Corynebacterium falsenii
0.00	20	205	99	 Corynebacterium atypicum
0.00	20	205	116	 Corynebacterium frankenforstense
0.00	20	131	74	 Corynebacterium argentoratense
0.00	19	172	87	 Corynebacterium urogenitale
0.00	19	225	104	 Corynebacterium maris
0.00	18	197	106	 Corynebacterium xerosis
0.00	17	167	75	 Corynebacterium deserti
0.00	17	243	103	 Corynebacterium aquilae
0.00	16	431	173	 Corynebacterium phocae
0.00	16	180	97	 Corynebacterium humireducens
0.00	15	98	34	 Corynebacterium kutscheri
0.00	15	730	69	 Corynebacterium choanae
0.00	15	201	67	 Corynebacterium lactis
0.00	15	259	104	 Corynebacterium uterequi
0.00	15	253	162	 Corynebacterium sanguinis
0.00	14	217	80	 Corynebacterium pelargi
0.00	13	337	123	 Corynebacterium testudinoris
0.00	13	176	69	 Corynebacterium pseudotuberculosis
0.00	12	174	78	 Corynebacterium variabile
0.00	12	128	65	 Corynebacterium silvaticum
0.00	12	221	98	 Corynebacterium renale
0.00	11	230	94	 Corynebacterium marinum
0.00	10	127	41	 Corynebacterium anserum
0.00	10	228	87	 Corynebacterium epidermidicanis
0.00	10	159	59	 Corynebacterium glutamicum
0.00	10	150	66	 Corynebacterium nuruki
0.00	8	187	101	 Corynebacterium doosanense
0.00	8	572	134	 Corynebacterium stationis
0.00	8	202	80	 Corynebacterium halotolerans
0.00	7	200	75	 Corynebacterium gerontici
0.00	7	111	58	 Corynebacterium provencense
0.00	7	171	47	 Corynebacterium crudilactis
0.00	7	121	39	 Corynebacterium rouxii
0.00	7	66	42	 Corynebacterium terpenotabidum
0.00	6	95	54	 Corynebacterium glyciniphilum
0.00	6	145	48	 Corynebacterium mustelae
0.00	4	108	41	 Corynebacterium suranareeae
0.00	3	66	44	 Corynebacterium sphenisci
0.02	1459	8662	3385	 Lawsonella clevelandensis
0.00	9	56	34	 Mycobacterium sp. MS1601
0.00	8	49	25	 Mycobacterium sp. YC-RL4
0.00	7	16	4	 Mycobacterium sp. PYR15
0.00	5	25	14	 Mycobacterium sp. TY59
0.00	4	36	27	 Mycobacterium sp. EPa45
0.00	4	41	16	 Mycobacterium sp. DL440
0.00	3	68	26	 Mycobacterium sp. DL592
0.00	2	42	22	 Mycobacterium sp. JS623
0.00	2	33	15	 Mycobacterium sp. ELW1
0.00	12	53	26	 Mycobacterium shigaense
0.00	6	50	28	 Mycobacterium parmense
0.00	4	40	14	 Mycobacterium stomatepiae
0.00	2	74	31	 Mycobacterium simiae
0.00	2	41	25	 Mycobacterium kubicae
0.00	2	26	16	 Mycobacterium florentinum
0.00	1	19	15	 Mycobacterium heidelbergense
