10.81	630104	0	0	unclassified
48.53	2829955	98308058	1432215	 Malassezia restricta
8.45	492622	19260278	1312868	 Malassezia dermatis
0.72	42168	1983122	520953	 Malassezia globosa
0.32	18851	846235	71497	 Malassezia arunalokei
0.13	7824	118636	6843	 Malassezia caprae
0.06	3275	68513	7718	 Malassezia sympodialis
0.05	3130	57846	2809	 Malassezia nana
0.04	2141	49754	3001	 Malassezia equina
0.03	1808	51708	20391	 Malassezia japonica
0.02	1332	57903	21812	 Malassezia furfur
0.02	911	15530	2574	 Malassezia pachydermatis
0.01	857	10298	1516	 Malassezia cuniculi
0.01	292	6709	561	 Malassezia yamatoensis
0.00	212	5332	1887	 Malassezia slooffiae
0.00	198	11660	4451	 Malassezia obtusa
0.00	170	5883	886	 Malassezia vespertilionis
0.00	48	4148	625	 Sporisorium graminicola
0.00	26	1605	435	 Ustilago maydis
0.01	380	2604	461	 Marasmius oreades
0.00	153	4798	2102	 Rhizoctonia solani
0.00	40	1228	210	 Cryptococcus neoformans
0.00	8	213	96	 Cryptococcus gattii VGI
0.00	48	275	130	 Fusarium venenatum
0.00	22	269	70	 Fusarium graminearum
0.00	17	183	64	 Fusarium pseudograminearum
0.00	42	436	89	 Fusarium fujikuroi
0.00	25	243	124	 Fusarium verticillioides
0.00	25	315	89	 Fusarium oxysporum
0.00	160	1047	480	 Ustilaginoidea virens
0.00	83	586	246	 Pochonia chlamydosporia
0.00	119	1341	351	 Drechmeria coniospora
0.00	139	2443	451	 Colletotrichum higginsianum
0.00	125	831	336	 Thermothelomyces thermophilus
0.00	100	4178	392	 Thermothielavioides terrestris
0.00	149	5427	433	 Neurospora crassa
0.00	91	515	213	 Pyricularia pennisetigena
0.00	55	560	152	 Pyricularia grisea
0.00	44	1008	182	 Pyricularia oryzae
0.00	48	590	202	 Botrytis cinerea
0.00	240	2120	526	 Aspergillus chevalieri
0.00	219	1398	445	 Aspergillus luchuensis
0.00	104	538	117	 Aspergillus oryzae
0.00	4	37	10	 Aspergillus flavus
0.00	156	1983	873	 Aspergillus fumigatus
0.00	77	1991	449	 Aspergillus puulaauensis
0.00	39	1588	236	 Talaromyces rugulosus
0.00	183	1827	516	 Cercospora beticola
0.00	111	2218	383	 Zymoseptoria tritici
0.02	891	9095	526	 [Candida] auris
0.00	74	1533	33	 Tetrapisispora phaffii
0.00	5	46	21	 Tetrapisispora blattae
0.00	27	120	32	 Naumovozyma dairenensis
0.00	25	122	26	 Naumovozyma castellii
0.00	15	699	103	 Eremothecium gossypii
0.00	9	100	39	 Eremothecium cymbalariae
0.00	8	52	30	 Eremothecium sinecaudum
0.00	22	751	400	 Kluyveromyces marxianus
0.00	5	131	26	 Kluyveromyces lactis
0.00	17	491	177	 Saccharomyces cerevisiae
0.00	5	45	24	 Saccharomyces paradoxus
0.00	4	114	28	 Saccharomyces eubayanus
0.00	12	73	30	 Kazachstania africana
0.00	5	135	55	 Kazachstania naganishii
0.00	10	134	67	 Torulaspora globosa
0.00	3	83	33	 Torulaspora delbrueckii
0.00	9	91	56	 [Candida] glabrata
0.00	8	163	35	 Zygosaccharomyces rouxii
0.00	7	532	88	 Lachancea thermotolerans
0.00	4	64	36	 Zygotorulaspora mrakii
0.00	80	1088	535	 Candida orthopsilosis
0.00	28	218	46	 Candida albicans
0.00	7	83	34	 Candida dubliniensis
0.00	13	236	65	 Scheffersomyces stipitis
0.00	10	170	82	 Debaryomyces hansenii
0.00	24	979	172	 Pichia kudriavzevii
0.00	6	67	39	 Brettanomyces nanus
0.00	5	52	29	 Brettanomyces bruxellensis
0.00	11	329	109	 Ogataea parapolymorpha
0.00	26	1019	191	 Yarrowia lipolytica
0.00	12	676	125	 Sugiyamaella lignohabitans
0.00	4	106	55	 Komagataella phaffii
0.00	8	3461	121	 Schizosaccharomyces pombe
0.00	3	14	4	 Encephalitozoon cuniculi
0.00	3	16	6	 Encephalitozoon hellem
0.10	5682	137918	67636	 Homo sapiens
9.59	559378	16687478	637960	 Cutibacterium acnes
1.15	67275	975536	23209	 Cutibacterium avidum
1.01	58909	548679	21335	 Cutibacterium modestum
0.45	26271	798740	96885	 Cutibacterium granulosum
0.01	458	12729	564	 Acidipropionibacterium jensenii
0.01	379	9423	505	 Acidipropionibacterium acidipropionici
0.00	216	6694	333	 Acidipropionibacterium virtanenii
0.00	183	3151	323	 Tessaracoccus timonensis
0.00	163	1885	77	 Tessaracoccus aquimaris
0.00	81	1424	82	 Tessaracoccus sp. MC1865
0.00	27	1340	106	 Tessaracoccus sp. J1M15
0.00	40	1061	212	 Tessaracoccus flavescens
0.00	37	2999	96	 Tessaracoccus defluvii
0.00	12	1915	104	 Tessaracoccus flavus
0.00	175	1104	105	 Microlunatus phosphovorus
0.00	67	1266	103	 Microlunatus sp. Gsoil 973
0.00	41	450	65	 Microlunatus sp. KUDC0627
0.00	82	759	74	 Microlunatus soli
0.00	71	1061	200	 Microlunatus sagamiharensis
0.00	182	4583	157	 Propionibacterium acidifaciens
0.00	145	2732	231	 Propionibacterium freudenreichii
0.00	62	1487	133	 Propionibacterium australiense
0.00	146	1511	111	 Brevilactibacter coleopterorum
0.00	117	1361	106	 Brevilactibacter sp. MC1595
0.00	234	2180	67	 Propionimicrobium sp. Marseille-P3275
0.00	98	2432	144	 Arachnia propionica
0.00	25	1262	257	 Arachnia rubra
0.00	33	655	127	 Auraticoccus monumenti
0.00	26	2252	127	 Raineyella sp. CBA3103
0.00	61	711	59	 Nocardioides sp. JQ2195
0.00	56	393	58	 Nocardioides sp. HDW12B
0.00	54	607	44	 Nocardioides sp. CF8
0.00	40	320	76	 Nocardioides sp. S-1144
0.00	20	132	60	 Nocardioides sp. S5
0.00	18	92	52	 Nocardioides sp. zg-536
0.00	17	755	38	 Nocardioides sp. dk3136
0.00	15	101	54	 Nocardioides sp. JS614
0.00	15	162	61	 Nocardioides sp. SCSIO 67246
0.00	12	191	83	 Nocardioides sp. zg-579
0.00	11	99	58	 Nocardioides sp. LMS-CY
0.00	11	212	62	 Nocardioides sp. G188
0.00	7	117	44	 Nocardioides sp. MC1495
