7.57	233032	unclassified
19.11	588266	 Staphylococcus warneri
11.62	357761	 Staphylococcus haemolyticus
0.63	19306	 Staphylococcus pasteuri
0.61	18643	 Staphylococcus hominis
0.59	18283	 Staphylococcus caprae
0.32	9942	 Staphylococcus sp. M0911
0.11	3382	 Staphylococcus sp. SB1-57
0.05	1674	 Staphylococcus sp. 17KM0847
0.01	449	 Staphylococcus sp. MI 10-1553
0.01	276	 Staphylococcus sp. AntiMn-1
0.01	247	 Staphylococcus sp. 11-B-312
0.01	158	 Staphylococcus sp. CDC25
0.00	2	 Staphylococcus sp. MZ8
0.00	2	 Staphylococcus sp. MZ9
0.00	1	 Staphylococcus sp. MZ7
0.49	14960	 Staphylococcus epidermidis
0.47	14575	 Staphylococcus aureus
0.38	11608	 Staphylococcus lugdunensis
0.34	10405	 Staphylococcus capitis
0.34	10319	 Staphylococcus cohnii
0.26	7949	 Staphylococcus simiae
0.18	5480	 Staphylococcus saccharolyticus
0.17	5125	 Staphylococcus saprophyticus
0.11	3370	 Staphylococcus muscae
0.10	3184	 Staphylococcus simulans
0.10	2942	 Staphylococcus pettenkoferi
0.09	2837	 Staphylococcus lloydii
0.09	2724	 Staphylococcus arlettae
0.07	2184	 Staphylococcus pseudoxylosus
0.07	2054	 Staphylococcus succinus
0.07	2038	 Staphylococcus auricularis
0.06	1912	 Staphylococcus nepalensis
0.06	1855	 Staphylococcus xylosus
0.05	1613	 Staphylococcus chromogenes
0.02	677	 Staphylococcus pseudintermedius
0.02	507	 Staphylococcus delphini
0.05	1498	 Staphylococcus debuckii
0.05	1461	 Staphylococcus carnosus
0.05	1419	 Staphylococcus kloosii
0.04	1246	 Staphylococcus condimenti
0.04	1211	 Staphylococcus schweitzeri
0.04	1104	 Staphylococcus lutrae
0.04	1097	 Staphylococcus felis
0.03	923	 Staphylococcus equorum
0.02	713	 Staphylococcus hyicus
0.02	712	 Staphylococcus agnetis
0.02	559	 Staphylococcus schleiferi
0.02	548	 Staphylococcus argenteus
0.04	1139	 Mammaliicoccus sciuri
0.01	316	 Mammaliicoccus vitulinus
0.01	238	 Mammaliicoccus lentus
0.01	216	 Mammaliicoccus stepanovicii
0.01	203	 Mammaliicoccus fleurettii
0.00	105	 Macrococcus caseolyticus
0.00	101	 Macrococcus canis
0.00	1	 Macrococcus sp. JEK37
0.00	1	 Macrococcus sp. 17Msa1131
0.00	7	 Macrococcus bohemicus
0.00	131	 Jeotgalicoccus sp. ATCC 8456
0.00	18	 Jeotgalicoccus sp. WY2
0.00	6	 Jeotgalicoccus saudimassiliensis
0.00	58	 Abyssicoccus albus
0.00	16	 Nosocomiicoccus ampullae
0.00	15	 Salinicoccus halodurans
0.00	89	 Bacillus mycoides
0.00	63	 Bacillus cereus
0.00	34	 Bacillus pseudomycoides
0.00	7	 Bacillus thuringiensis
0.00	3	 Bacillus cytotoxicus
0.00	3	 Bacillus luti
0.00	2	 Bacillus paranthracis
0.00	1	 Bacillus nitratireducens
0.00	68	 Bacillus sp. DSL-17
0.00	42	 Bacillus sp. M4U3P1
0.00	39	 Bacillus sp. NSP9.1
0.00	20	 Bacillus sp. HD4P25
0.00	13	 Bacillus sp. THAF10
0.00	11	 Bacillus sp. Y1
0.00	10	 Bacillus sp. FJAT-22090
0.00	9	 Bacillus sp. FJAT-45348
0.00	8	 Bacillus sp. OxB-1
0.00	6	 Bacillus sp. 7D3
0.00	5	 Bacillus sp. BY2G20
0.00	3	 Bacillus sp. NP247
0.00	2	 Bacillus sp. KH172YL63
0.00	1	 Bacillus sp. N1-1
0.00	1	 Bacillus sp. N3536
0.00	1	 Bacillus sp. FJAT-18017
0.00	1	 Bacillus sp. CRB-7
0.00	1	 Bacillus sp. SB49
0.00	1	 Bacillus sp. 1NLA3E
0.00	1	 Bacillus sp. JNUCC-24
0.00	1	 Bacillus sp. NP157
0.00	54	 Bacillus haikouensis
0.00	44	 Bacillus fonticola
0.00	5	 Bacillus amyloliquefaciens
0.00	2	 Bacillus velezensis
0.00	5	 Bacillus paralicheniformis
0.00	2	 Bacillus halotolerans
0.00	1	 Bacillus subtilis
0.00	1	 Bacillus tequilensis
0.00	29	 Bacillus aquiflavi
0.00	20	 Bacillus pumilus
0.00	16	 Bacillus dafuensis
0.00	8	 Bacillus gobiensis
0.00	6	 Bacillus glycinifermentans
0.00	4	 Bacillus methanolicus
0.00	2	 Bacillus weihaiensis
0.00	1	 [Brevibacterium] frigoritolerans
0.00	1	 Bacillus badius
0.00	1	 Bacillus beveridgei
0.00	48	 Lysinibacillus sp. 2017
0.00	23	 Lysinibacillus sp. SGAir0095
0.00	8	 Lysinibacillus sp. YS11
0.00	74	 Lysinibacillus agricola
0.00	64	 Lysinibacillus timonensis
0.00	27	 Lysinibacillus fusiformis
0.00	20	 Lysinibacillus parviboronicapiens
0.00	17	 Lysinibacillus sphaericus
0.00	2	 Lysinibacillus capsici
0.00	61	 Virgibacillus dokdonensis
0.00	5	 Virgibacillus sp. SK37
