2.87	287	0	0	unclassified
50.27	5027	203391	109401	 Staphylococcus hominis
6.63	663	27280	21227	 Staphylococcus epidermidis
2.91	291	11310	8883	 Staphylococcus haemolyticus
0.06	6	42	35	 Staphylococcus sp. SB1-57
0.03	3	89	72	 Staphylococcus sp. M0911
0.16	16	389	272	 Staphylococcus aureus
0.08	8	116	55	 Staphylococcus warneri
0.06	6	103	23	 Staphylococcus simulans
0.04	4	31	24	 Staphylococcus pseudoxylosus
0.03	3	39	38	 Staphylococcus lugdunensis
0.02	2	51	29	 Staphylococcus capitis
0.02	2	13	9	 Staphylococcus saprophyticus
0.01	1	27	11	 Staphylococcus pettenkoferi
0.01	1	5	3	 Staphylococcus equorum
0.01	1	6	5	 Staphylococcus condimenti
0.01	1	8	6	 Staphylococcus succinus
0.01	1	2	2	 Staphylococcus argenteus
0.01	1	17	14	 Staphylococcus pasteuri
0.01	1	20	14	 Staphylococcus caprae
0.01	1	27	10	 Staphylococcus auricularis
0.01	1	7	7	 Staphylococcus schleiferi
0.01	1	3	3	 Staphylococcus muscae
0.01	1	7	7	 Staphylococcus xylosus
0.04	4	99	24	 Mammaliicoccus sciuri
0.02	2	10	7	 Mammaliicoccus vitulinus
7.63	763	21182	15339	 Listeria monocytogenes
0.03	3	8	8	 Listeria grayi
0.02	2	5	4	 Listeria seeligeri
0.02	2	2	2	 Listeria sp. PSOL-1
0.01	1	6	5	 Listeria ivanovii
0.01	1	1	1	 Listeria weihenstephanensis
0.01	1	3	3	 Gemella haemolysans
0.05	5	61	46	 Streptococcus salivarius
0.01	1	10	7	 Streptococcus pneumoniae
0.01	1	54	54	 Granulicatella adiacens
0.01	1	8	4	 Anaerococcus prevotii
3.09	309	7692	5373	 Corynebacterium tuberculostearicum
0.04	4	97	79	 Corynebacterium kefirresidentii
0.02	2	19	17	 Corynebacterium aurimucosum
0.02	2	20	9	 Corynebacterium singulare
0.02	2	12	3	 Corynebacterium glucuronolyticum
0.01	1	5	5	 Corynebacterium camporealensis
0.01	1	5	4	 Corynebacterium incognita
0.01	1	63	43	 Corynebacterium endometrii
0.01	1	3	3	 Corynebacterium ammoniagenes
0.01	1	28	20	 Corynebacterium simulans
0.01	1	49	33	 Corynebacterium striatum
0.01	1	25	25	 Corynebacterium macginleyi
0.01	1	2	2	 Corynebacterium flavescens
0.01	1	2	1	 Nocardia terpenica
0.02	2	58	55	 Micrococcus luteus
0.02	2	52	38	 Rothia mucilaginosa
0.01	1	2	1	 Frondihabitans sp. 762G35
0.03	3	51	45	 Actinomyces naeslundii
0.01	1	1	1	 Actinomyces wuliandei
0.02	2	63	63	 Cutibacterium acnes
0.01	1	3	2	 Micromonospora krabiensis
0.01	1	21	14	 Olsenella sp. oral taxon 807
0.06	6	134	92	 Deinococcus wulumuqiensis
0.01	1	16	16	 Deinococcus radiodurans
11.50	1150	48638	33158	 Plesiomonas shigelloides
0.09	9	14	1	 Klebsiella pneumoniae
0.02	2	17	3	 Klebsiella grimontii
0.02	2	4	1	 Edwardsiella piscicida
6.68	668	21953	13732	 Vibrio vulnificus
0.01	1	2	1	 Vibrio paracholerae
0.01	1	5	5	 Vibrio parahaemolyticus
0.01	1	6	3	 Vibrio tritonius
0.01	1	11	7	 Vibrio ziniensis
0.60	60	2420	1827	 Moraxella osloensis
0.11	11	47	2	 Pseudomonas tolaasii
0.01	1	13	7	 Pseudomonas putida
0.04	4	90	82	 Paracoccus sanguinis
0.01	1	7	7	 Paracoccus yeei
0.01	1	2	2	 Paracoccus zhejiangensis
0.01	1	2	1	 Devosia sp. SCS-3
0.01	1	2	1	 Sinorhizobium sp. CCBAU 05631
0.01	1	1	1	 Bosea sp. RAC05
0.02	2	30	16	 Brevundimonas sp. DS20
0.01	1	4	4	 Caulobacter segnis
0.01	1	5	5	 Sphingobium yanoikuyae
0.01	1	1	1	 Melaminivora sp. SC2-9
0.01	1	2	1	 Flavobacterium indicum
0.01	1	26	13	 Myroides odoratimimus
0.01	1	15	9	 Chryseobacterium sp. POL2
0.01	1	2	1	 Tautonia plasticadhaerens
0.07	7	137	107	 Malassezia globosa
0.01	1	27	21	 Malassezia restricta
0.01	1	42	21	 Malassezia arunalokei
0.01	1	2	1	 Botrytis cinerea
0.01	1	17	14	 Homo sapiens
0.01	1	24	23	 Listeria phage A500
0.01	1	14	13	 Staphylococcus phage StB12
