2.83	28297	0	0	unclassified
50.60	505954	20578532	533813	 Staphylococcus hominis
6.80	67982	2891311	404126	 Staphylococcus epidermidis
2.87	28697	1115796	283267	 Staphylococcus haemolyticus
0.06	617	5695	2968	 Staphylococcus sp. M0911
0.02	226	2448	804	 Staphylococcus sp. SB1-57
0.00	38	1766	207	 Staphylococcus sp. 17KM0847
0.00	13	171	138	 Staphylococcus sp. 11-B-312
0.00	5	184	66	 Staphylococcus sp. MI 10-1553
0.00	3	13	10	 Staphylococcus sp. AntiMn-1
0.00	1	1	1	 Staphylococcus sp. CDC25
0.12	1215	22485	2476	 Staphylococcus aureus
0.09	869	11032	3816	 Staphylococcus warneri
0.03	349	9348	671	 Staphylococcus simulans
0.03	300	885	102	 Staphylococcus schleiferi
0.03	257	7986	2117	 Staphylococcus capitis
0.02	212	2654	580	 Staphylococcus saprophyticus
0.02	209	2982	274	 Staphylococcus pseudoxylosus
0.02	201	3769	1111	 Staphylococcus pasteuri
0.02	169	3338	958	 Staphylococcus lugdunensis
0.01	140	2764	713	 Staphylococcus cohnii
0.01	128	1571	412	 Staphylococcus xylosus
0.01	113	1747	592	 Staphylococcus arlettae
0.01	104	3003	925	 Staphylococcus caprae
0.01	95	1780	212	 Staphylococcus debuckii
0.01	92	4000	893	 Staphylococcus saccharolyticus
0.01	79	2845	349	 Staphylococcus pettenkoferi
0.00	44	762	148	 Staphylococcus pseudintermedius
0.00	22	383	86	 Staphylococcus delphini
0.01	64	2879	503	 Staphylococcus auricularis
0.01	60	717	238	 Staphylococcus equorum
0.01	54	1642	302	 Staphylococcus nepalensis
0.00	31	2248	627	 Staphylococcus simiae
0.00	30	626	211	 Staphylococcus muscae
0.00	25	612	289	 Staphylococcus lloydii
0.00	22	686	193	 Staphylococcus felis
0.00	22	280	112	 Staphylococcus condimenti
0.00	21	365	157	 Staphylococcus agnetis
0.00	18	1015	128	 Staphylococcus schweitzeri
0.00	15	706	243	 Staphylococcus succinus
0.00	13	700	163	 Staphylococcus carnosus
0.00	12	293	174	 Staphylococcus lutrae
0.00	8	488	172	 Staphylococcus chromogenes
0.00	7	91	55	 Staphylococcus argenteus
0.00	4	215	111	 Staphylococcus hyicus
0.00	3	523	165	 Staphylococcus kloosii
0.03	284	6796	578	 Mammaliicoccus sciuri
0.00	16	522	150	 Mammaliicoccus vitulinus
0.00	4	945	112	 Mammaliicoccus stepanovicii
0.00	1	1787	113	 Mammaliicoccus lentus
0.00	9	768	79	 Macrococcus caseolyticus
0.00	3	37	31	 Macrococcus bohemicus
0.00	1	429	81	 Macrococcus canis
0.00	1	35	13	 Macrococcus sp. 17Msa1131
0.00	2	410	116	 Jeotgalicoccus sp. ATCC 8456
0.00	1	51	32	 Jeotgalicoccus sp. WY2
0.00	1	289	40	 Salinicoccus halodurans
0.00	1	251	77	 Nosocomiicoccus ampullae
7.77	77711	2184529	303192	 Listeria monocytogenes
0.02	169	1308	675	 Listeria ivanovii
0.01	133	360	206	 Listeria grayi
0.01	128	282	153	 Listeria sp. PSOL-1
0.01	112	1176	722	 Listeria innocua
0.01	108	1073	481	 Listeria seeligeri
0.01	104	229	161	 Listeria weihenstephanensis
0.01	67	1142	670	 Listeria welshimeri
0.01	54	1154	878	 Gemella haemolysans
0.00	26	746	607	 Gemella sanguinis
0.00	6	175	162	 Gemella morbillorum
0.00	5	60	48	 Exiguobacterium sp. AT1b
0.00	1	12	7	 Exiguobacterium sp. PFWT01
0.00	5	11	5	 Exiguobacterium acetylicum
0.00	1	13	9	 Exiguobacterium antarcticum
0.00	1	73	42	 Exiguobacterium alkaliphilum
0.00	3	9	2	 Bacillus luti
0.00	4	29	7	 Bacillus siamensis
0.00	2	44	31	 Bacillus sp. Y1
0.00	1	42	29	 Bacillus sp. FJAT-42376
0.00	1	23	18	 Bacillus fonticola
0.00	1	31	14	 Bacillus infantis
0.00	1	59	18	 Bacillus gobiensis
0.00	1	26	17	 Lysinibacillus sphaericus
0.00	1	34	29	 Lysinibacillus fusiformis
0.00	2	3	2	 Priestia aryabhattai
0.00	1	283	58	 Priestia megaterium
0.00	2	78	43	 Caldibacillus thermoamylovorans
0.00	1	49	47	 Alkalihalobacillus pseudofirmus
0.00	1	170	35	 Alkalihalobacillus krulwichiae
0.00	1	166	13	 Virgibacillus halodenitrificans
0.00	1	58	14	 Virgibacillus sp. SK37
0.00	2	33	28	 Amphibacillus xylanus
0.00	1	15	11	 Peribacillus simplex
0.00	1	29	22	 Cytobacillus gottheilii
0.00	1	19	11	 Metabacillus sp. cB07
0.00	1	98	72	 Weizmannia coagulans
0.00	1	46	27	 Paraliobacillus zengyii
0.00	1	21	16	 Rossellomorea vietnamensis
0.00	1	98	37	 Oceanobacillus zhaokaii
0.00	3	12	7	 Paenibacillus sp. FSL R5-0912
0.00	1	4	3	 Paenibacillus sp. URB8-2
0.00	1	8	5	 Paenibacillus rhizovicinus
0.00	1	147	15	 Aneurinibacillus soli
0.00	1	15	14	 Planococcus versutus
0.00	1	34	23	 Sporosarcina pasteurii
0.00	1	85	59	 Sporosarcina ureae
0.00	2	57	20	 Viridibacillus sp. JNUCC-6
0.00	1	7	7	 Tumebacillus avium
0.05	509	7284	5462	 Streptococcus salivarius
0.00	34	479	419	 Streptococcus sp. oral taxon 061
0.00	18	216	161	 Streptococcus sp. FDAARGOS_192
0.00	14	107	79	 Streptococcus sp. HSISM1
0.00	14	206	166	 Streptococcus sp. LPB0220
0.00	13	181	68	 Streptococcus sp. oral taxon 431
0.00	13	190	152	 Streptococcus sp. A12
0.00	6	55	46	 Streptococcus sp. oral taxon 064
0.00	5	39	27	 Streptococcus sp. 1643
0.00	4	24	21	 Streptococcus sp. HSISS2
0.00	3	48	45	 Streptococcus sp. NPS 308
0.00	2	7	7	 Streptococcus sp. HSISS1
0.00	2	3	3	 Streptococcus sp. NSJ-72
0.00	2	51	48	 Streptococcus sp. 116-D4
0.00	1	8	6	 Streptococcus sp. HKU75
0.00	1	12	12	 Streptococcus sp. KS 6
0.00	1	16	15	 Streptococcus sp. HSISS3
0.01	131	4932	4171	 Streptococcus sanguinis
0.01	122	2179	1866	 Streptococcus oralis
0.01	54	165	11	 Streptococcus uberis
0.01	53	894	739	 Streptococcus mitis
0.00	29	748	611	 Streptococcus cristatus
0.00	20	463	339	 Streptococcus gordonii
0.00	18	242	193	 Streptococcus ilei
0.00	18	251	201	 Streptococcus pneumoniae
0.00	12	186	170	 Streptococcus parasanguinis
0.00	11	143	115	 Streptococcus thermophilus
0.00	9	115	90	 Streptococcus australis
0.00	8	67	51	 Streptococcus rubneri
0.00	4	74	54	 Streptococcus intermedius
0.00	2	17	16	 Streptococcus anginosus
0.00	1	11	8	 Streptococcus constellatus
0.00	6	54	47	 Streptococcus gwangjuense
0.00	5	32	25	 Streptococcus vestibularis
0.00	5	115	101	 Streptococcus mutans
0.00	5	72	60	 Streptococcus koreensis
0.00	5	40	36	 Streptococcus pseudopneumoniae
0.00	4	23	15	 Streptococcus gallolyticus
0.00	4	71	41	 Streptococcus suis
0.00	3	38	11	 Streptococcus pluranimalium
0.00	2	21	7	 Streptococcus ratti
0.00	2	52	49	 Streptococcus lactarius
0.00	1	9	8	 Streptococcus dysgalactiae
0.00	1	15	13	 Streptococcus equi
0.00	1	6	5	 Streptococcus chenjunshii
0.00	1	6	6	 Streptococcus respiraculi
0.00	1	24	14	 Streptococcus parasuis
0.00	1	36	17	 Streptococcus canis
0.00	1	20	16	 Streptococcus acidominimus
0.00	1	19	13	 Streptococcus equinus
0.00	1	15	8	 Streptococcus sobrinus
0.00	1	22	15	 Lactococcus lactis
0.00	2	23	16	 Lactobacillus johnsonii
0.00	1	15	10	 Lactobacillus paragasseri
0.00	1	6	5	 Lactobacillus crispatus
0.00	3	31	28	 Lacticaseibacillus paracasei
0.00	2	132	132	 Lacticaseibacillus rhamnosus
0.00	4	221	195	 Ligilactobacillus salivarius
0.00	2	6	4	 Ligilactobacillus animalis
0.00	3	172	170	 Limosilactobacillus fermentum
0.00	2	20	15	 Loigolactobacillus backii
0.00	2	25	16	 Pediococcus acidilactici
0.00	1	6	5	 Weissella viridescens
0.00	1	2	1	 Weissella ceti
0.00	2	69	7	 Levilactobacillus zymae
0.00	2	51	39	 Latilactobacillus curvatus
0.00	1	9	5	 Companilactobacillus farciminis
0.00	1	114	19	 Paucilactobacillus oligofermentans
0.00	1	14	9	 Leuconostoc pseudomesenteroides
0.00	1	60	18	 Lactiplantibacillus plantarum
0.00	3	58	31	 Enterococcus faecium
0.00	2	53	47	 Enterococcus cecorum
0.00	2	88	58	 Enterococcus avium
