3.54	35383	0	0	unclassified
72.03	720346	29286188	541192	 Staphylococcus hominis
9.70	96968	4112311	429536	 Staphylococcus epidermidis
4.07	40715	1576140	320096	 Staphylococcus haemolyticus
0.09	900	8621	3650	 Staphylococcus sp. M0911
0.03	324	3578	1347	 Staphylococcus sp. SB1-57
0.01	56	2555	260	 Staphylococcus sp. 17KM0847
0.00	12	226	76	 Staphylococcus sp. MI 10-1553
0.00	8	104	89	 Staphylococcus sp. 11-B-312
0.00	7	25	21	 Staphylococcus sp. AntiMn-1
0.00	1	1	1	 Staphylococcus sp. CDC25
0.16	1603	32385	2785	 Staphylococcus aureus
0.13	1288	16146	5776	 Staphylococcus warneri
0.04	420	13031	839	 Staphylococcus simulans
0.04	397	1293	164	 Staphylococcus schleiferi
0.03	308	5519	1519	 Staphylococcus pasteuri
0.03	303	10736	2277	 Staphylococcus capitis
0.03	302	3858	904	 Staphylococcus saprophyticus
0.03	266	3877	368	 Staphylococcus pseudoxylosus
0.02	225	4791	1283	 Staphylococcus lugdunensis
0.02	224	4243	1098	 Staphylococcus cohnii
0.02	164	2161	391	 Staphylococcus xylosus
0.01	140	3889	1039	 Staphylococcus caprae
0.01	129	5666	1082	 Staphylococcus saccharolyticus
0.01	111	2148	564	 Staphylococcus arlettae
0.01	80	1187	181	 Staphylococcus pseudintermedius
0.00	28	546	105	 Staphylococcus delphini
0.01	100	2442	234	 Staphylococcus debuckii
0.01	94	2472	408	 Staphylococcus nepalensis
0.01	88	4097	439	 Staphylococcus pettenkoferi
0.01	79	1054	292	 Staphylococcus equorum
0.01	59	2931	722	 Staphylococcus simiae
0.00	47	3510	396	 Staphylococcus auricularis
0.00	45	775	219	 Staphylococcus muscae
0.00	34	638	340	 Staphylococcus lloydii
0.00	31	355	151	 Staphylococcus condimenti
0.00	28	1311	149	 Staphylococcus schweitzeri
0.00	27	1023	336	 Staphylococcus succinus
0.00	27	984	248	 Staphylococcus felis
0.00	26	476	166	 Staphylococcus agnetis
0.00	24	447	219	 Staphylococcus lutrae
0.00	16	1032	241	 Staphylococcus carnosus
0.00	13	782	239	 Staphylococcus chromogenes
0.00	9	760	208	 Staphylococcus kloosii
0.00	8	117	70	 Staphylococcus argenteus
0.00	2	322	154	 Staphylococcus hyicus
0.04	400	9552	735	 Mammaliicoccus sciuri
0.00	18	681	204	 Mammaliicoccus vitulinus
0.00	3	1169	157	 Mammaliicoccus stepanovicii
0.00	1	263	79	 Mammaliicoccus fleurettii
0.00	10	1086	78	 Macrococcus caseolyticus
0.00	1	496	80	 Macrococcus canis
0.00	1	45	12	 Macrococcus sp. 17Msa1131
0.00	2	399	137	 Abyssicoccus albus
0.00	1	361	74	 Jeotgalicoccus sp. ATCC 8456
0.07	714	19262	13336	 Listeria monocytogenes
0.00	3	34	29	 Listeria seeligeri
0.00	3	35	19	 Listeria grayi
0.00	3	43	39	 Listeria innocua
0.00	2	45	21	 Listeria ivanovii
0.00	1	14	14	 Listeria welshimeri
0.00	1	24	15	 Listeria weihenstephanensis
0.00	1	29	25	 Listeria sp. PSOL-1
0.01	71	1390	1144	 Gemella haemolysans
0.00	38	1147	880	 Gemella sanguinis
0.00	11	323	299	 Gemella morbillorum
0.00	4	12	8	 Exiguobacterium acetylicum
0.00	3	11	4	 Bacillus luti
0.00	2	28	11	 Bacillus infantis
0.00	1	1	1	 Bacillus spizizenii
0.00	1	24	1	 Bacillus siamensis
0.00	1	41	23	 Anoxybacillus amylolyticus
0.00	6	42	23	 Lysinibacillus fusiformis
0.00	1	75	29	 Lysinibacillus sp. SGAir0095
0.00	3	192	16	 Virgibacillus halodenitrificans
0.00	2	26	12	 Alkalihalobacillus lehensis
0.00	2	42	23	 Paraliobacillus zengyii
0.00	1	28	23	 Anaerobacillus isosaccharinicus
0.00	1	99	60	 Priestia megaterium
0.00	1	14	8	 Metabacillus sp. cB07
0.00	1	122	31	 Oceanobacillus zhaokaii
0.00	1	35	27	 Hydrogenibacillus sp. N12
0.00	1	18	13	 Cytobacillus gottheilii
0.00	1	39	27	 Amphibacillus xylanus
0.00	3	15	11	 Paenibacillus polymyxa
0.00	1	19	6	 Paenibacillus cellulositrophicus
0.00	1	13	4	 Paenibacillus sp. FSL R5-0912
0.00	2	15	5	 Brevibacillus sp. SCSIO 07484
0.00	1	185	13	 Aneurinibacillus soli
0.00	2	63	25	 Viridibacillus sp. JNUCC-6
0.00	1	39	17	 Sporosarcina pasteurii
