mgx_LIBID	estimated_contaminant_read_pairs
MHS475	1244718
MHS474	22487
MHS473	44234
MHS477	139385
MHS476	1899735
MHS499	666507
MHS498	43016
MHS497	102197
MHS501	528796
MHS484	667939
MHS483	373733
MHS486	3048168
MHS485	1637704
MHS504	214151
MHS503	100658
MHS502	290789
MHS505	1236740
MHS508	376229
MHS507	296774
MHS448	2218841
MHS447	92055
MHS446	242730
MHS450	1675255
MHS449	3645176
MHS592	1358509
MHS513	32913
MHS452	4222595
MHS451	102274
MHS454	1372933
MHS453	5714017
MHS517	147849
MHS521	834181
MHS493	15444
MHS492	185850
MHS495	950252
MHS525	710002
MHS523	46479
MHS530	238871
MHS529	38854
MHS528	50357
MHS532	583199
MHS531	444357
MHS457	678130
MHS456	48844
MHS455	36076
MHS459	1104203
MHS458	1971126
MHS540	208111
MHS539	108882
MHS538	276561
MHS542	94788
MHS541	1169630
MHS480	1465800
MHS479	69030
MHS478	158992
MHS482	431018
MHS481	1545484
MHS544	25311
MHS543	226574
MHS547	191858
MHS546	587066
MHS461	19909
MHS460	150280
MHS462	1920644
MHS567	80546
MHS564	116437
MHS569	531598
MHS568	825689
MHS489	462228
MHS488	52652
MHS487	99771
MHS491	502374
MHS490	689962
MHS549	1409339
MHS553	866125
MHS551	2434391
MHS465	5875246
MHS464	435466
MHS463	224679
MHS467	346086
MHS466	5360091
MHS560	3514492
MHS469	762392
MHS471	25198
MHS468	61551
MHS472	1409281
MHS535	268259
MHS534	99217
MHS533	674807
MHS536	793327
MHS556	930306
MHS555	89248
MHS554	169910
MHS571	49331
MHS572	60229
MHS570	281953
MHS574	91160
MHS573	1262433
MHS576	1625181
MHS577	130387
MHS575	89767
MHS578	1374754
