species	freq	site_size	percent_detected_at_site	region	category_within_site
Corynebacterium_kefirresidentii	11	24	45.83333333333333	Sc	variable
Corynebacterium_segmentosum	5	24	20.833333333333336	Sc	variable
Corynebacterium_tuberculostearicum	8	24	33.33333333333333	Sc	variable
Cutibacterium_acnes	24	24	100	Sc	core
Cutibacterium_avidum	13	24	54.166666666666664	Sc	prevalent
Cutibacterium_granulosum	12	24	50	Sc	variable
Cutibacterium_modestum	17	24	70.83333333333334	Sc	prevalent
Dermacoccus_nishinomiyaensis	5	24	20.833333333333336	Sc	variable
Dermacoccus_sp._PAMC28757	6	24	25	Sc	variable
Gordonia_terrae	3	24	12.5	Sc	variable
Lawsonella_clevelandensis	5	24	20.833333333333336	Sc	variable
Malassezia_arunalokei	17	24	70.83333333333334	Sc	prevalent
Malassezia_dermatis	9	24	37.5	Sc	variable
Malassezia_furfur	6	24	25	Sc	variable
Malassezia_globosa	24	24	100	Sc	core
Malassezia_obtusa	3	24	12.5	Sc	variable
Malassezia_restricta	22	24	91.66666666666666	Sc	core
Malassezia_sympodialis	5	24	20.833333333333336	Sc	variable
Micrococcus_luteus	7	24	29.166666666666668	Sc	variable
Moraxella_osloensis	8	24	33.33333333333333	Sc	variable
Paracoccus_sp._MC1862	3	24	12.5	Sc	variable
Paracoccus_yeei	3	24	12.5	Sc	variable
Roseomonas_mucosa	3	24	12.5	Sc	variable
Skermanella_sp._TT6	3	24	12.5	Sc	variable
Staphylococcus_capitis	21	24	87.5	Sc	core
Staphylococcus_epidermidis	19	24	79.16666666666666	Sc	core
Staphylococcus_hominis	9	24	37.5	Sc	variable
Brevibacterium_casei	3	23	13.043478260869565	Ch	variable
Corynebacterium_bovis	3	23	13.043478260869565	Ch	variable
Corynebacterium_kefirresidentii	19	23	82.6086956521739	Ch	core
Corynebacterium_segmentosum	7	23	30.434782608695656	Ch	variable
Corynebacterium_tuberculostearicum	11	23	47.82608695652174	Ch	variable
Cutibacterium_acnes	23	23	100	Ch	core
Cutibacterium_avidum	7	23	30.434782608695656	Ch	variable
Cutibacterium_granulosum	19	23	82.6086956521739	Ch	core
Cutibacterium_modestum	14	23	60.86956521739131	Ch	prevalent
Dermacoccus_nishinomiyaensis	4	23	17.391304347826086	Ch	variable
Dermacoccus_sp._PAMC28757	4	23	17.391304347826086	Ch	variable
Finegoldia_magna	3	23	13.043478260869565	Ch	variable
Gordonia_terrae	4	23	17.391304347826086	Ch	variable
Klebsiella_aerogenes	3	23	13.043478260869565	Ch	variable
Lawsonella_clevelandensis	3	23	13.043478260869565	Ch	variable
Malassezia_arunalokei	16	23	69.56521739130434	Ch	prevalent
