name	taxonomy_id	taxonomy_lvl	kraken_assigned_reads	added_reads	new_est_reads	fraction_total_reads
Cutibacterium acnes	1747	S	1980752	57248	2038000	0.27602
Cutibacterium modestum	2559073	S	200	3	203	0.00003
Cutibacterium avidum	33010	S	47	0	47	0.00001
Cutibacterium granulosum	33011	S	11	0	11	0.00000
Tessaracoccus sp. J1M15	2829499	S	156	1	157	0.00002
Tessaracoccus aquimaris	1332264	S	43	1	44	0.00001
Auraticoccus monumenti	675864	S	82	0	82	0.00001
Acidipropionibacterium jensenii	1749	S	48	1	49	0.00001
Acidipropionibacterium acidipropionici	1748	S	10	0	10	0.00000
Microlunatus sagamiharensis	546874	S	26	0	26	0.00000
Propionibacterium freudenreichii	1744	S	14	4	18	0.00000
Raineyella sp. CBA3103	2662261	S	13	0	13	0.00000
Nocardioides sp. CF8	110319	S	47	0	47	0.00001
Nocardioides sp. WS12	2486272	S	15	0	15	0.00000
Nocardioides piscis	2714938	S	47	0	47	0.00001
Nocardioides rotundus	1774216	S	29	0	29	0.00000
Nocardioides marinisabuli	419476	S	21	0	21	0.00000
Pimelobacter simplex	2045	S	99	0	99	0.00001
Micropruina glycogenica	75385	S	39	0	39	0.00001
Actinopolymorpha singaporensis	117157	S	150	0	150	0.00002
Corynebacterium resistens	258224	S	1332421	67869	1400290	0.18965
Corynebacterium jeikeium	38289	S	11718	3010	14728	0.00199
Corynebacterium urogenitale	2487892	S	5293	47	5340	0.00072
Corynebacterium striatum	43770	S	4857	331	5188	0.00070
Corynebacterium glaucum	187491	S	3306	29	3335	0.00045
Corynebacterium aurimucosum	169292	S	2500	1828	4328	0.00059
Corynebacterium diphtheriae	1717	S	2067	229	2296	0.00031
Corynebacterium coyleae	53374	S	1773	40	1813	0.00025
Corynebacterium propinquum	43769	S	1026	10	1036	0.00014
Corynebacterium simulans	146827	S	930	86	1016	0.00014
Corynebacterium endometrii	2488819	S	837	7	844	0.00011
Corynebacterium timonense	441500	S	797	5	802	0.00011
Corynebacterium sp. FDAARGOS 1242	2778078	S	354	130	484	0.00007
Corynebacterium sp. zg-917	2763010	S	159	3	162	0.00002
Corynebacterium sp. zg-320	2768834	S	47	0	47	0.00001
Corynebacterium sp. 4H37-19	2684405	S	45	0	45	0.00001
Corynebacterium sp. 1959	2675216	S	29	0	29	0.00000
Corynebacterium sp. 2039	2675219	S	26	0	26	0.00000
Corynebacterium sp. NML93-0612	699041	S	16	9	25	0.00000
Corynebacterium amycolatum	43765	S	663	926	1589	0.00022
Corynebacterium urealyticum	43771	S	594	32	626	0.00008
Corynebacterium riegelii	156976	S	588	13	601	0.00008
Corynebacterium doosanense	1121358	S	547	13	560	0.00008
Corynebacterium imitans	156978	S	519	9	528	0.00007
Corynebacterium macginleyi	38290	S	512	5	517	0.00007
Corynebacterium falsenii	108486	S	495	8	503	0.00007
Corynebacterium kefirresidentii	1979527	S	459	34	493	0.00007
Corynebacterium atypicum	191610	S	351	5	356	0.00005
Corynebacterium callunae	1721	S	341	13	354	0.00005
Corynebacterium glutamicum	1718	S	340	1068	1408	0.00019
Corynebacterium anserum	2684406	S	264	1	265	0.00004
Corynebacterium yudongzhengii	2080740	S	242	1	243	0.00003
Corynebacterium tuberculostearicum	38304	S	217	10	227	0.00003
Corynebacterium kutscheri	35755	S	192	0	192	0.00003
Corynebacterium genitalium	38288	S	169	1	170	0.00002
Corynebacterium singulare	161899	S	151	8	159	0.00002
Corynebacterium silvaticum	2320431	S	145	4	149	0.00002
Corynebacterium minutissimum	38301	S	139	16	155	0.00002
Corynebacterium glucuronolyticum	39791	S	105	1	106	0.00001
Corynebacterium flavescens	28028	S	104	1	105	0.00001
Corynebacterium renale	1724	S	92	0	92	0.00001
Corynebacterium humireducens	1223514	S	85	0	85	0.00001
Corynebacterium pseudotuberculosis	1719	S	81	5	86	0.00001
Corynebacterium terpenotabidum	89154	S	77	1	78	0.00001
Corynebacterium incognita	2754725	S	74	0	74	0.00001
Corynebacterium vitaeruminis	38305	S	73	1	74	0.00001
Corynebacterium xerosis	1725	S	67	1	68	0.00001
Corynebacterium bovis	36808	S	65	0	65	0.00001
Corynebacterium marinum	349751	S	65	2	67	0.00001
