name	taxonomy_id	taxonomy_lvl	kraken_assigned_reads	added_reads	new_est_reads	fraction_total_reads
Pseudomonas aeruginosa	287	S	1887468	2843075	4730543	0.54045
Pseudomonas mendocina	300	S	258	7	265	0.00003
Pseudomonas nitroreducens	46680	S	108	21	129	0.00001
Pseudomonas multiresinivorans	95301	S	96	23	119	0.00001
Pseudomonas alcaligenes	43263	S	144	3	147	0.00002
Pseudomonas resinovorans	53412	S	134	5	139	0.00002
Pseudomonas furukawaii	1149133	S	94	1	95	0.00001
Pseudomonas oleovorans	301	S	22	10	32	0.00000
Pseudomonas citronellolis	53408	S	97	21	118	0.00001
Pseudomonas sp. PDNC002	2811422	S	347	39	386	0.00004
Pseudomonas sp. ATCC 13867	1294143	S	231	33	264	0.00003
Pseudomonas sp. FDAARGOS_761	2545800	S	185	1370	1555	0.00018
Pseudomonas sp. SCB32	2653853	S	165	17	182	0.00002
Pseudomonas sp. CC6-YY-74	1930532	S	163	1	164	0.00002
Pseudomonas sp. K2W31S-8	2320867	S	157	3	160	0.00002
Pseudomonas sp. TCU-HL1	1856685	S	113	4	117	0.00001
Pseudomonas sp. DY-1	1755504	S	87	3	90	0.00001
Pseudomonas sp. ABC1	2748080	S	66	1	67	0.00001
Pseudomonas sp. LPB0260	2614442	S	66	1	67	0.00001
Pseudomonas sp. CMR5c	658630	S	59	10	69	0.00001
Pseudomonas sp. MSPm1	2726956	S	55	4	59	0.00001
Pseudomonas sp. SNU WT1	2518644	S	54	6	60	0.00001
Pseudomonas sp. TUM18999	2725477	S	54	160	214	0.00002
Pseudomonas sp. B11D7D	2735906	S	51	3	54	0.00001
Pseudomonas sp. StFLB209	1028989	S	51	0	51	0.00001
Pseudomonas sp. MTM4	2705472	S	50	2	52	0.00001
Pseudomonas sp. RC3H12	2834406	S	47	39	86	0.00001
Pseudomonas sp. S11A 273	2866277	S	45	2	47	0.00001
Pseudomonas sp. p1(2021b)	2874628	S	45	19	64	0.00001
Pseudomonas sp. Ost2	2678260	S	42	2	44	0.00001
Pseudomonas sp. 7SR1	1881017	S	41	2	43	0.00000
Pseudomonas sp. 2hn	2866626	S	41	37	78	0.00001
Pseudomonas sp. S-6-2	1931241	S	40	0	40	0.00000
Pseudomonas sp. DG56-2	2320270	S	39	1	40	0.00000
Pseudomonas sp. HLS-6	2049589	S	39	2	41	0.00000
Pseudomonas sp. ADPe	2774873	S	38	21	59	0.00001
Pseudomonas sp. DNDY-54	2870860	S	38	1	39	0.00000
