0.79	127195	0	0	unclassified
75.32	12120471	104698017	216544	 Escherichia coli
0.05	7405	47425	6678	 Escherichia albertii
0.02	3729	16059	4316	 Escherichia marmotae
0.02	3607	13202	5043	 Escherichia fergusonii
0.01	1709	6284	2824	 Escherichia sp. E4742
0.00	10	57	51	 Escherichia sp. SCLE84
0.00	2	5	1	 Escherichia sp. TM-G17TGC
0.00	1	2	2	 Escherichia sp. TC-EC600-tetX4
0.27	42670	293851	28219	 Klebsiella quasipneumoniae
0.04	6306	61100	4836	 Klebsiella pneumoniae
0.01	1076	6639	751	 Klebsiella variicola
0.00	647	1542	675	 Klebsiella aerogenes
0.00	549	1489	656	 Klebsiella oxytoca
0.00	475	1141	506	 Klebsiella michiganensis
0.00	46	156	53	 Klebsiella sp. STW0522-44
0.00	23	53	37	 Klebsiella sp. A52
0.00	19	23	1	 Klebsiella sp. WP3-S18-ESBL-05
0.00	15	60	53	 Klebsiella sp. LY
0.00	14	32	15	 Klebsiella sp. WP8-S18-ESBL-06
0.00	12	20	9	 Klebsiella sp. BDA134-6
0.00	11	23	8	 Klebsiella sp. CTHL.F3a
0.00	5	9	3	 Klebsiella sp. LTGPAF-6F
0.00	2	8	8	 Klebsiella sp. P1CD1
0.00	2	5	5	 Klebsiella sp. MPUS7
0.00	1	9	6	 Klebsiella sp. PL-2018
0.00	1	3	2	 Klebsiella sp. P1954
0.00	195	528	379	 Klebsiella quasivariicola
0.00	162	465	300	 Klebsiella africana
0.00	124	299	183	 Klebsiella huaxiensis
0.00	113	632	110	 Klebsiella grimontii
0.23	37262	82636	247	 Enterobacter roggenkampii
0.03	4104	25051	1762	 Enterobacter hormaechei
0.00	625	1878	1067	 Enterobacter cloacae
0.00	289	850	342	 Enterobacter cancerogenus
0.00	279	2918	329	 Enterobacter asburiae
0.00	231	587	316	 Enterobacter kobei
0.00	115	279	140	 Enterobacter ludwigii
0.00	58	667	91	 Enterobacter cloacae complex sp.
0.00	35	218	77	 Enterobacter sp. BIDMC100
0.00	11	72	38	 Enterobacter sp. BIDMC 29
0.00	3	10	7	 Enterobacter cloacae complex sp. ECNIH7
0.00	1	5	5	 Enterobacter cloacae complex sp. FDA-CDC-AR_0132
0.00	1	2	2	 Enterobacter cloacae complex sp. ECL78
0.00	52	156	107	 Enterobacter chengduensis
0.00	38	131	91	 Enterobacter chuandaensis
0.00	31	115	50	 Enterobacter sichuanensis
0.00	627	959	277	 Enterobacter sp. SA187
0.00	269	2660	54	 Enterobacter sp. Colony194
0.00	217	765	344	 Enterobacter sp. JUb54
0.00	200	477	268	 Enterobacter sp. RHBSTW-00994
0.00	155	404	223	 Enterobacter sp. E76
0.00	141	479	203	 Enterobacter sp. C2
0.00	111	313	187	 Enterobacter sp. 638
0.00	71	222	126	 Enterobacter sp. RHBSTW-00175
0.00	42	90	12	 Enterobacter sp. 18A13
0.00	37	97	19	 Enterobacter sp. N18-03635
0.00	29	111	61	 Enterobacter sp. JBIWA008
0.00	29	75	59	 Enterobacter sp. R4-368
0.00	24	63	47	 Enterobacter sp. RHB15-C17
0.00	24	63	37	 Enterobacter sp. SGAir0187
0.00	20	60	17	 Enterobacter sp. YSU
0.00	19	56	31	 Enterobacter sp. JBIWA003
0.00	18	61	23	 Enterobacter sp. JBIWA005
0.00	16	39	25	 Enterobacter sp. SES19
0.00	8	15	10	 Enterobacter sp. E20
0.00	6	18	9	 Enterobacter sp. DNB-S2
0.00	5	112	6	 Enterobacter sp. Crenshaw
0.00	4	11	6	 Enterobacter sp. HK169
0.00	3	8	8	 Enterobacter sp. RHBSTW-00422
0.00	3	7	6	 Enterobacter sp. RHBSTW-00975
0.00	2	7	5	 Enterobacter sp. DSM 30060
0.00	2	7	4	 Enterobacter sp. ODB01
0.00	1	8	8	 Enterobacter sp. LU1
0.00	156	426	199	 Enterobacter oligotrophicus
0.00	95	246	118	 Enterobacter bugandensis
0.00	58	168	101	 Enterobacter soli
0.00	30	104	64	 Enterobacter mori
0.03	5172	34545	1216	 Citrobacter freundii
0.00	291	1028	52	 Citrobacter youngae
0.00	151	439	131	 Citrobacter werkmanii
0.00	129	410	131	 Citrobacter portucalensis
0.00	59	195	77	 Citrobacter freundii complex sp. CFNIH2
0.00	10	44	24	 Citrobacter freundii complex sp. CFNIH9
0.00	6	28	11	 Citrobacter sp. MGH103
0.00	3	14	6	 Citrobacter sp. BIDMC107
0.00	1	1	1	 Citrobacter sp. ABFQG
0.00	58	170	82	 Citrobacter braakii
0.00	38	103	59	 Citrobacter sedlakii
0.00	368	980	549	 Citrobacter sp. RHB25-C09
0.00	295	855	548	 Citrobacter sp. R56
0.00	70	168	14	 Citrobacter sp. Colony219
0.00	70	163	11	 Citrobacter sp. TSA-1
0.00	60	324	8	 Citrobacter sp. RHBSTW-01044
0.00	57	166	71	 Citrobacter sp. BDA59-3
0.00	22	67	35	 Citrobacter sp. FDAARGOS_156
0.00	18	53	38	 Citrobacter sp. MGH 55
0.00	15	69	9	 Citrobacter sp. RHBSTW-00986
0.00	13	23	11	 Citrobacter sp. RHBSTW-00881
0.00	13	28	14	 Citrobacter sp. RHB35-C21
0.00	10	19	15	 Citrobacter sp. RHB35-C17
0.00	9	19	8	 Citrobacter sp. B72
0.00	8	17	11	 Citrobacter sp. RHBSTW-00524
0.00	8	32	20	 Citrobacter sp. CFNIH10
0.00	7	18	14	 Citrobacter sp. LUTT5
0.00	7	23	10	 Citrobacter sp. Colony322
0.00	5	20	16	 Citrobacter sp. CRE-46
0.00	5	26	9	 Citrobacter sp. RHBSTW-00887
0.00	5	25	4	 Citrobacter sp. CF971
0.00	4	12	11	 Citrobacter sp. 172116965
0.00	4	9	1	 Citrobacter sp. RHBSTW-00535
0.00	4	18	10	 Citrobacter sp. RHB36-C18
0.00	3	8	6	 Citrobacter sp. RHBSTW-00570
0.00	2	52	13	 Citrobacter sp. TBCP-5362
0.00	2	2	1	 Citrobacter sp. RHBSTW-00678
0.00	2	22	9	 Citrobacter sp. RHBSTW-00599
0.00	2	4	1	 Citrobacter sp. RHB20-C15
0.00	1	5	5	 Citrobacter sp. Colony475
0.00	1	2	2	 Citrobacter sp. RHBSTW-00696
0.00	1	9	8	 Citrobacter sp. RHBSTW-01013
0.00	1	1	1	 Citrobacter sp. RHBSTW-00127
0.00	1	5	1	 Citrobacter sp. RHBSTW-00424
0.00	1	12	5	 Citrobacter sp. Y3
0.00	1	3	3	 Citrobacter sp. RHBSTW-00017
0.00	1	1	1	 Citrobacter sp. RHBSTW-00053
0.00	1	1	1	 Citrobacter sp. RHBSTW-00137
0.00	589	8736	400	 Citrobacter amalonaticus
0.00	501	1255	650	 Citrobacter rodentium
0.00	226	654	412	 Citrobacter farmeri
0.00	132	435	296	 Citrobacter tructae
0.00	125	402	237	 Citrobacter koseri
0.00	121	362	195	 Citrobacter telavivensis
0.00	110	610	136	 Citrobacter cronae
0.00	103	265	144	 Citrobacter arsenatis
0.00	99	280	177	 Citrobacter pasteurii
0.06	9574	45142	4640	 Salmonella enterica
0.00	435	1198	610	 Salmonella bongori
0.00	5	21	5	 Salmonella sp. A7
0.00	4	8	7	 Salmonella sp. SSDFZ54
0.00	3	6	5	 Salmonella sp. SSDFZ69
0.00	2	5	4	 Salmonella sp. SJTUF14152
0.00	2	4	4	 Salmonella sp. SJTUF14154
0.00	1	3	1	 Salmonella sp.
0.03	4242	5557	473	 [Enterobacter] lignolyticus
0.00	331	979	423	 Pluralibacter gergoviae
0.01	1362	1879	180	 Candidatus Symbiopectobacterium sp. SyEd1
