LIBID	annotated_unpaired	annotated_RPK
MHS371	11818765	16905767.057614107
MHS389	9469801	16431609.981126117
MHS388	5440787	9598444.967253294
MHS413	23163778	34991649.400938064
MHS412	4096899	6698110.750435209
MHS391	5011267	7943329.6538758855
MHS390	8450279	16309587.315255411
MHS349	7358124	10261575.741973907
MHS392	12270941	19936433.530112565
MHS341	468083	843393.4535742752
MHS381	4912973	10228759.592062818
MHS383	5979252	9097921.144602984
MHS382	1631872	2997798.1408504574
MHS350	10557482	14779316.421207597
MHS394	6258533	9454045.955467405
MHS393	8132045	11509350.042375198
MHS351	3532447	5485743.701508247
MHS396	8049112	12720565.10825584
MHS598	14381133	19767681.610737182
MHS380	6827189	9886559.318953438
MHS379	12327243	21350821.348928932
MHS378	10571055	17121844.99552358
MHS339	456069	860306.209177892
MHS338	796450	1677253.8921870836
MHS355	13383665	20841580.81969283
MHS398	7923590	13734067.11248567
MHS336	8023578	11706320.357720185
MHS376	6732615	10529660.03197698
MHS377	11556227	19914040.35722402
MHS337	1532905	2627734.6301406072
MHS357	3085193	5073795.119741075
MHS358	3246827	5543881.160782683
MHS411	6832476	13165314.396540722
MHS344	233070	624061.3605445715
MHS345	722682	1869641.6543258573
MHS419	5793199	12446025.363393134
MHS418	2247736	4322757.596477349
MHS423	5977375	8800515.642059335
MHS422	5446878	10050501.008373713
MHS421	5236694	8633919.509956695
MHS425	7232651	9874344.457469167
MHS424	8035754	12561042.957309635
MHS334	929188	1903708.1797308894
MHS374	890131	1726334.664570381
MHS333	5824195	8982891.01688677
MHS375	1655266	3180274.5278683463
MHS335	1050403	2067471.6570386565
MHS360	269053	721373.5405404908
MHS427	3909224	8075374.936403005
MHS426	3252734	6025160.547688803
MHS428	3094571	4837325.790517151
MHS361	495771	1158448.535375452
MHS408	10342379	14123127.53804062
MHS384	16688395	26419221.012156647
MHS407	9528455	15342353.060001967
MHS409	14675070	22014581.306583304
MHS342	1877986	3302523.2464693505
MHS433	4850993	9367585.604246397
MHS432	8164323	15333174.699940773
MHS434	4840243	8968642.42838872
MHS364	6504690	10858918.041627433
MHS331	8563944	13896136.051141325
MHS373	8667168	13138088.166117523
MHS332	7244038	12525268.373939518
MHS443	9957654	15627267.587060355
MHS442	4899852	8127029.322677118
MHS370	4888116	7510706.018834476
MHS369	8210740	12474561.73184995
MHS387	5344754	7445030.9742563255
MHS386	11704784	17670445.443997264
MHS385	1184820	2548536.3155654534
MHS410	3323205	5443008.532019965
MHS343	3506347	4057432.131474302
MHS435	3375490	6746706.214353178
MHS436	4199227	7165985.200569423
MHS365	561797	1266392.7256886242
MHS329	3636658	5283138.321799408
MHS328	2685473	4853504.750995531
MHS406	6917575	10801070.003705624
MHS372	13478214	20469742.41922913
MHS330	690728	1277742.4523485682
MHS405	4583758	6738864.104077877
MHS416	8159800	10745174.792517858
MHS415	10252149	18750904.71825951
MHS414	5999142	9040141.4827132
MHS347	3504758	5622093.5785826435
MHS362	3081951	5203679.014445189
MHS430	4345993	8852012.044035628
MHS429	5022677	8076162.018807888
MHS363	1618700	2950995.6383423237
MHS366	3744495	5612811.140829463
MHS438	5133730	7674003.284496841
MHS437	2907914	5198155.481796961
MHS441	1530065	2578700.414649286
MHS594	13605207	22067386.48572078
MHS440	8769044	13545234.53745521
MHS402	13511516	22788524.3664536
MHS368	4574049	7418701.943955438
MHS593	16226728	22925453.382412687
MHS439	5847200	9811360.284479357
MHS399	3130968	6745283.730770938
MHS367	4345013	6665147.8578842655
MHS583	12264468	18664219.6094541
MHS584	12204062	18574345.847816404
MHS585	8202590	14893382.100306036
MHS586	8807090	16047277.23515077
MHS587	5465441	7197367.37880406
MHS588	4945339	6519531.136411714
