normalized_position	All_Reads.normalized_coverage
0	0.841895
1	0.892838
2	0.94459
3	0.983191
4	1.021247
5	1.060371
6	1.089026
7	1.111405
8	1.132782
9	1.140306
10	1.150955
11	1.156245
12	1.149946
13	1.139163
14	1.138909
15	1.138587
16	1.142433
17	1.137245
18	1.129877
19	1.128518
20	1.118492
21	1.111736
22	1.117123
23	1.111899
24	1.104107
25	1.078041
26	1.063058
27	1.054217
28	1.053516
29	1.043229
30	1.027389
31	1.020674
32	1.01685
33	1.007277
34	1.002644
35	0.995781
36	0.986917
37	0.985154
38	0.983652
39	0.974727
40	0.971636
41	0.969404
42	0.965956
43	0.960765
44	0.954322
45	0.951822
46	0.95097
47	0.947094
48	0.949731
49	0.950941
50	0.952635
51	0.956082
52	0.958998
53	0.958177
54	0.962706
55	0.962372
56	0.960336
57	0.961428
58	0.962134
59	0.958715
60	0.967401
61	0.983428
62	0.981459
63	0.970792
64	0.946729
65	0.939183
66	0.939471
67	0.939274
68	0.942816
69	0.945424
70	0.946449
71	0.944685
72	0.941236
73	0.941021
74	0.946794
75	0.943462
76	0.946027
77	0.945796
78	0.941475
79	0.934013
80	0.940447
81	0.950082
82	0.959916
83	0.968218
84	0.97445
85	0.979765
86	0.97847
87	0.988773
88	0.993074
89	0.990098
90	0.993028
91	0.989692
92	0.980444
93	0.976677
94	0.968524
95	0.958154
96	0.953612
97	0.945119
98	0.930896
99	0.919297
100	0.908691
