normalized_position	All_Reads.normalized_coverage
0	0.815195
1	0.836661
2	0.859127
3	0.877022
4	0.893219
5	0.907575
6	0.913359
7	0.92083
8	0.932941
9	0.941438
10	0.950432
11	0.957546
12	0.965992
13	0.970674
14	0.971272
15	0.97144
16	0.962726
17	0.957554
18	0.955459
19	0.966606
20	0.971145
21	0.96785
22	0.972394
23	0.982272
24	0.990276
25	0.996479
26	1.000236
27	1.001701
28	1.003675
29	1.001567
30	1.001101
31	1.015949
32	1.029437
33	1.036032
34	1.022121
35	1.018645
36	1.014112
37	1.01552
38	1.02175
39	1.029027
40	1.033269
41	1.034445
42	1.03194
43	1.035633
44	1.04086
45	1.045553
46	1.042665
47	1.035195
48	1.032333
49	1.03182
50	1.037639
51	1.042599
52	1.044709
53	1.045475
54	1.047601
55	1.04311
56	1.039717
57	1.039393
58	1.040728
59	1.045737
60	1.051513
61	1.052845
62	1.058532
63	1.063589
64	1.055895
65	1.050478
66	1.04391
67	1.041602
68	1.040701
69	1.032777
70	1.029926
71	1.023189
72	1.013288
73	1.005601
74	1.004458
75	1.007887
76	1.003687
77	0.996014
78	0.99519
79	0.994574
80	1.001629
81	1.002912
82	1.004628
83	1.008619
84	1.012149
85	1.001869
86	0.992561
87	0.98479
88	0.983323
89	0.976759
90	0.969071
91	0.964436
92	0.972515
93	0.975586
94	0.980738
95	0.987277
96	1.004411
97	1.01947
98	1.03124
99	1.039433
100	1.032044
