normalized_position	All_Reads.normalized_coverage
0	0.158472
1	0.297221
2	0.425379
3	0.539166
4	0.650514
5	0.755909
6	0.85399
7	0.938681
8	1.009673
9	1.079302
10	1.148889
11	1.20289
12	1.243051
13	1.2635
14	1.279675
15	1.289647
16	1.301202
17	1.3117
18	1.31235
19	1.312447
20	1.309618
21	1.293273
22	1.279434
23	1.273016
24	1.262199
25	1.249154
26	1.223034
27	1.20415
28	1.185008
29	1.174921
30	1.163348
31	1.156944
32	1.151655
33	1.147191
34	1.1345
35	1.115941
36	1.095365
37	1.08599
38	1.080548
39	1.07751
40	1.071259
41	1.059959
42	1.052741
43	1.0494
44	1.042283
45	1.042056
46	1.045714
47	1.052087
48	1.057268
49	1.053717
50	1.054178
51	1.051468
52	1.049718
53	1.049843
54	1.047989
55	1.048244
56	1.048725
57	1.048228
58	1.042165
59	1.037112
60	1.038489
61	1.044906
62	1.042654
63	1.036715
64	1.031802
65	1.023246
66	1.015165
67	1.01092
68	1.012383
69	1.014535
70	1.00887
71	1.000541
72	0.994282
73	0.993643
74	0.995728
75	0.997543
76	0.998869
77	0.996857
78	0.997957
79	0.999188
80	1.000843
81	1.003667
82	1.01243
83	1.013511
84	1.008714
85	1.002834
86	0.990348
87	0.979285
88	0.955675
89	0.92281
90	0.883772
91	0.839255
92	0.78538
93	0.724065
94	0.659642
95	0.584705
96	0.501434
97	0.413929
98	0.325635
99	0.224414
100	0.109561
