normalized_position	All_Reads.normalized_coverage
0	0.392975
1	0.448703
2	0.519904
3	0.586594
4	0.646527
5	0.697785
6	0.738117
7	0.773942
8	0.806161
9	0.840273
10	0.870045
11	0.89823
12	0.914608
13	0.932568
14	0.94384
15	0.947711
16	0.949534
17	0.952421
18	0.960939
19	0.976079
20	0.989506
21	1.001023
22	1.011171
23	1.023414
24	1.031646
25	1.034571
26	1.039121
27	1.040018
28	1.040178
29	1.035716
30	1.031852
31	1.02822
32	1.034231
33	1.038735
34	1.040917
35	1.046577
36	1.055174
37	1.060104
38	1.060642
39	1.055878
40	1.057562
41	1.058836
42	1.061612
43	1.062292
44	1.061107
45	1.062661
46	1.071014
47	1.074257
48	1.069903
49	1.07505
50	1.073581
51	1.075909
52	1.080546
53	1.083786
54	1.082427
55	1.083638
56	1.080959
57	1.085582
58	1.089662
59	1.087624
60	1.090025
61	1.094158
62	1.101291
63	1.102827
64	1.107562
65	1.107896
66	1.107059
67	1.106617
68	1.104222
69	1.099267
70	1.093063
71	1.083656
72	1.072809
73	1.060024
74	1.05161
75	1.049231
76	1.049392
77	1.048311
78	1.053956
79	1.0581
80	1.058983
81	1.058154
82	1.052614
83	1.059685
84	1.062192
85	1.057919
86	1.053871
87	1.049809
88	1.043607
89	1.035538
90	1.027263
91	1.015531
92	1.011583
93	1.003185
94	0.993748
95	0.973038
96	0.950844
97	0.925849
98	0.897502
99	0.854808
100	0.819121
