normalized_position	All_Reads.normalized_coverage
0	0.722424
1	0.796332
2	0.870614
3	0.941618
4	0.989423
5	1.023383
6	1.047012
7	1.055147
8	1.055571
9	1.05078
10	1.047758
11	1.032015
12	1.016697
13	1.004637
14	0.999527
15	1.00746
16	1.004241
17	1.007391
18	1.006323
19	0.997976
20	1.002236
21	1.011405
22	1.014997
23	1.003617
24	0.997282
25	0.993783
26	0.989913
27	0.978767
28	0.978485
29	0.97341
30	0.959915
31	0.958639
32	0.975913
33	0.969093
34	0.966878
35	0.966161
36	0.96659
37	0.969967
38	0.966704
39	0.974852
40	0.981441
41	0.990195
42	0.994117
43	0.996478
44	0.996973
45	0.976562
46	0.971487
47	0.967516
48	0.978498
49	0.972936
50	0.97315
51	0.964829
52	0.957957
53	0.956673
54	0.949648
55	0.951346
56	0.956058
57	0.949043
58	0.945734
59	0.936544
60	0.929932
61	0.937348
62	0.948957
63	0.947067
64	0.956312
65	0.968454
66	0.961886
67	0.966452
68	0.959896
69	0.95693
70	0.960073
71	0.973737
72	0.974233
73	0.980578
74	0.984664
75	0.98469
76	0.984934
77	0.992041
78	0.99418
79	1.01293
80	1.021948
81	1.022034
82	1.024069
83	1.035127
84	1.041138
85	1.047098
86	1.043758
87	1.034451
88	1.040839
89	1.050363
90	1.057311
91	1.062963
92	1.084727
93	1.099579
94	1.126027
95	1.144774
96	1.16465
97	1.184349
98	1.196041
99	1.221338
100	1.203136
