OG	read_count_sum	RPK_sum	LIBID	feature_class	TPM
2Z7IA|Bacteria	36	50.41789356058107	MHS413	bacteria_OG	1.5122065446671396
2Z7IB|Bacteria	34	54.988241585518324	MHS413	bacteria_OG	1.6492870473742225
2Z7PG|Bacteria	6	5.88235294117647	MHS413	bacteria_OG	0.17643205591285985
2Z7Q7|Bacteria	20	26.223067843489595	MHS413	bacteria_OG	0.7865202612347765
2Z7RG|Bacteria	2	4.11522633744856	MHS413	bacteria_OG	0.12342983335467561
2Z7S1|Bacteria	2	6.5359477124183005	MHS413	bacteria_OG	0.1960356176809554
2Z7SI|Bacteria	12412	15059.60359412539	MHS413	bacteria_OG	451.6894599685201
2Z7SP|Bacteria	6	10.879450879450879	MHS413	bacteria_OG	0.3263122605969633
2Z7SZ|Bacteria	97	127.9266856272803	MHS413	bacteria_OG	3.8369625857276577
2Z7TB|Bacteria	9	11.344582404754323	MHS413	bacteria_OG	0.3402631595144224
2Z7TF|Bacteria	11	38.44030365769496	MHS413	bacteria_OG	1.1529573067210972
2Z7TI|Bacteria	8	13.954094940010433	MHS413	bacteria_OG	0.41853144197377684
2Z7TU|Bacteria	41	43.66462552991051	MHS413	bacteria_OG	1.309652740994234
2Z7U4|Bacteria	83	109.78835978835978	MHS413	bacteria_OG	3.2929316255693815
2Z7V0|Bacteria	43	83.3568396205604	MHS413	bacteria_OG	2.5001591600711803
2Z7VA|Bacteria	3	6.802721088435374	MHS413	bacteria_OG	0.20403707146385153
2Z7WH|Bacteria	5	9.980039920159681	MHS413	bacteria_OG	0.29933582340505166
2Z7WX|Bacteria	94	60.256410256410255	MHS413	bacteria_OG	1.8072975983894233
2Z7Y3|Bacteria	0	0	MHS413	bacteria_OG	0
2Z7YR|Bacteria	11	18.528306319003992	MHS413	bacteria_OG	0.5557278199956681
2Z7YX|Bacteria	7	18.103818103818103	MHS413	bacteria_OG	0.5429959541479435
2Z7Z6|Bacteria	131	98.88190076869321	MHS413	bacteria_OG	2.96580929768263
2Z81U|Bacteria	191	61.9325551232166	MHS413	bacteria_OG	1.8575709648153564
2Z82V|Bacteria	4	13.745704467353953	MHS413	bacteria_OG	0.4122810928547928
2Z83G|Bacteria	55	165.8806448410409	MHS413	bacteria_OG	4.975332744927481
2Z87P|Bacteria	42	61.77622173572935	MHS413	bacteria_OG	1.852881987251783
2Z889|Bacteria	625	714.4547625662067	MHS413	bacteria_OG	21.4289628447693
2Z88M|Bacteria	13266	11527.506486885004	MHS413	bacteria_OG	345.7496837350914
2Z88T|Bacteria	61	99.14926898908334	MHS413	bacteria_OG	2.9738285929001926
2Z89H|Bacteria	299	302.7256309762648	MHS413	bacteria_OG	9.079785926612223
2Z89R|Bacteria	104	75.59955602738967	MHS413	bacteria_OG	2.267491466322005
2Z8AD|Bacteria	5	14.531893004115226	MHS413	bacteria_OG	0.43586159903369825
2Z8BZ|Bacteria	3263	3770.001879647361	MHS413	bacteria_OG	113.07536101166009
2Z8CM|Bacteria	9	6	MHS413	bacteria_OG	0.17996069703111706
2Z8JK|Bacteria	19	21.163833805476866	MHS413	bacteria_OG	0.6347763805807225
2Z8JM|Bacteria	46	82.63483193633053	MHS413	bacteria_OG	2.4785036590518756
2Z8KF|Bacteria	464	830.4937379446689	MHS413	bacteria_OG	24.909371993416745
2Z8QS|Bacteria	72	155.38579067990833	MHS413	bacteria_OG	4.660555866581259
2Z8QX|Bacteria	66	88.89631786095131	MHS413	bacteria_OG	2.666307220959423
2Z8UG|Bacteria	15	23.615464994775337	MHS413	bacteria_OG	0.7083092568622857
2Z8UN|Bacteria	2	3.8535645472061657	MHS413	bacteria_OG	0.11558169366160376
2Z8VQ|Bacteria	4	4.166666666666667	MHS413	bacteria_OG	0.12497270627160907
2Z8VR|Bacteria	1837	1229.0876509118536	MHS413	bacteria_OG	36.86457839507258
2Z8W0|Bacteria	16	9.950248756218905	MHS413	bacteria_OG	0.29844228363369324
2Z8WP|Bacteria	10	14.556040756914118	MHS413	bacteria_OG	0.4365858734379356
2Z8XT|Bacteria	6907	17355.720922164666	MHS413	bacteria_OG	520.5579391050492
2Z8YK|Bacteria	1	3.9682539682539684	MHS413	bacteria_OG	0.11902162502058006
2Z8YX|Bacteria	17	28.76480541455161	MHS413	bacteria_OG	0.8627557387278596
2Z8ZT|Bacteria	1	5.128205128205128	MHS413	bacteria_OG	0.1538125615650573
2Z8ZV|Bacteria	46	40.45734388742304	MHS413	bacteria_OG	1.2134553010013756
2Z90C|Bacteria	162	321.9562249622056	MHS413	bacteria_OG	9.656577776284275
2Z92U|Bacteria	1	3.7037037037037033	MHS413	bacteria_OG	0.11108685001920804
2Z95D|Bacteria	3	3.875968992248062	MHS413	bacteria_OG	0.11625368025265959
2Z95Q|Bacteria	24	43.01075268817204	MHS413	bacteria_OG	1.2900408389327387
2Z9BQ|Bacteria	145	100.27662517289073	MHS413	bacteria_OG	3.007641893673579
2Z9CV|Bacteria	7	14.66602901323131	MHS413	bacteria_OG	0.4398848006499487
2Z9DH|Bacteria	96	183.90804597701148	MHS413	bacteria_OG	5.516036690608951
2Z9E3|Bacteria	3	5.46448087431694	MHS413	bacteria_OG	0.16389863117588074
2Z9EA|Bacteria	10	18.444671138726598	MHS413	bacteria_OG	0.553219312439161
2Z9G2|Bacteria	12	13.157894736842104	MHS413	bacteria_OG	0.3946506513840286
2Z9GU|Bacteria	566	435.199678681699	MHS413	bacteria_OG	13.053139587212788
