condition	isolated from	batch	technical_replicate	concentration
untreated		1	1	5.565478949
5% BHI		1	1	15.27103842
1uM ANS		1	1	51.19098824
0.2% TritonX		1	1	163.6920152
1-065 S. cap Ac	Ac	1	1	51.52592
4-062 S. cap Ax	Ax	1	1	80.33326286
3-009 S. cap Ch	Ch	1	1	48.54034102
1-001 S. cap Sc	Sc	1	1	53.83071388
1-076 S. epi Ac	Ac	1	1	95.13747708
4-066 S. epi Ax	Ax	1	1	70.0894824
8-043 S. epi Ch	Ch	1	1	508.8997005
8-074 S. epi Ch	Ch	1	1	43.73652651
1-060 S. hom Ac	Ac	1	1	35.63507797
2-069 S. hom Ac	Ac	1	1	10.49771019
12-071 S. hom Ac	Ac	1	1	18.75052612
13-082 S. hom Ac	Ac	1	1	22.46865776
3-042 S. hom Ax	Ax	1	1	19.63515404
4-065 S. hom Ax	Ax	1	1	23.67898172
9-083 S. hom Ax	Ax	1	1	10.35337439
8-063 S. hom Ch	Ch	1	1	33.72505491
4-057 S. war Ax	Ax	1	1	15.83509935
9-044 S. war Ax	Ax	1	1	32.68598289
9-005 S. war Sc	Sc	1	1	34.18026255
9-050 S. war Sc	Sc	1	1	53.85313266
untreated		1	2	11.19959769
5% BHI		1	2	9.077593558
1uM ANS		1	2	62.33992304
0.2% TritonX		1	2	172.1844709
1-065 S. cap Ac	Ac	1	2	48.05156724
4-062 S. cap Ax	Ax	1	2	91.61398967
3-009 S. cap Ch	Ch	1	2	34.57073699
1-001 S. cap Sc	Sc	1	2	47.78512956
1-076 S. epi Ac	Ac	1	2	69.95151488
4-066 S. epi Ax	Ax	1	2	62.52173414
8-043 S. epi Ch	Ch	1	2	463.8717188
8-074 S. epi Ch	Ch	1	2	35.80903958
1-060 S. hom Ac	Ac	1	2	16.14878759
2-069 S. hom Ac	Ac	1	2	9.200845969
12-071 S. hom Ac	Ac	1	2	23.91289293
13-082 S. hom Ac	Ac	1	2	24.65788223
3-042 S. hom Ax	Ax	1	2	21.62108535
4-065 S. hom Ax	Ax	1	2	27.41313822
9-083 S. hom Ax	Ax	1	2	17.00735805
8-063 S. hom Ch	Ch	1	2	13.08470406
4-057 S. war Ax	Ax	1	2	10.84848348
9-044 S. war Ax	Ax	1	2	41.27223828
9-005 S. war Sc	Sc	1	2	39.64972301
9-050 S. war Sc	Sc	1	2	60.86462382
