condition	isolated from	batch	technical_replicate	RLU
untreated		1	1	0.948446408
5% BHI		1	1	0.776836177
1uM ANS		1	1	2.151836185
0.2% TritonX		1	1	0.69703381
1-065 S. cap Ac	Ac	1	1	1.236581808
4-062 S. cap Ax	Ax	1	1	1.487994215
3-009 S. cap Ch	Ch	1	1	0.956214638
1-001 S. cap Sc	Sc	1	1	1.177966166
1-076 S. epi Ac	Ac	1	1	1.217514005
4-066 S. epi Ax	Ax	1	1	0.819209052
8-043 S. epi Ch	Ch	1	1	0.644067859
8-074 S. epi Ch	Ch	1	1	0.657485971
1-060 S. hom Ac	Ac	1	1	0.578389912
2-069 S. hom Ac	Ac	1	1	0.291666743
12-071 S. hom Ac	Ac	1	1	0.428087839
13-082 S. hom Ac	Ac	1	1	0.552532032
3-042 S. hom Ax	Ax	1	1	0.656779665
4-065 S. hom Ax	Ax	1	1	0.521892617
9-083 S. hom Ax	Ax	1	1	0.746664774
8-063 S. hom Ch	Ch	1	1	0.795020191
4-057 S. war Ax	Ax	1	1	0.357688026
9-044 S. war Ax	Ax	1	1	0.400354481
9-005 S. war Sc	Sc	1	1	0.52124312
9-050 S. war Sc	Sc	1	1	1.128530604
untreated		1	2	1.031073429
5% BHI		1	2	0.744350261
1uM ANS		1	2	1.999293757
0.2% TritonX		1	2	0.688559273
1-065 S. cap Ac	Ac	1	2	1.207627045
4-062 S. cap Ax	Ax	1	2	1.420197729
3-009 S. cap Ch	Ch	1	2	0.961158213
1-001 S. cap Sc	Sc	1	2	1.081920842
1-076 S. epi Ac	Ac	1	2	0.864406773
4-066 S. epi Ax	Ax	1	2	0.949858831
8-043 S. epi Ch	Ch	1	2	0.781779561
8-074 S. epi Ch	Ch	1	2	0.413135678
1-060 S. hom Ac	Ac	1	2	0.537429268
2-069 S. hom Ac	Ac	1	2	0.36935019
12-071 S. hom Ac	Ac	1	2	0.496354434
13-082 S. hom Ac	Ac	1	2	0.45653227
3-042 S. hom Ax	Ax	1	2	0.696327694
4-065 S. hom Ax	Ax	1	2	0.440678019
9-083 S. hom Ax	Ax	1	2	0.754486954
8-063 S. hom Ch	Ch	1	2	0.787198011
4-057 S. war Ax	Ax	1	2	0.366932352
9-044 S. war Ax	Ax	1	2	0.556087586
9-005 S. war Sc	Sc	1	2	0.510576459
9-050 S. war Sc	Sc	1	2	1.134930639
untreated		1	3	1.020480163
5% BHI		1	3	0.699858847
1uM ANS		1	3	2.113700578
0.2% TritonX		1	3	0.731638456
1-065 S. cap Ac	Ac	1	3	1.156779633
