FileType	fastq	Read submission file type									
sample	study	instrument_model	library_name	library_source	library_selection	library_strategy	library_layout	forward_file_name	forward_file_md5	reverse_file_name	reverse_file_md5
MHS446_merged	PRJEB89273	Illumina HiSeq X Ten	MHS446_merged	METAGENOMIC	PCR	WGS	PAIRED	MHS446_merged_decont_1.fastq.gz		MHS446_merged_decont_2.fastq.gz	
MHS447_merged	PRJEB89273	Illumina HiSeq X Ten	MHS447_merged	METAGENOMIC	PCR	WGS	PAIRED	MHS447_merged_decont_1.fastq.gz		MHS447_merged_decont_2.fastq.gz	
MHS448_merged	PRJEB89273	Illumina HiSeq X Ten	MHS448_merged	METAGENOMIC	PCR	WGS	PAIRED	MHS448_merged_decont_1.fastq.gz		MHS448_merged_decont_2.fastq.gz	
MHS449_merged	PRJEB89273	Illumina HiSeq X Ten	MHS449_merged	METAGENOMIC	PCR	WGS	PAIRED	MHS449_merged_decont_1.fastq.gz		MHS449_merged_decont_2.fastq.gz	
MHS451_merged	PRJEB89273	Illumina HiSeq X Ten	MHS451_merged	METAGENOMIC	PCR	WGS	PAIRED	MHS451_merged_decont_1.fastq.gz		MHS451_merged_decont_2.fastq.gz	
MHS452_merged	PRJEB89273	Illumina HiSeq X Ten	MHS452_merged	METAGENOMIC	PCR	WGS	PAIRED	MHS452_merged_decont_1.fastq.gz		MHS452_merged_decont_2.fastq.gz	
MHS453_merged	PRJEB89273	Illumina HiSeq X Ten	MHS453_merged	METAGENOMIC	PCR	WGS	PAIRED	MHS453_merged_decont_1.fastq.gz		MHS453_merged_decont_2.fastq.gz	
MHS454_merged	PRJEB89273	Illumina HiSeq X Ten	MHS454_merged	METAGENOMIC	PCR	WGS	PAIRED	MHS454_merged_decont_1.fastq.gz		MHS454_merged_decont_2.fastq.gz	
MHS455_merged	PRJEB89273	Illumina HiSeq X Ten	MHS455_merged	METAGENOMIC	PCR	WGS	PAIRED	MHS455_merged_decont_1.fastq.gz		MHS455_merged_decont_2.fastq.gz	
MHS456_merged	PRJEB89273	Illumina HiSeq X Ten	MHS456_merged	METAGENOMIC	PCR	WGS	PAIRED	MHS456_merged_decont_1.fastq.gz		MHS456_merged_decont_2.fastq.gz	
MHS457_merged	PRJEB89273	Illumina HiSeq X Ten	MHS457_merged	METAGENOMIC	PCR	WGS	PAIRED	MHS457_merged_decont_1.fastq.gz		MHS457_merged_decont_2.fastq.gz	
MHS458_merged	PRJEB89273	Illumina HiSeq X Ten	MHS458_merged	METAGENOMIC	PCR	WGS	PAIRED	MHS458_merged_decont_1.fastq.gz		MHS458_merged_decont_2.fastq.gz	
MHS459_merged	PRJEB89273	Illumina HiSeq X Ten	MHS459_merged	METAGENOMIC	PCR	WGS	PAIRED	MHS459_merged_decont_1.fastq.gz		MHS459_merged_decont_2.fastq.gz	
MHS460_merged	PRJEB89273	Illumina HiSeq X Ten	MHS460_merged	METAGENOMIC	PCR	WGS	PAIRED	MHS460_merged_decont_1.fastq.gz		MHS460_merged_decont_2.fastq.gz	
MHS461_merged	PRJEB89273	Illumina HiSeq X Ten	MHS461_merged	METAGENOMIC	PCR	WGS	PAIRED	MHS461_merged_decont_1.fastq.gz		MHS461_merged_decont_2.fastq.gz	
MHS462_merged	PRJEB89273	Illumina HiSeq X Ten	MHS462_merged	METAGENOMIC	PCR	WGS	PAIRED	MHS462_merged_decont_1.fastq.gz		MHS462_merged_decont_2.fastq.gz	
