LIBID	BEFORE_FASTP	AFTER_FASTP	DUP_RATE	AFT_HUMAN_RM	AFT_RIBO_RM	AFT_DEDUP	BT2_READS_START	PANGENE_ALIGN_RATE	K2_UNCLASSIFIED	K2_CLASSIFIED	MICROBE_COUNT	DV200
MHS328	30086435	29689755	0.696547	23293735	17252029	2255020	2255020	70.2	203745	2051275	2022346	79.06
MHS329	35097850	34543294	0.709055	32924017	30558061	3670390	3670390	60.73	828344	2842046	2824108	
MHS330	20220973	19804690	0.683546	18698148	15593931	1931980	1931980	38.19	808603	1123377	1108877	41.83
MHS331	19027466	18830309	0.517618	18539519	12201410	5178105	5178105	85.05	90708	5087397	5083486	78.52
MHS332	45723192	45085580	0.714772	44809181	40295464	4974537	4974537	79.7	291385	4683152	4679004	70.86
MHS333	24899773	24668731	0.543215	15595840	12724169	3890711	3890711	76.98	288290	3602421	3549978	61.58
MHS334	83714045	82686880	0.730735	73612768	42776345	5018335	5018335	16.21	3762624	1255711	1203964	63.77
MHS335	41259953	40388934	0.696847	37912843	34285815	4268033	4268033	38.45	1560072	2707961	2679749	61.42
MHS336	27702836	27406754	0.636902	27333584	26879436	5375863	5375863	77.98	537837	4838026	4834363	80.77
MHS337	39180793	38534778	0.712483	36912956	31851148	3561987	3561987	43.38	1480595	2081392	2057199	52.81
MHS338	24431566	24006125	0.691607	23515738	13862484	1858719	1858719	39.01	667823	1190896	1182391	45.55
MHS339	18668014	18404572	0.722936	17922469	13620784	1455353	1455353	30.81	685466	769887	761934	61.11
MHS340	5980581	5657004	0.613807	4892435	4753608	749004	749004	24.25	449192	299812	289238	54.95
MHS341	26148861	25616032	0.655953	23400935	22890794	3472667	3472667	10.88	2847458	625209	592943	62.3
MHS342	43941672	43223443	0.708538	41839005	29194656	3785987	3785987	48.5	1078642	2707345	2690201	78.45
MHS343	36998465	36514823	0.716971	35573814	30797515	3443335	3443335	60.86	640611	2802724	2792799	69
MHS344	21314789	20691959	0.688107	18346220	16351691	2052813	2052813	25.13	1175134	877679	849137	49.23
MHS345	41931784	41208867	0.722134	32626714	23689343	2850056	2850056	35.71	985557	1864499	1819199	45.69
MHS346	190879967	188605231	0.750326	0	0	0		0			0	79.1
MHS347	33562550	33040494	0.725399	31131849	29271006	3270740	3270740	68.72	437850	2832890	2796159	76.74
MHS348	222025	204364	0.533149	178136	173851	41104	41104	20.52	24840	16264	15702	21.28
MHS349	23338643	23105659	0.574939	21867570	18594519	5090341	5090341	74.51	1901257	3189084	3164455	84.49
MHS350	25018685	24717520	0.54683	24519046	24403224	6964725	6964725	74.27	76725	6888000	6884245	67.6
MHS351	23722384	23526465	0.683848	23318415	21970281	3100361	3100361	61.3	288646	2811715	2806555	74.65
MHS352	538	533	0.767658	295	295	33	33	36.36	12	21	19	83.18
MHS353	6882	6827	0.74811	538	538	49	49	57.14	4	45	31	55.49
MHS354	23055	22910	0.757333	6044	6044	374	374	59.36	18	356	225	70.98
MHS355	84305397	83507714	0.722358	80355399	69071439	8443251	8443251	81	365783	8077468	8044298	88.71
MHS356	10873	10834	0.796669	4522	4522	255	255	94.51		255	246	68.11
MHS357	47170583	44126842	0.724737	42923028	40228658	4222717	4222717	45.14	512971	3709746	3691322	75.37
MHS358	40930719	40269633	0.750138	37271639	35331816	3389423	3389423	69.48	245922	3143501	3127340	80.62
MHS359	4980	4962	0.619124	802	801	65	65	36.15	12	53	32	81.36
MHS360	50975512	48338858	0.697574	11539307	8655167	1773376	1773376	16.22	345264	1428112	1252152	78.33
MHS361	52980670	46386839	0.64914	39613062	25568575	3752303	3752303	20.72	1052503	2699800	2627210	78.75
MHS362	44944456	43049380	0.70225	35438292	32885832	4113878	4113878	46.21	404667	3709211	3664701	36.21
MHS363	40226384	38399036	0.712743	37342757	24784154	2971725	2971725	35.48	444403	2527322	2507223	79.74
MHS364	68898990	66788422	0.728269	66098165	56087027	6181115	6181115	61.11	545012	5636103	5622401	81.04
MHS365	30355638	29163079	0.715423	28797476	16686256	2070350	2070350	26.52	292347	1778003	1769040	64.63
MHS366	40809117	37841145	0.673495	36458508	35707925	4524288	4524288	51.26	395952	4128336	4103796	72.35
MHS367	65857119	60246337	0.674734	59763973	48201148	5537758	5537758	50.22	998221	4539537	4511286	75.68
MHS368	49714653	48793074	0.710558	47885381	41829170	4877922	4877922	59.08	806373	4071549	4060152	72.66
