Accession	Library_ID	Title	Total_bases_Mb	FastQ_URL	FastQ_filename	PRJNA	SRX	strain	expt_cat	expt_desc	plotting_cat	Instrument	pubmed	warning	study
SRR11998499	SRR11998499	GSM4611564: S. epidermidis untreated (control) - rep1; Staphylococcusepidermidis 1457; RNA-Seq	23652	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR119/099/SRR11998499/SRR11998499_1.fastq.gz	SRR11998499_1.fastq.gz	PRJNA638918	SRX8532043	S_epidermidis_1457	log_phase	log_phase_liquid	log_phase_liquid	NovaSeq_6000	https://www.nature.com/articles/s41467-021-23588-w	"Raw fastq file has no quality score, skip quality filtering by fastp"	Avican_et_al_2021
SRR11998499	SRR11998499	GSM4611564: S. epidermidis untreated (control) - rep1; Staphylococcusepidermidis 1457; RNA-Seq	23652	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR119/099/SRR11998499/SRR11998499_2.fastq.gz	SRR11998499_2.fastq.gz	PRJNA638918	SRX8532043	S_epidermidis_1457	log_phase	log_phase_liquid	log_phase_liquid	NovaSeq_6000	https://www.nature.com/articles/s41467-021-23588-w	"Raw fastq file has no quality score, skip quality filtering by fastp"	Avican_et_al_2021
SRR11998500	SRR11998500	GSM4611565: S. epidermidis untreated (control) - rep2; Staphylococcusepidermidis 1457; RNA-Seq	20336	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR119/000/SRR11998500/SRR11998500_1.fastq.gz	SRR11998500_1.fastq.gz	PRJNA638918	SRX8532044	S_epidermidis_1457	log_phase	log_phase_liquid	log_phase_liquid	NovaSeq_6000	https://www.nature.com/articles/s41467-021-23588-w	"Raw fastq file has no quality score, skip quality filtering by fastp"	Avican_et_al_2021
SRR11998500	SRR11998500	GSM4611565: S. epidermidis untreated (control) - rep2; Staphylococcusepidermidis 1457; RNA-Seq	20336	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR119/000/SRR11998500/SRR11998500_2.fastq.gz	SRR11998500_2.fastq.gz	PRJNA638918	SRX8532044	S_epidermidis_1457	log_phase	log_phase_liquid	log_phase_liquid	NovaSeq_6000	https://www.nature.com/articles/s41467-021-23588-w	"Raw fastq file has no quality score, skip quality filtering by fastp"	Avican_et_al_2021
SRR11998501	SRR11998501	GSM4611566: S. epidermidis untreated (control) - rep3; Staphylococcusepidermidis 1457; RNA-Seq	12805	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR119/001/SRR11998501/SRR11998501_1.fastq.gz	SRR11998501_1.fastq.gz	PRJNA638918	SRX8532045	S_epidermidis_1457	log_phase	log_phase_liquid	log_phase_liquid	NovaSeq_6000	https://www.nature.com/articles/s41467-021-23588-w	"Raw fastq file has no quality score, skip quality filtering by fastp"	Avican_et_al_2021
SRR11998501	SRR11998501	GSM4611566: S. epidermidis untreated (control) - rep3; Staphylococcusepidermidis 1457; RNA-Seq	12805	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR119/001/SRR11998501/SRR11998501_2.fastq.gz	SRR11998501_2.fastq.gz	PRJNA638918	SRX8532045	S_epidermidis_1457	log_phase	log_phase_liquid	log_phase_liquid	NovaSeq_6000	https://www.nature.com/articles/s41467-021-23588-w	"Raw fastq file has no quality score, skip quality filtering by fastp"	Avican_et_al_2021
SRR11998502	SRR11998502	GSM4611567: S. epidermidis under low iron - rep1; Staphylococcusepidermidis 1457; RNA-Seq	29558	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR119/002/SRR11998502/SRR11998502_1.fastq.gz	SRR11998502_1.fastq.gz	PRJNA638918	SRX8532046	S_epidermidis_1457	low_iron	low_iron_liquid	low_iron_liquid	NovaSeq_6000	https://www.nature.com/articles/s41467-021-23588-w	"Raw fastq file has no quality score, skip quality filtering by fastp"	Avican_et_al_2021
SRR11998502	SRR11998502	GSM4611567: S. epidermidis under low iron - rep1; Staphylococcusepidermidis 1457; RNA-Seq	29558	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR119/002/SRR11998502/SRR11998502_2.fastq.gz	SRR11998502_2.fastq.gz	PRJNA638918	SRX8532046	S_epidermidis_1457	low_iron	low_iron_liquid	low_iron_liquid	NovaSeq_6000	https://www.nature.com/articles/s41467-021-23588-w	"Raw fastq file has no quality score, skip quality filtering by fastp"	Avican_et_al_2021
SRR11998503	SRR11998503	GSM4611568: S. epidermidis under low iron - rep2; Staphylococcusepidermidis 1457; RNA-Seq	12707	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR119/003/SRR11998503/SRR11998503_1.fastq.gz	SRR11998503_1.fastq.gz	PRJNA638918	SRX8532047	S_epidermidis_1457	low_iron	low_iron_liquid	low_iron_liquid	NovaSeq_6000	https://www.nature.com/articles/s41467-021-23588-w	"Raw fastq file has no quality score, skip quality filtering by fastp"	Avican_et_al_2021
SRR11998503	SRR11998503	GSM4611568: S. epidermidis under low iron - rep2; Staphylococcusepidermidis 1457; RNA-Seq	12707	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR119/003/SRR11998503/SRR11998503_2.fastq.gz	SRR11998503_2.fastq.gz	PRJNA638918	SRX8532047	S_epidermidis_1457	low_iron	low_iron_liquid	low_iron_liquid	NovaSeq_6000	https://www.nature.com/articles/s41467-021-23588-w	"Raw fastq file has no quality score, skip quality filtering by fastp"	Avican_et_al_2021
