id,read1,read2
MHS389,MHS389_merged_decont_1.fastq.gz,MHS389_merged_decont_2.fastq.gz
MHS388,MHS388_merged_decont_1.fastq.gz,MHS388_merged_decont_2.fastq.gz
MHS390,MHS390_merged_decont_1.fastq.gz,MHS390_merged_decont_2.fastq.gz
MHS394,MHS394_merged_decont_1.fastq.gz,MHS394_merged_decont_2.fastq.gz
MHS396,MHS396_merged_decont_1.fastq.gz,MHS396_merged_decont_2.fastq.gz
MHS379,MHS379_merged_decont_1.fastq.gz,MHS379_merged_decont_2.fastq.gz
MHS355,MHS355_merged_decont_1.fastq.gz,MHS355_merged_decont_2.fastq.gz
MHS411,MHS411_merged_decont_1.fastq.gz,MHS411_merged_decont_2.fastq.gz
MHS419,MHS419_merged_decont_1.fastq.gz,MHS419_merged_decont_2.fastq.gz
MHS418,MHS418_merged_decont_1.fastq.gz,MHS418_merged_decont_2.fastq.gz
MHS422,MHS422_merged_decont_1.fastq.gz,MHS422_merged_decont_2.fastq.gz
MHS427,MHS427_merged_decont_1.fastq.gz,MHS427_merged_decont_2.fastq.gz
MHS426,MHS426_merged_decont_1.fastq.gz,MHS426_merged_decont_2.fastq.gz
MHS384,MHS384_merged_decont_1.fastq.gz,MHS384_merged_decont_2.fastq.gz
MHS407,MHS407_merged_decont_1.fastq.gz,MHS407_merged_decont_2.fastq.gz
MHS432,MHS432_merged_decont_1.fastq.gz,MHS432_merged_decont_2.fastq.gz
MHS331,MHS331_merged_decont_1.fastq.gz,MHS331_merged_decont_2.fastq.gz
MHS386,MHS386_merged_decont_1.fastq.gz,MHS386_merged_decont_2.fastq.gz
MHS328,MHS328_merged_decont_1.fastq.gz,MHS328_merged_decont_2.fastq.gz
MHS406,MHS406_merged_decont_1.fastq.gz,MHS406_merged_decont_2.fastq.gz
MHS405,MHS405_merged_decont_1.fastq.gz,MHS405_merged_decont_2.fastq.gz
MHS415,MHS415_merged_decont_1.fastq.gz,MHS415_merged_decont_2.fastq.gz
MHS414,MHS414_merged_decont_1.fastq.gz,MHS414_merged_decont_2.fastq.gz
MHS430,MHS430_merged_decont_1.fastq.gz,MHS430_merged_decont_2.fastq.gz
MHS438,MHS438_merged_decont_1.fastq.gz,MHS438_merged_decont_2.fastq.gz
MHS437,MHS437_merged_decont_1.fastq.gz,MHS437_merged_decont_2.fastq.gz
MHS594,MHS594_merged_decont_1.fastq.gz,MHS594_merged_decont_2.fastq.gz
MHS439,MHS439_merged_decont_1.fastq.gz,MHS439_merged_decont_2.fastq.gz
MHS399,MHS399_merged_decont_1.fastq.gz,MHS399_merged_decont_2.fastq.gz
