LIBID	aft_nuc_search	aft_transl_search
MHS330	87.0692501993	79.3840515947
MHS376	50.1642676092	35.3500987927
MHS337	84.5661985852	76.0638093289
MHS379	45.7755834718	31.9393515591
MHS328	48.2827203306	40.1773820188
MHS332	26.5127789782	23.6147404271
MHS336	31.9439781110	28.3916461413
MHS377	19.6658426149	17.2279935149
MHS372	19.9846433311	16.5246393591
MHS333	50.4011477594	36.0453526361
MHS378	53.6347163317	34.2066603080
MHS406	66.4669357144	44.8559758261
MHS380	49.2826262634	43.0118555078
MHS335	91.6197695754	81.1373763980
MHS334	98.1111862799	92.6042801049
MHS375	76.3528690222	69.2056856076
MHS374	69.0477429242	59.2465377630
MHS331	60.4847043465	37.0952983765
MHS338	86.1741877067	76.6157767796
MHS329	60.6521241612	54.4909805225
MHS373	51.1695263483	37.0330936094
