subj_region	subject	region	low_conc	mol_type
SMT028_T1_Sc	SMT028	Sc	low	RNA
SMT028_T1_Ch	SMT028	Ch		RNA
SMT028_T1_Ac	SMT028	Ac	low	RNA
SMT028_T1_Vf	SMT028	Vf	low	RNA
SMT028_T1_Tw	SMT028	Tw		RNA
SMT029_T1_Sc	SMT029	Sc		RNA
SMT029_T1_Ch	SMT029	Ch		RNA
SMT029_T1_Ac	SMT029	Ac		RNA
SMT029_T1_Vf	SMT029	Vf		RNA
SMT029_T1_Tw	SMT029	Tw		RNA
SMT030_T1_Sc	SMT030	Sc		RNA
SMT030_T1_Ch	SMT030	Ch		RNA
SMT030_T1_Ac	SMT030	Ac	low	RNA
SMT030_T1_Vf	SMT030	Vf	low	RNA
SMT030_T1_Tw	SMT030	Tw		RNA
Neg012	Neg012	-	fail	RNA
SMT028_T2_Sc	SMT028	Sc	low	RNA
SMT028_T2_Ch	SMT028	Ch	low	RNA
SMT028_T2_Ac	SMT028	Ac	fail	RNA
SMT028_T2_Vf	SMT028	Vf	low	RNA
SMT028_T2_Tw	SMT028	Tw	low	RNA
SMT029_T2_Sc	SMT029	Sc		RNA
SMT029_T2_Ch	SMT029	Ch		RNA
SMT029_T2_Ac	SMT029	Ac	low	RNA
SMT029_T2_Vf	SMT029	Vf	low	RNA
SMT029_T2_Tw	SMT029	Tw		RNA
SMT030_T2_Sc	SMT030	Sc		RNA
SMT030_T2_Ch	SMT030	Ch		RNA
SMT030_T2_Ac	SMT030	Ac		RNA
SMT030_T2_Vf	SMT030	Vf		RNA
SMT030_T2_Tw	SMT030	Tw	low	RNA
Neg013	Neg013	-	fail	RNA
SMT028_T3_Sc	SMT028	Sc	low	RNA
SMT028_T3_Ch	SMT028	Ch		RNA
SMT028_T3_Ac	SMT028	Ac	fail	RNA
SMT028_T3_Vf	SMT028	Vf	fail	RNA
SMT028_T3_Tw	SMT028	Tw	low	RNA
SMT029_T3_Sc	SMT029	Sc		RNA
SMT029_T3_Ch	SMT029	Ch		RNA
SMT029_T3_Ac	SMT029	Ac	low	RNA
SMT029_T3_Vf	SMT029	Vf	low	RNA
SMT029_T3_Tw	SMT029	Tw		RNA
SMT030_T3_Sc	SMT030	Sc		RNA
SMT030_T3_Ch	SMT030	Ch		RNA
SMT030_T3_Ac	SMT030	Ac	low	RNA
SMT030_T3_Vf	SMT030	Vf	low	RNA
SMT030_T3_Tw	SMT030	Tw		RNA
Neg014	Neg014	-	fail	RNA
