k2_taxon	host	host_fmt
Alphaendornavirus	Plant	Plant
Andhravirus	Staphylococcus	Staphylococcus
Baoshanvirus	Staphylococcus	Staphylococcus
Betapapillomavirus	Human	Human
Britbratvirus	Gordonia	Other_microbes
Chivirus	Salmonella	Other_microbes
Gammapapillomavirus	Human	Human
Getalongvirus	Gordonia	Other_microbes
Kayvirus	Staphylococcus	Staphylococcus
Luckytenvirus	Gordonia	Other_microbes
Pahexavirus	Cutibacterium	Cutibacterium
Pandoravirus	Amoeba	Other_microbes
Phietavirus	Staphylococcus	Staphylococcus
Rockefellervirus	Staphylococcus	Staphylococcus
Sepunavirus	Staphylococcus	Staphylococcus
Sextaecvirus	Staphylococcus	Staphylococcus
Sobemovirus	Plant	Plant
Tequatrovirus	Escherichia	Other_microbes
Timquatrovirus	Mycobacterium	Other_microbes
Tobamovirus	Plant	Plant
