other_OG	read_count_sum	RPK_sum	other_eggnog_cat	other_eggnog_desc	LIBID	feature_class
1MAHG|Others	11	12.222222222222221	S	Source PGD	MHS529	other_OG
1MDRW|Others	2	7.246376811594202	U	Source PGD	MHS529	other_OG
1MDYW|Others	29	45.383411580594675	L	DNA repair protein XRCC3. Source PGD	MHS529	other_OG
1MEH9|Others	64	104.7519731730258	S	NAD-specific glutamate dehydrogenase. Source PGD	MHS529	other_OG
1MERW|Others	74	209.0395480225989	S	function. Source PGD	MHS529	other_OG
1MFHY|Others	3	10.869565217391303	J	Argonaute1 (AGO1). Source PGD	MHS529	other_OG
1MFKV|Others	29	77.33333333333333	L	Origin recognition complex subunit. Source PGD	MHS529	other_OG
1MFXH|Others	40	81.48390299420048	E	Urease. Source PGD	MHS529	other_OG
1MGDI|Others	371	239.6640826873385	L	DNA mismatch repair protein MLH3. Source PGD	MHS529	other_OG
1MGMC|Others	103	146.09929078014184	S	Serine threonine protein phosphatase 4 regulatory subunit. Source PGD	MHS529	other_OG
1MH8V|Others	65	164.14141414141415	O	Source PGD	MHS529	other_OG
1MIFZ|Others	7	20.46783625730994	-	-	MHS529	other_OG
1MJPT|Others	1	4.694835680751174	-	-	MHS529	other_OG
1MK9K|Others	4	12.698412698412698	S	NAD-specific glutamate dehydrogenase. Source PGD	MHS529	other_OG
23PUF|Others	24	60.60914463898741	E	Catalyzes the NAD( )-dependent oxidative deamination of L-alanine to pyruvate, and the reverse reaction, the reductive amination of pyruvate	MHS529	other_OG
23TA6|Others	37	101.92837465564739	P	COG3119 Arylsulfatase A and related enzymes	MHS529	other_OG
23TAK|Others	2	7.246376811594202	V	COG1131 ABC-type multidrug transport system, ATPase component	MHS529	other_OG
23TM2|Others	30	21.88183807439825	H	COG0476 Dinucleotide-utilizing enzymes involved in molybdopterin and thiamine biosynthesis family 2	MHS529	other_OG
23U59|Others	2	6.410256410256411	E	Catalyzes the NADPH-dependent reduction of L-glutamate 5-phosphate into L-glutamate 5-semialdehyde and phosphate. The product spontaneously undergoes cyclization to form 1-pyrroline-5- carboxylate	MHS529	other_OG
23UA2|Others	2	5.420054200542006	O	Belongs to the serpin family	MHS529	other_OG
23WMZ|Others	504	1615.9053712245202	-	-	MHS529	other_OG
23XGI|Others	1	5.05050505050505	P	Heavy metal transport detoxification protein	MHS529	other_OG
28UFQ|Others	13	16.1090458488228	G	Platelet-derived and vascular endothelial growth factors (PDGF, VEGF) family	MHS529	other_OG
2D0Q5|Others	40	180.18018018018017	S	RF-1 domain	MHS529	other_OG
2D7D8|Others	14	17.94871794871795	S	Endonuclease-reverse transcriptase	MHS529	other_OG
2EWZ9|Others	5	13.774104683195592	S	Probable Zinc-ribbon domain	MHS529	other_OG
2NBM6|Others	5611	6204.475179571567	E	-	MHS529	other_OG
2QR4A|Others	6	11.1731843575419	A	cilium assembly	MHS529	other_OG
