bacteria_OG	read_count_sum	RPK_sum	bacteria_eggnog_cat	bacteria_eggnog_desc	LIBID	feature_class
2Z7I5|Bacteria	4	8.547008547008547	S	Psort location Cytoplasmic, score 8.96	MHS517	bacteria_OG
2Z7KV|Bacteria	1	3.663003663003663	S	NA	MHS517	bacteria_OG
2Z7RS|Bacteria	124	274.55896750832807	S	Protein of unknown function (DUF2891)	MHS517	bacteria_OG
2Z7SI|Bacteria	56	90.38302682492065	S	Protein of unknown function (DUF3388)	MHS517	bacteria_OG
2Z7U4|Bacteria	60	134.9350075835894	S	succinate dehydrogenase	MHS517	bacteria_OG
2Z7VY|Bacteria	470	433.0262124654233	S	Psort location Cytoplasmic, score	MHS517	bacteria_OG
2Z7Z9|Bacteria	1	3.663003663003663	S	oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen, NAD(P)H as one donor, and incorporation of one atom of oxygen	MHS517	bacteria_OG
2Z802|Bacteria	57	146.47539569403432	S	phage tail protein	MHS517	bacteria_OG
2Z80P|Bacteria	12	23.52941176470588	S	NA	MHS517	bacteria_OG
2Z80V|Bacteria	50	70.54720607413071	E	histidine decarboxylase	MHS517	bacteria_OG
2Z81U|Bacteria	7	17.543859649122805	S	Lantibiotic dehydratase, C terminus	MHS517	bacteria_OG
2Z824|Bacteria	6	13.022894192455606	S	Protein of unknown function (DUF3158)	MHS517	bacteria_OG
2Z83I|Bacteria	710	783.0958597350005	S	phosphoenolpyruvate carboxykinase (diphosphate) activity	MHS517	bacteria_OG
2Z87Q|Bacteria	1	3.9215686274509802	S	NHase catalyzes the hydration of various nitrile compounds to the corresponding amides	MHS517	bacteria_OG
2Z88M|Bacteria	29	24.288107202680067	S	NA	MHS517	bacteria_OG
2Z891|Bacteria	2	4.866180048661801	S	Glycoside hydrolase	MHS517	bacteria_OG
2Z89R|Bacteria	461	446.7307297486501	S	NA	MHS517	bacteria_OG
2Z8BS|Bacteria	1	4.065040650406504	S	Responsible for the hydrolysis of cyanuric acid, an intermediate formed during catabolism of s-triazine based compounds in herbicides such as atrazine and polymers such as melamine. Catalyzes the hydrolytic opening of the s-triazine ring of cyanuric acid (2,4,6-trihydroxy-s-triazine) to yield carbon dioxide and carboxybiuret, which spontaneously decarboxylates to biuret	MHS517	bacteria_OG
2Z8BZ|Bacteria	6	21.739130434782606	S	Replication initiator protein A	MHS517	bacteria_OG
2Z8H1|Bacteria	33	52.132701421800945	S	Protein of unknown function with HXXEE motif	MHS517	bacteria_OG
2Z8UC|Bacteria	232	306.6563713181499	S	NA	MHS517	bacteria_OG
2Z8VR|Bacteria	98	68.28499953673678	S	NA	MHS517	bacteria_OG
2Z8XT|Bacteria	25	55.43376135295959	S	YwhD family	MHS517	bacteria_OG
2Z90C|Bacteria	101	196.88187994520405	S	Protein of unknown function (DUF3710)	MHS517	bacteria_OG
2Z95Q|Bacteria	1	3.7037037037037033	S	NA	MHS517	bacteria_OG
2Z97R|Bacteria	187	301.6968886341017	S	Domain of unknown function (DUF4432)	MHS517	bacteria_OG
2Z9EA|Bacteria	41	63.378360309768254	S	NA	MHS517	bacteria_OG
2Z9GU|Bacteria	665	720.720543603237	S	Carotene biosynthesis associated membrane protein	MHS517	bacteria_OG
2Z9IF|Bacteria	3	3.4722222222222223	S	NA	MHS517	bacteria_OG
2Z9JM|Bacteria	10	41.68391994478951	S	NAD-specific glutamate dehydrogenase	MHS517	bacteria_OG
2Z9SP|Bacteria	1	3.436426116838488	S	Domain of unknown function (DUF4263)	MHS517	bacteria_OG
2Z9UW|Bacteria	237	302.0173429302233	S	NA	MHS517	bacteria_OG
2Z9XI|Bacteria	41	48.69549352307973	S	Nuclease-related domain	MHS517	bacteria_OG
2ZAAY|Bacteria	23	80.70175438596492	S	NA	MHS517	bacteria_OG
2ZAIR|Bacteria	439	382.5161623876235	S	NA	MHS517	bacteria_OG
2ZAK5|Bacteria	105	66.92160611854685	S	Accessory Sec system protein Asp1	MHS517	bacteria_OG
2ZAQK|Bacteria	262	357.9381880804267	S	NA	MHS517	bacteria_OG
2ZARS|Bacteria	22	60.53067993366501	S	NA	MHS517	bacteria_OG
2ZAV8|Bacteria	110	251.73011287446224	S	EcsC protein family	MHS517	bacteria_OG
2ZAVY|Bacteria	3	15.15151515151515	S	NA	MHS517	bacteria_OG
2ZBEI|Bacteria	22	35.08771929824562	S	NA	MHS517	bacteria_OG
2ZBRM|Bacteria	25	45.69102881606481	S	Accessory Sec system protein Asp1	MHS517	bacteria_OG
2ZBSB|Bacteria	2	3.546099290780142	S	NA	MHS517	bacteria_OG
2ZBU7|Bacteria	118	168.7265917602996	S	Protein of unknown function (DUF3027)	MHS517	bacteria_OG
2ZBVG|Bacteria	18	56.65495152087696	S	Protein of unknown function (DUF2992)	MHS517	bacteria_OG
2ZBVN|Bacteria	8	21.637426900584796	S	Belongs to the UPF0403 family	MHS517	bacteria_OG
2ZBXF|Bacteria	1	3.436426116838488	S	PFAM MerC mercury resistance protein	MHS517	bacteria_OG
2ZC0P|Bacteria	2	12.121212121212121	S	NA	MHS517	bacteria_OG
2ZCCT|Bacteria	74	140.33042018061965	S	Glyoxalase-like domain	MHS517	bacteria_OG
2ZCFK|Bacteria	153	240.4128732784896	S	Protein of unknown function (DUF3071)	MHS517	bacteria_OG
2ZCGZ|Bacteria	12	48.89092389092389	S	NA	MHS517	bacteria_OG
2ZD2Z|Bacteria	2	7.751937984496124	S	NA	MHS517	bacteria_OG
2ZDVV|Bacteria	50	160.48229416423257	S	Protein of unknown function (DUF2530)	MHS517	bacteria_OG
2ZE88|Bacteria	1	3.9215686274509802	S	NA	MHS517	bacteria_OG
2ZERP|Bacteria	57	97.9748702860831	S	NA	MHS517	bacteria_OG
2ZEYE|Bacteria	1	4.901960784313726	S	NA	MHS517	bacteria_OG
2ZF6Y|Bacteria	65	300.8625063419584	S	Staphylococcus haemolytic protein	MHS517	bacteria_OG
2ZF80|Bacteria	18	32.967032967032964	S	NA	MHS517	bacteria_OG
2ZFSE|Bacteria	8	29.629629629629626	S	Family of unknown function	MHS517	bacteria_OG
2ZFWE|Bacteria	28	78.43137254901961	S	NA	MHS517	bacteria_OG
2ZG0D|Bacteria	84	123.92514209317164	S	NA	MHS517	bacteria_OG
