uniref90_ID	percent_cov	AA_length	unpaired_read_count	uniref90_desc	emapper_max_annot_OG	emapper_OG	emapper_max_annot_lvl	eggnog_cat	eggnog_GO	eggnog_desc	uniref90_GO
UniRef90_A0A023UGI1	97.8723	47	2	UniRef90_A0A023UGI1 Uncharacterized protein n=1 Tax=Staphylococcus haemolyticus TaxID=1283 RepID=A0A023UGI1_STAHA	-	-	-	-	-	-	-
UniRef90_A0A060VS97	76.2963	135	3	UniRef90_A0A060VS97 Uncharacterized protein n=1 Tax=Oncorhynchus mykiss TaxID=8022 RepID=A0A060VS97_ONCMY	-	-	-	-	-	-	-
UniRef90_A0A060VUI7	59.6491	171	3	UniRef90_A0A060VUI7 Uncharacterized protein n=1 Tax=Oncorhynchus mykiss TaxID=8022 RepID=A0A060VUI7_ONCMY	-	-	-	-	-	-	-
UniRef90_A0A060VYT8	81.6667	120	4	UniRef90_A0A060VYT8 Uncharacterized protein n=1 Tax=Oncorhynchus mykiss TaxID=8022 RepID=A0A060VYT8_ONCMY	-	-	-	-	-	-	-
UniRef90_A0A060VZC6	50	94	1	UniRef90_A0A060VZC6 Uncharacterized protein n=1 Tax=Oncorhynchus mykiss TaxID=8022 RepID=A0A060VZC6_ONCMY	-	-	-	-	-	-	GO:0003676
UniRef90_A0A060VZK1	71.4286	126	2	UniRef90_A0A060VZK1 Uncharacterized protein n=1 Tax=Oncorhynchus mykiss TaxID=8022 RepID=A0A060VZK1_ONCMY	-	-	-	-	-	-	-
UniRef90_A0A060W2Q3	79.7297	74	8	UniRef90_A0A060W2Q3 Uncharacterized protein n=1 Tax=Oncorhynchus mykiss TaxID=8022 RepID=A0A060W2Q3_ONCMY	-	-	-	-	-	-	-
UniRef90_A0A060W3Y5	88.8889	54	1	UniRef90_A0A060W3Y5 HTH_Tnp_Tc3_2 domain-containing protein n=1 Tax=Oncorhynchus mykiss TaxID=8022 RepID=A0A060W3Y5_ONCMY	-	-	-	-	-	-	GO:0003677,GO:0015074,GO:0006313
UniRef90_A0A060WG64	71.6981	212	12	UniRef90_A0A060WG64 Uncharacterized protein n=1 Tax=Oncorhynchus mykiss TaxID=8022 RepID=A0A060WG64_ONCMY	-	-	-	-	-	-	-
UniRef90_A0A060WW91	63.5294	85	7	UniRef90_A0A060WW91 Uncharacterized protein n=1 Tax=Oncorhynchus mykiss TaxID=8022 RepID=A0A060WW91_ONCMY	-	-	-	-	-	-	-
UniRef90_A0A060WX12	96.6667	90	34	UniRef90_A0A060WX12 Paired domain-containing protein n=1 Tax=Oncorhynchus mykiss TaxID=8022 RepID=A0A060WX12_ONCMY	-	-	-	-	-	-	GO:0003677,GO:0006355
UniRef90_A0A060WZU4	58.1395	86	1	UniRef90_A0A060WZU4 Uncharacterized protein n=1 Tax=Oncorhynchus mykiss TaxID=8022 RepID=A0A060WZU4_ONCMY	-	-	-	-	-	-	-
UniRef90_A0A060X6A7	60.4839	124	7	UniRef90_A0A060X6A7 HTH_Tnp_Tc3_2 domain-containing protein n=1 Tax=Oncorhynchus mykiss TaxID=8022 RepID=A0A060X6A7_ONCMY	3ACG2	2E78S@1|root,2SDVT@2759|Eukaryota,3ACG2@33154|Opisthokonta	33154|Opisthokonta	-	-	-	GO:0003677,GO:0015074,GO:0006313
UniRef90_A0A060X741	55.0336	149	16	UniRef90_A0A060X741 Uncharacterized protein n=1 Tax=Oncorhynchus mykiss TaxID=8022 RepID=A0A060X741_ONCMY	-	-	-	-	-	-	GO:0016021
UniRef90_A0A060X814	58.3784	185	17	UniRef90_A0A060X814 Uncharacterized protein n=1 Tax=Oncorhynchus mykiss TaxID=8022 RepID=A0A060X814_ONCMY	-	-	-	-	-	-	-
UniRef90_A0A060XBM1	71.6535	127	2	UniRef90_A0A060XBM1 Reverse transcriptase domain-containing protein n=1 Tax=Oncorhynchus mykiss TaxID=8022 RepID=A0A060XBM1_ONCMY	-	-	-	-	-	-	-
UniRef90_A0A060XBZ1	72.7273	66	3	UniRef90_A0A060XBZ1 Uncharacterized protein n=1 Tax=Oncorhynchus mykiss TaxID=8022 RepID=A0A060XBZ1_ONCMY	-	-	-	-	-	-	-
UniRef90_A0A060XCK9	59.0909	110	5	UniRef90_A0A060XCK9 Uncharacterized protein n=1 Tax=Oncorhynchus mykiss TaxID=8022 RepID=A0A060XCK9_ONCMY	-	-	-	-	-	-	-
