pangene	length	percent_cov	unpaired_read_count
Achromobacter_xylosoxidans_cluster_16129_NEV08360.1	164	100.0000	11
Achromobacter_xylosoxidans_cluster_16240_NEV06844.1	157	96.1783	1
Achromobacter_xylosoxidans_cluster_2409_EFV85178.1	645	54.4186	7
Achromobacter_xylosoxidans_cluster_254_EFV87630.1	579	55.2677	15
Achromobacter_xylosoxidans_cluster_3618_EFV87221.1	453	70.6402	25
Achromobacter_xylosoxidans_cluster_706_EFV83405.1	375	70.4000	14
Achromobacter_xylosoxidans_cluster_9041_PNM93309.1	804	79.2289	12
Achromobacter_xylosoxidans_cluster_976_EFV82484.1	240	62.9167	1
C_ureicelerivorans|CP009215.1_cds_AIL96330.1_406	264	54.1667	1
Cutibacterium_acnes_cluster_4893_MUT49039.1	183	99.4536	8
Cutibacterium_acnes_cluster_4893_REB45883.1	183	91.2568	7
Cutibacterium_acnes_cluster_6976_TLF80156.1	264	85.2273	4
Staphylococcus_aureus_cluster_10063_QEN62420.1	192	87.5000	11
Staphylococcus_aureus_cluster_10116_QER15125.1	1188	98.9899	279
Staphylococcus_aureus_cluster_10119_QER16723.1	834	64.8681	8
Staphylococcus_aureus_cluster_10214_NDR17425.1	102	88.2353	4
Staphylococcus_aureus_cluster_1023_CAI81801.1	369	50.9485	2
Staphylococcus_aureus_cluster_10276_AECJBGNP_02758	816	98.8971	40
Staphylococcus_aureus_cluster_10279_AECJBGNP_02762	333	61.8619	14
Staphylococcus_aureus_cluster_1033_AGU62855.1	153	100.0000	1690
Staphylococcus_aureus_cluster_10392_NVE20722.1	2496	65.8253	20
Staphylococcus_aureus_cluster_10404_NVE20733.1	1350	51.5556	6
Staphylococcus_aureus_cluster_10506_NVE20860.1	930	100.0000	62
Staphylococcus_aureus_cluster_10515_NVE20874.1	96	100.0000	30
Staphylococcus_aureus_cluster_1054_CAI80187.1	1185	86.6667	359
Staphylococcus_aureus_cluster_10732_FDPHMHDJ_02790	618	70.7120	236
Staphylococcus_aureus_cluster_1112_AGU61487.1	219	68.4932	22
Staphylococcus_aureus_cluster_11768_ENKHEFDA_02664	228	66.6667	9
Staphylococcus_aureus_cluster_11844_PEJKMINL_01294	234	74.7863	2787
Staphylococcus_aureus_cluster_1211_AGU60988.1	324	66.6667	299
Staphylococcus_aureus_cluster_1214_CAI80785.1	234	64.1026	2
Staphylococcus_aureus_cluster_1227_AGU61662.1	204	87.2549	2072
Staphylococcus_aureus_cluster_12301_CAI81184.1	216	72.2222	246
Staphylococcus_aureus_cluster_12312_CAI81450.1	387	58.1395	149
Staphylococcus_aureus_cluster_1251_CAQ50660.1	114	100.0000	37
Staphylococcus_aureus_cluster_12714_AFR72967.1	252	51.5873	1
Staphylococcus_aureus_cluster_1321_CAI80777.1	189	79.8942	1
Staphylococcus_aureus_cluster_1475_CAI81476.1	177	87.0056	221
Staphylococcus_aureus_cluster_1602_CAI82105.1	219	65.2968	1
Staphylococcus_aureus_cluster_1642_CAI80437.1	201	100.0000	4
Staphylococcus_aureus_cluster_1652_CAG41763.1	228	62.7193	1
Staphylococcus_aureus_cluster_1652_CAI82269.1	201	71.1443	1
Staphylococcus_aureus_cluster_16_CAI81267.1	603	67.8275	12
Staphylococcus_aureus_cluster_1716_CAI80019.1	570	66.1404	4
Staphylococcus_aureus_cluster_181_ADQ77327.1	228	79.8246	358
Staphylococcus_aureus_cluster_181_BAF67527.1	291	100.0000	418
Staphylococcus_aureus_cluster_181_CAI80890.1	243	62.9630	10
Staphylococcus_aureus_cluster_196_AUG74542.1	186	98.3871	2243
Staphylococcus_aureus_cluster_196_CAI81803.1	210	100.0000	4037
Staphylococcus_aureus_cluster_1_CAI81681.1	213	98.1221	3
Staphylococcus_aureus_cluster_212_CAI80131.1	264	57.1970	1
Staphylococcus_aureus_cluster_215_ABD21677.1	381	67.1916	4
Staphylococcus_aureus_cluster_2531_CAQ49868.1	117	98.2906	48
Staphylococcus_aureus_cluster_2531_QCA26665.1	159	100.0000	12139
Staphylococcus_aureus_cluster_2727_QCQ29964.1	225	100.0000	7847
Staphylococcus_aureus_cluster_2741_AUJ55816.1	426	56.8075	10
Staphylococcus_aureus_cluster_290_AFR72604.1	219	77.1689	77
Staphylococcus_aureus_cluster_3238_CAI79998.1	339	71.3864	74
Staphylococcus_aureus_cluster_3238_EIAOOJIF_00055	390	69.2308	107
Staphylococcus_aureus_cluster_336_AGU61732.1	300	66.0000	23
Staphylococcus_aureus_cluster_3413_ABX28416.1	270	64.8148	15
Staphylococcus_aureus_cluster_3440_BAB43876.1	168	100.0000	38
Staphylococcus_aureus_cluster_3645_AUU82419.1	201	70.6468	1
Staphylococcus_aureus_cluster_3917_ADL64463.1	1935	65.4264	29
Staphylococcus_aureus_cluster_3_CAI81787.1	390	65.1282	3
Staphylococcus_aureus_cluster_4256_BAB47531.1	675	56.8889	48
Staphylococcus_aureus_cluster_4256_CRI21083.1	252	59.9206	1
Staphylococcus_aureus_cluster_45_CAI81802.1	264	79.1667	8
Staphylococcus_aureus_cluster_4874_CAQ48496.1	360	99.4444	12
Staphylococcus_aureus_cluster_4888_CAQ49381.1	204	79.9020	2
Staphylococcus_aureus_cluster_4896_CAQ49394.1	387	75.4522	2
Staphylococcus_aureus_cluster_4982_AMG40497.1	612	75.4902	18
Staphylococcus_aureus_cluster_4_CAI81789.1	219	100.0000	3813
Staphylococcus_aureus_cluster_5062_KKJ84364.1	327	100.0000	259
Staphylococcus_aureus_cluster_5427_KKJ84830.1	189	86.2434	15
Staphylococcus_aureus_cluster_5520_AFR73662.1	159	100.0000	1959
Staphylococcus_aureus_cluster_5520_BAB42721.1	102	97.0588	1
Staphylococcus_aureus_cluster_5562_CAQ48495.1	276	95.6522	24
Staphylococcus_aureus_cluster_5619_IJDNDKFI_00429	129	98.4496	6
Staphylococcus_aureus_cluster_5788_ADL65998.1	957	90.7001	51
Staphylococcus_aureus_cluster_5792_AFR74514.1	201	95.0249	8
Staphylococcus_aureus_cluster_6242_ABD21585.1	498	84.3373	220
Staphylococcus_aureus_cluster_645_BAF66771.1	432	81.2500	955
Staphylococcus_aureus_cluster_647_AGU60671.1	450	81.3333	11
Staphylococcus_aureus_cluster_668_CAI80552.1	432	68.2870	5908
Staphylococcus_aureus_cluster_6808_ABX28109.1	852	66.0798	24
Staphylococcus_aureus_cluster_6973_ABX28097.1	369	100.0000	390
Staphylococcus_aureus_cluster_7017_AHJ05866.1	786	100.0000	227
Staphylococcus_aureus_cluster_7019_ABX28119.1	693	100.0000	171
Staphylococcus_aureus_cluster_707_CAI81799.1	540	61.8519	7
Staphylococcus_aureus_cluster_7097_ABD22085.1	192	100.0000	21
Staphylococcus_aureus_cluster_709_CAI81806.1	354	67.7966	7
Staphylococcus_aureus_cluster_7101_ABD20922.1	930	100.0000	541
Staphylococcus_aureus_cluster_7104_ABD21077.1	1422	97.2574	104
Staphylococcus_aureus_cluster_7105_ABD21795.1	1236	100.0000	2824
Staphylococcus_aureus_cluster_7106_ABD22901.1	447	98.4340	52
Staphylococcus_aureus_cluster_7109_ABD22026.1	1554	83.3977	265
Staphylococcus_aureus_cluster_710_ADQ76414.1	327	95.1070	20
Staphylococcus_aureus_cluster_710_CAI81807.1	279	97.4910	8
Staphylococcus_aureus_cluster_7110_ABD21595.1	957	100.0000	315
Staphylococcus_aureus_cluster_7111_ABD20883.1	768	100.0000	345
Staphylococcus_aureus_cluster_7113_ABD22602.1	636	100.0000	525
Staphylococcus_aureus_cluster_7171_AHJ08524.1	153	100.0000	673
Staphylococcus_aureus_cluster_71_EGS96247.1	372	63.1720	23
Staphylococcus_aureus_cluster_72_CAI81779.1	399	55.3885	2
Staphylococcus_aureus_cluster_7642_KKJ84651.1	230	83.9130	4
Staphylococcus_aureus_cluster_765_CAI80416.1	1011	54.7972	18
Staphylococcus_aureus_cluster_7859_ABD22169.1	183	100.0000	144
Staphylococcus_aureus_cluster_7863_ABX28104.1	225	60.8889	3
Staphylococcus_aureus_cluster_7965_AIL59235.1	414	100.0000	420
Staphylococcus_aureus_cluster_7966_AIL59236.1	1452	100.0000	1277
Staphylococcus_aureus_cluster_803_CAI81804.1	435	100.0000	9497
Staphylococcus_aureus_cluster_8050_PAG41661.1	168	70.8333	1
Staphylococcus_aureus_cluster_8242_SCU43213.1	660	55.0000	4
Staphylococcus_aureus_cluster_8359_EZI01125.1	232	65.0862	1
Staphylococcus_aureus_cluster_8752_PAI49493.1	177	84.7458	1
Staphylococcus_aureus_cluster_8856_ABX28093.1	171	100.0000	15
Staphylococcus_aureus_cluster_9042_EUE83580.1	234	100.0000	566
Staphylococcus_aureus_cluster_90_CAI81794.1	501	74.8503	12
Staphylococcus_aureus_cluster_9231_CRI07883.1	963	64.2783	60
