pangene	length	percent_cov	unpaired_read_count
C_tuberculostearicum|CP065972.1_cds_QQA98877.1_1897	249	84.3373	2
C_tuberculostearicum|CP065972.1_cds_QQA99997.1_906	192	52.6042	2
Cutibacterium_acnes_cluster_1006_AAT82063.1	1281	56.7525	11
Cutibacterium_acnes_cluster_1050_ADD99474.1	237	63.7131	1
Cutibacterium_acnes_cluster_1063_ESS80790.1	394	59.3909	3
Cutibacterium_acnes_cluster_1120_AAT82345.1	504	58.9286	2
Cutibacterium_acnes_cluster_1136_AAT83533.1	294	51.3605	1
Cutibacterium_acnes_cluster_1145_AAT82090.1	759	66.1397	16
Cutibacterium_acnes_cluster_1153_AAT83101.1	933	60.2358	8
Cutibacterium_acnes_cluster_1276_ADE00453.1	231	62.7706	3
Cutibacterium_acnes_cluster_127_AAT83131.1	204	82.3529	2
Cutibacterium_acnes_cluster_1291_AAT84061.1	258	58.5271	1
Cutibacterium_acnes_cluster_134_EFS88110.1	243	62.1399	1
Cutibacterium_acnes_cluster_1355_ADD99743.1	483	57.7640	2
Cutibacterium_acnes_cluster_1363_EFT80418.1	1119	53.8874	9
Cutibacterium_acnes_cluster_1363_EGF67196.1	201	75.1244	1
Cutibacterium_acnes_cluster_1399_AAT82080.1	570	50.8772	4
Cutibacterium_acnes_cluster_1408_AAT82487.1	444	58.3333	2
Cutibacterium_acnes_cluster_1423_BBK83741.1	279	54.1219	1
Cutibacterium_acnes_cluster_1465_AAT83955.1	525	51.6190	4
Cutibacterium_acnes_cluster_1506_EFT01991.1	273	81.6850	2
Cutibacterium_acnes_cluster_1521_AAT83991.1	1128	50.1773	4
Cutibacterium_acnes_cluster_1576_EFT75577.1	189	63.4921	1
Cutibacterium_acnes_cluster_161_KEY38204.1	389	58.8689	5
Cutibacterium_acnes_cluster_1693_ADE00618.1	246	99.5935	4
Cutibacterium_acnes_cluster_1739_EFT12863.1	543	60.7735	8
Cutibacterium_acnes_cluster_173_ADE00512.1	486	55.7613	2
Cutibacterium_acnes_cluster_1758_AEW83133.1	276	54.7101	2
Cutibacterium_acnes_cluster_1809_AEW78187.1	1029	66.5695	12
Cutibacterium_acnes_cluster_1812_ADD99889.1	315	82.8571	4
Cutibacterium_acnes_cluster_1861_EFT01361.1	810	57.7778	5
Cutibacterium_acnes_cluster_1912_EFT02056.1	156	99.3590	4
Cutibacterium_acnes_cluster_191_ADD99792.1	762	53.8058	3
Cutibacterium_acnes_cluster_1947_AEW78863.1	549	81.0565	3
Cutibacterium_acnes_cluster_1967_EFT02057.1	429	54.0793	4
Cutibacterium_acnes_cluster_2006_PKC27018.1	255	59.2157	1
Cutibacterium_acnes_cluster_2023_EFT74246.1	324	76.2346	3
Cutibacterium_acnes_cluster_2033_AAT82725.1	246	61.3821	1
Cutibacterium_acnes_cluster_207_EGE72031.1	696	58.4770	12
Cutibacterium_acnes_cluster_2132_ESS80180.1	326	63.4969	2
Cutibacterium_acnes_cluster_2134_AAT83278.1	735	51.9728	12
Cutibacterium_acnes_cluster_2135_EFT34944.1	183	86.3388	5
Cutibacterium_acnes_cluster_2187_AAT83092.1	282	51.4184	3
Cutibacterium_acnes_cluster_219_AAT83013.1	267	56.5543	2
Cutibacterium_acnes_cluster_2211_EFS80315.1	513	58.8694	2
Cutibacterium_acnes_cluster_2302_EFT06237.1	234	64.5299	2
Cutibacterium_acnes_cluster_2306_TLG08266.1	222	86.4865	2
Cutibacterium_acnes_cluster_2329_EGF04398.1	264	78.0303	2
Cutibacterium_acnes_cluster_2333_TLG08921.1	555	54.0541	2
Cutibacterium_acnes_cluster_2344_EFB88082.1	192	78.1250	1
Cutibacterium_acnes_cluster_240_AAT83365.1	228	66.2281	1
Cutibacterium_acnes_cluster_2601_EFT02197.1	228	66.2281	1
Cutibacterium_acnes_cluster_2661_AAT83334.1	279	54.1219	1
Cutibacterium_acnes_cluster_2778_PEN28359.1	195	76.9231	1
Cutibacterium_acnes_cluster_2804_AFU41098.1	153	52.9412	1
Cutibacterium_acnes_cluster_2804_EFS87273.1	129	62.7907	1
Cutibacterium_acnes_cluster_283_AAT81830.1	816	64.4608	5
Cutibacterium_acnes_cluster_3022_EGR96175.1	492	59.5528	2
Cutibacterium_acnes_cluster_3045_EFT02722.1	153	90.1961	1
Cutibacterium_acnes_cluster_3075_EGF66214.1	225	62.6667	2
Cutibacterium_acnes_cluster_30_AAT83111.1	456	51.0965	9
Cutibacterium_acnes_cluster_3310_AAT83228.1	264	56.0606	1
Cutibacterium_acnes_cluster_3330_EFS41937.1	414	66.9082	3
Cutibacterium_acnes_cluster_3339_EFT05615.1	132	96.2121	1
Cutibacterium_acnes_cluster_3375_ADE00505.1	195	50.2564	2
Cutibacterium_acnes_cluster_33_AAT83407.1	894	52.5727	5
Cutibacterium_acnes_cluster_370_AAT82831.1	579	51.9862	5
Cutibacterium_acnes_cluster_3712_EFS94224.1	480	55.0000	2
Cutibacterium_acnes_cluster_3715_AAT82171.1	300	50.3333	1
Cutibacterium_acnes_cluster_3736_AEH29200.1	294	84.3537	3
Cutibacterium_acnes_cluster_3765_BBK85356.1	240	62.9167	1
Cutibacterium_acnes_cluster_3793_EGF71175.1	249	56.2249	1
Cutibacterium_acnes_cluster_3804_EFT01981.1	336	87.2024	2
Cutibacterium_acnes_cluster_3837_EFT02954.1	249	51.8072	2
Cutibacterium_acnes_cluster_3853_EFS67210.1	252	79.3651	2
Cutibacterium_acnes_cluster_3877_EFS78851.1	231	65.3680	1
Cutibacterium_acnes_cluster_3924_EFS78852.1	141	78.0142	4
Cutibacterium_acnes_cluster_4026_EFS80033.1	159	93.0818	1
Cutibacterium_acnes_cluster_402_EFS87542.1	870	61.9540	10
Cutibacterium_acnes_cluster_4052_EFT78672.1	225	67.1111	1
Cutibacterium_acnes_cluster_4183_REB36648.1	171	79.5322	1
Cutibacterium_acnes_cluster_4217_EFS86764.1	237	51.4768	4
Cutibacterium_acnes_cluster_4351_BBJ76881.1	375	64.5333	4
Cutibacterium_acnes_cluster_4465_BBK84795.1	333	62.7628	4
Cutibacterium_acnes_cluster_4467_AEH28825.1	198	76.2626	4
Cutibacterium_acnes_cluster_4504_EFS80267.1	156	96.7949	1
Cutibacterium_acnes_cluster_451_AAT83866.1	171	84.2105	1
Cutibacterium_acnes_cluster_4558_PIS97484.1	297	57.9125	2
Cutibacterium_acnes_cluster_460_AAT84029.1	519	51.8304	2
Cutibacterium_acnes_cluster_486_AAT81851.1	582	51.8900	4
Cutibacterium_acnes_cluster_4885_EFT49172.1	141	93.6170	1
Cutibacterium_acnes_cluster_4922_EFT76379.1	162	80.8642	1
Cutibacterium_acnes_cluster_4994_EFT18949.1	171	78.9474	2
Cutibacterium_acnes_cluster_5018_EFS63923.1	135	99.2593	1
Cutibacterium_acnes_cluster_5045_AFU40554.1	198	89.3939	2
Cutibacterium_acnes_cluster_5052_CCALPCNH_00123	156	96.7949	1
Cutibacterium_acnes_cluster_5279_EGF04161.1	135	60.0000	1
Cutibacterium_acnes_cluster_5431_EFT25920.1	198	75.2525	2
Cutibacterium_acnes_cluster_5619_EFS57111.1	273	64.1026	3
Cutibacterium_acnes_cluster_5662_KEY37367.1	273	55.3114	1
Cutibacterium_acnes_cluster_5755_KEY34232.1	297	50.8418	1
Cutibacterium_acnes_cluster_585_AAT82757.1	807	56.1338	3
Cutibacterium_acnes_cluster_5_AAT82081.1	762	56.9554	7
Cutibacterium_acnes_cluster_6102_ADD99484.1	210	71.9048	1
Cutibacterium_acnes_cluster_620_AEE72441.1	612	61.2745	5
Cutibacterium_acnes_cluster_6284_EFT68244.1	189	59.7884	2
Cutibacterium_acnes_cluster_6323_EFT55488.1	213	70.8920	1
Cutibacterium_acnes_cluster_6326_EFT54937.1	195	76.4103	1
Cutibacterium_acnes_cluster_6340_EFS65052.1	150	90.6667	1
Cutibacterium_acnes_cluster_6529_EFT13529.1	171	88.3041	1
Cutibacterium_acnes_cluster_664_AAT83264.1	864	55.0926	9
Cutibacterium_acnes_cluster_6654_AEE71749.1	150	89.3333	1
Cutibacterium_acnes_cluster_6656_AEE71880.1	294	96.2585	8
Cutibacterium_acnes_cluster_6659_AEE72185.1	168	89.8810	1
Cutibacterium_acnes_cluster_6661_AEE72290.1	216	58.7963	2
Cutibacterium_acnes_cluster_6663_AEE72570.1	288	52.4306	3
Cutibacterium_acnes_cluster_6667_AEE73076.1	390	64.3590	2
Cutibacterium_acnes_cluster_6705_AFU39997.1	216	69.9074	2
